;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005047662138938903;0.6304;0.005247076988220215;0.655;3.12;2.34;2.34;3.52;0.78;0.78;0.78;0.2;0.39;0.0;6.25;8.59;7.03;12.5;2.54;2.73;2.34;0.78;18.36;50.0
1;0.004300321933627129;0.7146;0.005564309522509575;0.627;4.69;4.69;3.52;4.3;1.17;0.98;1.17;0.39;0.78;0.0;9.38;13.28;10.16;14.45;3.52;3.52;2.73;1.17;8.59;50.0
2;0.004002814164757729;0.7446;0.005350624963641167;0.6485;6.25;6.25;4.69;5.08;1.37;1.17;1.17;0.59;1.17;0.0;14.06;16.41;12.11;14.45;3.91;3.91;2.93;1.17;5.86;0.0
3;0.003790665692090988;0.7648;0.003664698898792267;0.777;7.81;7.81;5.47;5.47;1.76;1.76;1.56;0.78;1.56;0.0;15.62;18.75;13.28;14.06;4.1;4.1;2.93;1.17;5.08;0.0
4;0.0035663194119930266;0.7791;0.00352041357755661;0.777;9.38;9.38;6.25;5.86;1.95;2.15;1.76;0.78;1.56;0.0;18.75;19.53;14.06;12.89;4.3;4.69;3.12;1.37;4.69;0.0
5;0.0033052467167377472;0.8008;0.0034412056654691695;0.7835;10.94;10.16;7.03;6.25;2.15;2.34;1.95;0.98;1.95;0.0;20.31;20.31;14.45;12.5;4.49;5.08;3.12;1.37;4.3;0.0
6;0.003315973201394081;0.8052;0.0038040363937616346;0.7575;12.5;11.72;7.03;6.25;2.34;2.73;1.95;0.98;1.95;0.0;23.44;21.09;14.45;11.72;4.49;5.47;3.12;1.37;3.91;0.0
7;0.003172465565800667;0.8124;0.0038179032430052757;0.7705;12.5;12.5;7.42;6.64;2.54;2.93;2.15;0.98;1.95;0.0;25.0;22.66;14.45;11.33;4.69;5.86;3.32;1.56;3.91;0.0
8;0.0029295551493763923;0.8306;0.003337258338928223;0.826;14.06;13.28;7.81;7.03;2.73;3.12;2.15;1.17;1.95;0.0;26.56;22.66;14.45;10.94;4.88;6.25;3.12;1.56;3.91;0.0
9;0.002834325110912323;0.8367;0.002941304102540016;0.829;15.62;14.06;8.2;7.03;2.93;3.52;2.34;1.37;2.34;0.0;28.12;23.44;14.45;10.55;5.08;6.45;3.12;1.56;3.52;0.0
10;0.00278572039604187;0.8405;0.0030742672756314277;0.8345;17.19;14.84;8.59;7.42;3.12;3.71;2.34;1.37;2.34;0.0;29.69;24.22;14.84;10.55;5.27;6.84;3.12;1.76;3.52;0.0
11;0.002676491379737854;0.8477;0.003152777187526226;0.819;18.75;15.62;8.98;7.81;3.12;3.91;2.34;1.37;1.95;0.0;31.25;24.22;15.23;10.55;5.47;7.03;3.12;1.76;3.12;0.0
12;0.002606765356659889;0.8538;0.002976940244436264;0.8335;18.75;16.41;9.38;7.81;3.32;4.1;2.34;1.37;1.95;0.0;31.25;25.0;15.23;10.55;5.47;7.23;3.12;1.76;3.12;0.0
13;0.0024882718339562415;0.8577;0.003322785995900631;0.814;20.31;16.41;9.77;7.81;3.52;4.3;2.34;1.56;1.95;0.0;32.81;25.78;15.62;10.55;5.66;7.62;2.93;1.76;2.73;0.0
14;0.002379618628323078;0.8657;0.0033767606914043426;0.8005;20.31;17.19;9.77;8.2;3.71;4.49;2.34;1.37;1.95;0.0;34.38;25.78;15.62;10.55;5.86;7.81;2.93;1.76;2.73;0.0
15;0.002325943973660469;0.8698;0.0028378631994128226;0.8515;21.88;17.97;9.77;8.2;3.91;4.69;2.34;1.56;1.95;0.0;34.38;26.56;15.62;10.16;6.25;8.01;2.73;1.76;2.34;0.0
16;0.0021786124244332315;0.8806;0.0028825499042868614;0.84;23.44;17.97;10.16;8.2;4.1;4.88;2.34;1.56;1.56;0.0;35.94;26.56;16.02;10.55;6.45;8.4;2.73;1.76;2.34;0.0
17;0.002270077931880951;0.8755;0.002861282140016556;0.843;23.44;18.75;10.55;8.59;4.3;5.27;2.34;1.56;1.56;0.0;37.5;27.34;16.02;10.55;6.64;8.79;2.73;1.56;2.34;0.0
18;0.00208405359685421;0.8851;0.003011753357946873;0.8405;25.0;19.53;10.94;8.98;4.49;5.47;2.34;1.56;1.56;0.0;37.5;27.34;16.41;10.55;6.84;8.98;2.73;1.76;1.95;0.0
19;0.0020106240212917326;0.8898;0.0029850224405527114;0.8445;25.0;19.53;11.33;8.98;4.69;5.66;2.15;1.56;1.56;0.0;39.06;27.34;16.41;10.55;7.03;9.18;2.54;1.76;1.95;0.0
