;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;71.48;50.0;3.12;12.11;13.48;31.64;50.2;57.42;3.12;3.52;0.6235;0.020349151104688646;83.2;50.0;6.25;26.17;22.07;44.92;65.43;72.07;8.59;11.72;0.588;0.02084547433257103
1;73.44;50.0;4.69;15.62;15.43;36.13;57.23;63.67;4.69;5.47;0.667;0.01923724044859409;82.81;50.0;9.38;28.91;23.63;46.29;66.6;72.66;10.94;14.06;0.6431;0.019740714004635812
2;73.83;50.0;6.25;17.97;16.8;38.09;59.96;65.62;6.25;6.64;0.7115;0.017800015941262244;82.42;50.0;12.5;30.86;24.61;46.88;66.99;72.66;13.28;15.62;0.675;0.01885383462905884
3;73.44;50.0;6.25;19.92;17.58;39.06;61.13;66.41;7.03;7.81;0.728;0.01704654197394848;82.03;50.0;14.06;32.03;25.2;47.27;67.19;72.46;15.62;17.19;0.6941;0.01812706025540829
4;73.05;0.0;7.81;21.09;18.16;39.65;61.72;66.8;8.59;8.59;0.7075;0.017730162426829336;81.25;50.0;15.62;32.81;25.59;47.46;67.19;72.27;17.19;17.97;0.7137;0.017300678807497024
5;72.27;0.0;7.81;22.27;18.55;40.23;62.11;66.99;9.38;9.38;0.722;0.01752849127352238;80.86;50.0;17.19;33.2;25.98;47.46;67.19;72.07;17.97;18.75;0.7254;0.016743158462643622
6;71.48;0.0;9.38;23.44;18.95;40.62;62.3;66.99;10.94;10.16;0.756;0.015409897223114968;80.47;50.0;18.75;33.98;26.37;47.66;67.19;71.88;19.53;19.14;0.7428;0.015977814409136773
7;70.7;0.0;10.94;24.22;19.34;41.02;62.5;66.99;11.72;10.94;0.734;0.01610892815887928;79.69;50.0;21.88;34.38;26.56;47.85;67.19;71.68;20.31;19.92;0.7501;0.015637484097480774
8;69.92;0.0;10.94;24.61;19.34;41.21;62.5;66.8;12.5;11.33;0.7555;0.01531740602850914;79.3;50.0;21.88;34.77;26.76;47.85;67.19;71.29;21.09;20.31;0.7615;0.01521692515015602
9;69.14;0.0;12.5;25.39;19.53;41.41;62.5;66.8;14.06;11.72;0.7875;0.014019088327884673;78.52;50.0;23.44;34.77;26.76;48.05;66.99;71.09;21.88;20.31;0.77;0.014858929532766341
10;68.36;0.0;12.5;25.78;19.53;41.41;62.5;66.6;14.84;12.11;0.754;0.016142054826021195;78.12;50.0;23.44;35.16;26.95;48.05;66.99;71.09;22.66;20.7;0.7764;0.014248951213061809
11;67.97;0.0;14.06;26.17;19.73;41.8;62.7;66.6;15.62;12.89;0.789;0.014158913552761079;77.73;50.0;25.0;35.16;26.95;48.24;66.99;70.9;22.66;21.09;0.7786;0.014145961946249008
12;67.58;0.0;14.06;26.56;19.92;41.99;62.7;66.6;16.41;13.28;0.792;0.014144918367266656;77.34;0.0;26.56;35.55;26.95;48.24;66.99;70.7;23.44;21.09;0.7884;0.013800224117934703
13;66.8;0.0;15.62;26.95;19.92;41.99;62.5;66.41;16.41;13.28;0.7725;0.014487996354699134;76.95;0.0;26.56;35.55;26.95;48.44;66.8;70.51;23.44;21.48;0.79;0.013692273689806462
14;66.02;0.0;15.62;27.34;20.12;42.19;62.5;66.41;17.19;13.67;0.7755;0.015078233368694783;76.56;0.0;28.12;35.55;27.15;48.44;66.8;70.51;23.44;21.48;0.7966;0.013321029579639435
15;65.62;0.0;17.19;27.73;20.31;42.38;62.5;66.21;17.97;14.06;0.763;0.01500064641982317;76.17;0.0;28.12;35.55;27.15;48.44;66.8;70.31;24.22;21.48;0.8039;0.013145154610276223
16;65.23;0.0;17.19;28.12;20.51;42.38;62.5;66.21;18.75;14.45;0.805;0.013325388498604297;75.78;0.0;29.69;35.94;27.34;48.63;66.8;70.12;24.22;21.48;0.8115;0.012645966085791587
17;64.84;0.0;17.19;28.12;20.7;42.58;62.5;66.02;18.75;14.45;0.796;0.01327322069555521;75.39;0.0;29.69;35.94;27.34;48.63;66.6;70.12;24.22;21.48;0.812;0.012512767322361468
18;64.06;0.0;18.75;28.52;20.9;42.58;62.5;66.02;19.53;14.84;0.789;0.014050220146775245;75.0;0.0;29.69;35.94;27.54;48.63;66.6;69.92;25.0;21.88;0.8206;0.012230341446399689
19;63.67;0.0;18.75;28.91;21.09;42.77;62.3;66.02;19.53;15.23;0.8055;0.013020909003913403;74.61;0.0;31.25;35.94;27.54;48.63;66.6;69.92;25.0;21.88;0.8235;0.012177658534049987
