;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.02029928147792816;0.6188;0.019986911095678805;0.6405;3.12;3.12;3.91;10.94;4.69;10.94;17.58;2.54;1.17;0.0;4.69;9.38;15.23;33.2;21.68;39.06;53.71;49.22;67.97;50.0
1;0.017989388620853423;0.6936;0.01689438606798649;0.7175;4.69;5.47;5.47;12.11;5.08;9.38;8.98;1.17;1.17;0.0;7.81;17.97;21.48;37.5;22.46;35.74;43.36;27.93;48.44;50.0
2;0.016352408185601235;0.7351;0.01630863243341446;0.7145;6.25;7.81;6.64;11.72;4.49;7.03;3.91;0.78;1.56;0.0;14.06;24.22;25.0;35.94;20.31;31.25;29.88;13.28;35.16;0.0
3;0.015391486012935638;0.7559;0.015982407957315446;0.763;7.81;9.38;7.42;9.77;4.3;6.64;3.91;0.98;1.95;0.0;18.75;28.12;25.78;32.42;17.97;27.73;20.7;7.81;25.39;0.0
4;0.014807909378409386;0.7676;0.01661378466337919;0.745;9.38;10.16;7.81;9.77;3.91;5.86;2.73;0.98;1.95;0.0;25.0;29.69;25.39;28.12;16.02;25.39;15.62;5.86;17.19;0.0
5;0.014192663142085076;0.7849;0.013213775523006916;0.7935;12.5;10.94;8.2;9.38;4.1;6.05;2.73;1.37;1.95;0.0;29.69;30.47;24.22;24.61;14.65;23.63;12.11;5.27;11.33;0.0
6;0.013744365385174751;0.7912;0.013182101882994174;0.8035;14.06;11.72;8.2;9.38;3.91;5.86;2.93;1.56;2.34;0.0;32.81;31.25;23.44;21.88;14.06;22.46;9.96;4.69;8.2;0.0
7;0.013223355931043625;0.8037;0.01392390588670969;0.783;15.62;12.5;8.2;8.98;3.91;5.66;2.54;1.56;2.34;0.0;37.5;30.47;22.27;19.53;13.87;21.29;8.4;4.49;6.64;0.0
8;0.012588639591634273;0.8151;0.012906917348504066;0.815;17.19;13.28;8.59;8.59;4.1;5.86;2.54;1.76;2.34;0.0;40.62;30.47;21.48;17.58;13.48;20.31;7.42;4.3;5.47;0.0
9;0.01243566796630621;0.8152;0.012058979704976082;0.821;18.75;14.06;8.59;8.59;4.1;5.66;2.73;1.95;2.34;0.0;43.75;31.25;21.09;16.41;13.28;19.34;6.64;4.3;5.08;0.0
10;0.011860588370263577;0.831;0.012286718741059303;0.819;20.31;14.84;8.59;8.59;4.3;5.66;2.73;1.95;2.73;0.0;46.88;31.25;20.31;15.62;13.28;18.55;5.86;4.1;4.69;0.0
11;0.011553209728002549;0.8354;0.011430251352488995;0.8385;21.88;15.62;8.59;8.98;4.3;5.66;2.73;2.15;2.73;0.0;48.44;31.25;20.31;14.84;13.28;17.97;5.08;3.91;4.3;0.0
12;0.011059080164134502;0.8406;0.011461034156382085;0.8375;21.88;16.41;8.59;8.98;4.69;5.86;2.54;2.15;2.73;0.0;51.56;32.03;19.92;14.45;13.28;17.38;4.49;3.91;3.91;0.0
13;0.010877415052056312;0.8454;0.011119928799569606;0.847;23.44;17.19;8.98;9.38;4.88;5.86;2.73;2.34;2.73;0.0;53.12;32.81;19.92;14.06;13.48;16.99;4.1;4.1;3.52;0.0
14;0.01033297863304615;0.849;0.011404360804706812;0.842;25.0;17.97;9.38;9.38;4.88;6.05;2.54;2.34;2.73;0.0;53.12;32.81;19.92;14.06;13.48;16.99;3.71;4.1;3.52;0.0
15;0.010146394374221563;0.8543;0.011433566816151142;0.837;26.56;18.75;9.38;9.77;5.08;6.05;2.54;2.34;2.73;0.0;54.69;33.59;19.53;14.06;13.48;16.8;3.32;3.91;3.52;0.0
16;0.010048770788311958;0.8584;0.011183936830610038;0.8395;26.56;18.75;9.77;10.16;5.27;6.25;2.34;2.34;2.73;0.0;54.69;33.59;19.53;14.06;13.87;16.6;3.32;3.91;3.52;0.0
17;0.009744923920929432;0.8649;0.010951269559562207;0.85;28.12;19.53;10.16;10.16;5.47;6.45;2.54;2.54;2.73;0.0;56.25;33.59;19.53;14.06;14.06;16.6;3.12;3.71;3.52;0.0
18;0.00922279375642538;0.8707;0.011140380155295133;0.8385;28.12;19.53;10.55;10.55;5.66;6.45;2.34;2.54;2.73;0.0;57.81;33.59;19.53;14.06;14.26;16.6;2.93;3.71;3.12;0.0
19;0.00886231659501791;0.875;0.010544871941208839;0.8535;29.69;20.31;10.55;10.55;5.86;6.64;2.34;2.54;2.73;0.0;57.81;34.38;19.92;14.06;14.65;16.8;2.73;3.71;3.12;0.0
