;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.10248464752286672;0.5205;0.08631427018344402;0.5825;1.56;0.78;0.78;1.56;0.78;0.98;0.98;0.39;0.0;0.0;4.69;4.69;3.52;6.25;2.54;4.3;7.62;2.93;3.91;0.0
1;0.09049409638643265;0.5585;0.07840720178186894;0.646;3.12;2.34;1.95;2.73;1.37;1.76;2.54;0.78;0.78;0.0;7.81;6.25;4.69;8.98;3.52;5.27;9.18;3.32;4.3;0.0
2;0.0802171025723219;0.6412;0.07316591413319111;0.6745;4.69;3.12;2.73;4.3;1.76;2.73;3.52;1.17;0.78;0.0;14.06;11.72;7.81;12.89;4.69;7.42;11.72;4.1;5.47;0.0
3;0.07478666233271361;0.6854;0.06378589124232531;0.7455;7.81;5.47;3.91;5.86;2.34;3.71;4.88;1.37;1.17;0.0;20.31;16.41;10.16;16.02;5.66;9.38;13.48;4.3;6.25;0.0
4;0.07008032006025314;0.7154;0.06308825869858264;0.762;9.38;7.03;4.69;7.03;2.73;4.69;5.86;1.56;1.17;0.0;26.56;18.75;12.11;17.97;6.45;10.94;14.45;4.3;6.64;0.0
5;0.06341599315404892;0.7532;0.057075545862317084;0.792;9.38;7.03;4.69;7.03;2.73;4.88;6.25;1.56;1.17;0.0;28.12;17.97;11.33;17.19;6.05;11.13;14.45;4.1;6.25;0.0
6;0.06174290037453175;0.7592;0.05605178584903479;0.7965;9.38;7.81;4.69;7.03;2.73;5.08;6.64;1.56;1.17;0.0;26.56;16.41;10.55;16.02;5.86;10.94;14.26;3.71;6.25;0.0
7;0.06054021935462952;0.7651;0.054001012660562994;0.808;10.94;7.81;5.08;7.03;2.73;5.27;6.84;1.56;1.17;0.0;26.56;15.62;9.77;15.23;5.47;10.94;14.06;3.52;5.86;0.0
8;0.060092503292858604;0.7694;0.05360125502198935;0.8055;10.94;7.81;5.08;7.03;2.73;5.47;7.03;1.37;1.17;0.0;26.56;14.84;9.38;14.45;5.27;10.94;14.06;3.32;5.86;0.0
9;0.05835246707499027;0.7799;0.05389880391210317;0.8;10.94;7.81;5.08;7.03;2.73;5.47;7.03;1.37;1.17;0.0;26.56;14.06;8.59;13.67;5.08;10.94;13.87;3.12;5.47;0.0
10;0.056744239202141764;0.7837;0.05291414087638259;0.8115;10.94;7.81;4.69;7.03;2.73;5.66;7.03;1.37;1.17;0.0;26.56;13.28;8.2;13.28;4.88;10.74;13.67;2.93;5.47;0.0
11;0.0573693353921175;0.7866;0.05509658584743738;0.7975;10.94;7.81;4.69;7.03;2.73;5.66;7.23;1.37;1.17;0.0;25.0;12.5;7.81;12.5;4.69;10.55;13.48;2.93;5.08;0.0
12;0.05632938047349453;0.7907;0.051707955140620473;0.8135;10.94;7.81;4.69;6.64;2.73;5.66;7.23;1.37;1.17;0.0;25.0;12.5;7.42;12.11;4.49;10.55;13.28;2.73;5.08;0.0
13;0.05624622633755207;0.7894;0.05217959429696202;0.809;10.94;7.81;4.69;6.64;2.73;5.66;7.23;1.37;1.17;0.0;25.0;11.72;7.03;11.72;4.3;10.35;13.09;2.73;5.08;0.0
14;0.05619777575433254;0.7935;0.051786875080317256;0.8135;10.94;7.81;4.69;6.64;2.73;5.66;7.23;1.37;1.17;0.0;23.44;10.94;7.03;11.33;4.3;10.16;13.09;2.54;5.08;0.0
15;0.055721719367802146;0.7903;0.052244030110538006;0.8155;10.94;7.81;4.69;6.64;2.54;5.66;7.23;1.37;1.17;0.0;23.44;10.94;6.64;10.55;4.1;10.16;12.89;2.54;4.69;0.0
16;0.05581123865842819;0.7928;0.05192113424837589;0.8105;10.94;7.81;4.3;6.25;2.54;5.47;7.23;1.17;0.78;0.0;21.88;10.16;6.25;10.55;3.91;9.96;12.7;2.34;4.69;0.0
17;0.056325464034825565;0.7904;0.05101439827308059;0.8145;10.94;7.81;4.3;6.25;2.54;5.47;7.03;1.17;0.78;0.0;21.88;10.16;6.25;10.16;3.91;9.77;12.7;2.34;4.69;0.0
18;0.05641143205314875;0.7877;0.05278545928746462;0.8065;10.94;7.81;4.3;6.25;2.54;5.47;7.03;1.17;0.78;0.0;21.88;9.38;5.86;9.77;3.71;9.77;12.5;2.15;4.3;0.0
19;0.056793835829198364;0.7879;0.05164513011649251;0.812;10.94;7.03;4.3;6.25;2.54;5.47;7.03;1.17;0.78;0.0;20.31;9.38;5.86;9.38;3.71;9.57;12.3;2.15;4.3;0.0
