;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;2.73;60.0;3.12;6.64;4.3;6.05;11.13;1.56;4.69;3.91;0.5648;0.009742129236459732;52.34;60.0;4.69;32.42;23.63;38.67;51.37;42.19;16.41;18.36;0.46874;0.01179637659907341
1;4.3;70.0;4.69;7.81;6.05;8.59;7.62;2.15;6.25;5.47;0.7048;0.006618693500757217;39.84;70.0;9.38;31.25;25.39;37.3;37.5;19.92;21.88;21.88;0.64972;0.007783421446084976
2;5.86;70.0;6.25;8.59;7.42;9.38;5.86;2.73;8.59;6.25;0.716;0.006526826691627502;32.81;70.0;12.5;27.34;26.56;36.52;25.98;12.89;24.22;22.66;0.71844;0.006354734146595001
3;7.42;70.0;9.38;8.98;8.2;10.35;5.08;2.93;9.38;6.64;0.7239;0.0063391244173049924;28.52;70.0;15.62;25.0;27.15;36.13;18.36;10.35;26.56;23.05;0.75138;0.005577660372853279
4;8.59;80.0;10.94;8.98;8.98;11.72;4.69;3.12;10.16;7.03;0.779;0.004976695668697357;26.17;70.0;20.31;23.44;27.34;36.33;13.48;8.98;28.12;22.66;0.77684;0.00506818687915802
5;9.77;80.0;10.94;9.38;9.77;12.89;4.1;3.32;10.94;7.42;0.7851;0.004945797869563103;25.0;80.0;23.44;22.27;27.93;36.72;10.74;8.2;28.91;22.66;0.80078;0.004572796686291695
6;10.94;80.0;12.5;9.77;10.35;13.87;4.1;3.52;11.72;7.42;0.8079;0.004522155329585075;24.22;80.0;26.56;21.48;28.52;37.3;9.18;7.62;29.69;23.05;0.81512;0.004215066878795624
7;12.11;80.0;14.06;9.77;10.94;15.04;3.91;3.71;12.5;7.81;0.8229;0.0040095399379730225;23.44;80.0;29.69;21.09;29.1;37.89;8.4;7.42;31.25;23.05;0.82824;0.003916089489459992
8;12.89;80.0;15.62;10.16;11.52;16.02;3.91;3.71;12.5;8.2;0.8121;0.0044392135560512545;23.05;80.0;32.81;20.7;29.69;38.48;7.81;7.03;32.03;23.44;0.83856;0.0037160210937261583
9;13.67;80.0;17.19;10.16;11.91;17.19;3.91;3.71;13.28;8.59;0.8152;0.0043514398783445355;23.05;80.0;34.38;20.7;30.47;39.06;7.42;6.84;32.81;23.83;0.84768;0.003463061517775059
10;14.45;80.0;18.75;10.55;12.5;17.97;4.1;3.91;14.06;8.98;0.7921;0.004875534895062447;22.66;80.0;34.38;20.7;31.05;39.65;7.23;6.64;33.59;24.22;0.85744;0.0032434825345873833
11;14.84;80.0;18.75;10.94;13.09;18.95;4.1;4.1;14.84;9.38;0.835;0.003855960237979889;22.66;80.0;35.94;20.7;31.45;40.23;7.03;6.45;33.59;24.61;0.86702;0.0030614821204543114
12;15.23;80.0;20.31;10.94;13.87;19.92;4.3;4.1;14.84;9.77;0.8475;0.003539332368969917;22.27;80.0;37.5;20.7;32.23;40.82;7.03;6.25;34.38;24.61;0.87506;0.00285697717577219
13;15.62;80.0;20.31;11.33;14.45;20.9;4.3;4.1;15.62;10.16;0.8439;0.00364405322521925;22.27;80.0;37.5;21.09;33.01;41.41;6.84;6.25;34.38;25.0;0.88284;0.0026725562140345574
14;16.02;80.0;21.88;11.72;14.84;21.88;4.49;4.3;15.62;10.55;0.8487;0.0034858068197965624;21.88;80.0;39.06;21.09;33.79;41.99;6.84;6.05;34.38;25.39;0.89198;0.0024973823574185373
15;16.41;80.0;21.88;12.11;15.62;22.66;4.49;4.3;16.41;10.94;0.8499;0.003492334347963333;21.88;80.0;39.06;21.09;34.38;42.58;6.84;6.05;34.38;25.39;0.8961;0.002404921302497387
16;16.8;80.0;23.44;12.5;16.21;23.63;4.49;4.3;16.41;11.33;0.8603;0.0032872091397643088;21.88;80.0;39.06;21.09;35.16;42.97;6.84;6.05;34.38;25.78;0.89982;0.0022926436157524586
17;16.8;80.0;23.44;12.89;16.8;24.41;4.69;4.3;17.19;11.72;0.8601;0.0034370797008275986;21.88;80.0;40.62;21.48;35.74;43.55;6.84;6.05;34.38;25.78;0.90682;0.002102924083173275
18;17.19;80.0;23.44;13.28;17.38;25.2;4.69;4.49;17.19;12.11;0.8625;0.003284251269698143;21.88;80.0;40.62;21.48;36.33;44.14;6.84;6.05;35.16;26.17;0.9127;0.0019784262934327127
19;17.58;80.0;25.0;13.67;17.97;25.98;4.88;4.49;17.97;12.5;0.8692;0.0032847335517406464;21.48;80.0;40.62;21.48;36.91;44.53;6.84;6.05;35.16;26.56;0.919;0.0018588552886247634
