;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.21189117382287978;0.38878;0.15325744588673115;0.5618;3.12;2.34;2.34;3.12;1.95;2.73;3.52;1.17;1.56;50.0;39.06;23.44;16.02;20.31;15.04;21.29;23.83;13.28;21.88;70.0
1;0.15994174453616142;0.55426;0.11849549842476845;0.6718;4.69;4.69;3.52;4.3;3.32;5.08;4.69;2.34;3.91;60.0;46.88;22.66;17.19;18.75;18.95;25.78;20.9;13.87;26.17;70.0
2;0.13302375114500523;0.63538;0.09421923898756504;0.7421;6.25;5.47;4.3;5.47;4.69;7.23;5.27;3.32;6.25;70.0;50.0;23.44;17.97;17.58;21.29;29.88;19.14;14.06;29.69;70.0
3;0.11670719445168971;0.68638;0.09073140625208616;0.7563;9.38;7.03;5.08;6.25;5.86;9.18;5.66;4.1;8.2;70.0;51.56;24.22;17.97;16.41;23.24;32.23;16.99;13.67;32.81;70.0
4;0.10519110010653734;0.71796;0.08354622879326344;0.7846;10.94;7.81;5.86;6.64;7.03;10.74;5.86;4.49;10.55;70.0;53.12;25.0;18.36;16.02;24.61;33.79;15.04;13.09;35.16;70.0
5;0.08092249856203794;0.78364;0.06643874496370554;0.8211;12.5;7.81;5.86;6.25;7.23;11.33;5.47;4.3;10.16;70.0;50.0;21.09;16.8;13.67;22.85;32.23;12.3;10.74;32.81;70.0
6;0.07382660566151142;0.80246;0.0635448572576046;0.8278;12.5;7.81;5.86;6.25;7.42;11.52;5.27;4.1;10.16;70.0;46.88;17.97;14.84;12.11;21.29;30.47;10.55;9.18;30.47;70.0
7;0.07040941840440035;0.81052;0.061328403469920155;0.8384;12.5;7.81;5.86;5.86;7.42;11.91;5.08;3.91;9.77;70.0;45.31;16.41;13.67;10.94;20.12;29.1;9.38;8.01;28.91;70.0
8;0.06821880478948354;0.81832;0.061404726725816726;0.8397;12.5;7.81;5.86;5.86;7.42;12.11;4.88;3.91;9.77;70.0;43.75;14.84;12.89;10.16;19.14;28.12;8.59;7.42;28.12;70.0
9;0.06510593784064055;0.82694;0.05926340303719044;0.8452;12.5;7.81;5.86;5.86;7.62;12.3;4.69;3.91;9.77;70.0;42.19;13.28;11.72;9.38;18.36;27.34;8.01;6.84;26.95;70.0
10;0.062030390577912334;0.83482;0.058502395421266555;0.8458;12.5;7.81;5.86;5.86;7.42;12.3;4.69;3.71;9.77;70.0;39.06;12.5;10.94;8.98;17.58;26.37;7.42;6.25;26.17;70.0
11;0.061210409722924235;0.83752;0.05788416271209717;0.8452;12.5;7.81;5.86;5.86;7.42;12.3;4.49;3.71;9.77;70.0;37.5;11.72;10.55;8.59;16.8;25.59;7.03;5.86;25.39;70.0
12;0.060363282379209994;0.83904;0.05742811071127653;0.8484;12.5;7.81;5.86;5.47;7.23;12.3;4.49;3.52;9.38;70.0;35.94;10.94;9.77;8.2;16.02;24.8;6.64;5.66;24.61;70.0
13;0.05966451046049595;0.84026;0.05739657006114721;0.8498;12.5;7.03;5.47;5.47;7.23;12.3;4.3;3.52;9.38;70.0;34.38;10.16;9.38;7.81;15.43;24.02;6.45;5.27;23.83;70.0
14;0.059732685503661634;0.84128;0.05670477902442217;0.849;12.5;7.03;5.47;5.47;7.03;12.11;4.3;3.52;9.38;70.0;32.81;9.38;8.98;7.42;14.84;23.44;6.25;5.08;23.44;70.0
15;0.058952361695766446;0.8415;0.056960374684631825;0.8496;12.5;7.03;5.47;5.08;7.03;12.11;4.3;3.32;8.98;70.0;31.25;9.38;8.59;7.03;14.45;22.85;5.86;4.88;22.66;70.0
16;0.0596731128692627;0.84032;0.05656857212781906;0.85;10.94;7.03;5.47;5.08;7.03;12.11;4.1;3.32;8.98;70.0;29.69;8.59;8.2;7.03;13.87;22.27;5.66;4.69;22.27;70.0
17;0.058837581546604636;0.8418;0.05619062094092369;0.8505;10.94;7.03;5.47;5.08;6.84;11.91;4.1;3.32;8.59;70.0;28.12;8.59;7.81;6.64;13.48;21.88;5.66;4.49;21.88;70.0
18;0.05914593611896038;0.8404;0.05660238955616951;0.848;10.94;6.25;5.47;5.08;6.84;11.91;4.1;3.12;8.59;70.0;28.12;8.59;7.42;6.25;13.09;21.29;5.47;4.3;21.09;70.0
19;0.05847754251807928;0.84204;0.05681828204542398;0.8506;10.94;6.25;5.08;5.08;6.84;11.91;3.91;3.12;8.59;70.0;26.56;7.81;7.42;6.25;12.7;20.9;5.27;4.1;20.7;70.0
