;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.029626034898757935;0.10664;0.02680009722709656;0.1568;3.12;3.91;2.34;3.12;1.17;1.56;1.37;0.98;1.95;8.0;17.19;21.09;13.28;16.8;7.81;8.4;5.27;3.32;21.09;31.0
1;0.024991453609466554;0.19432;0.024867821168899535;0.2097;4.69;6.25;4.3;5.47;2.54;3.12;1.95;1.17;3.91;14.0;23.44;23.44;13.67;15.62;9.57;11.72;5.66;3.52;21.48;35.0
2;0.022317646913528444;0.2558;0.022769136118888856;0.2482;7.81;7.81;5.08;6.64;3.52;4.88;2.15;1.56;5.47;18.0;26.56;24.22;13.67;14.45;11.33;14.84;5.27;3.52;21.88;35.0
3;0.020306134297847746;0.31292;0.02047286100387573;0.3221;9.38;8.59;5.47;7.42;4.69;6.64;2.34;1.76;7.42;21.0;29.69;25.0;13.28;14.06;13.09;17.38;4.69;3.71;22.66;36.0
4;0.018761968760490418;0.35454;0.018044852375984192;0.3861;10.94;9.38;5.86;8.2;5.66;8.2;2.73;1.95;8.98;23.0;31.25;25.0;13.28;14.06;14.65;19.92;4.49;3.71;23.05;36.0
5;0.017656311099529268;0.38988;0.017806767225265502;0.3976;12.5;10.16;6.25;8.59;6.64;9.57;2.93;2.15;10.55;24.0;32.81;25.0;13.67;14.45;16.21;21.88;4.49;3.91;23.44;36.0
6;0.016443628549575807;0.42358;0.015958288037776946;0.4507;14.06;10.94;7.03;9.38;7.42;11.13;3.12;2.34;11.72;25.0;32.81;25.78;13.67;14.84;17.58;23.83;4.49;4.1;23.83;37.0
7;0.015507101969718932;0.45268;0.015658396899700163;0.4684;14.06;11.72;7.42;9.77;8.2;12.5;3.32;2.54;12.89;26.0;32.81;25.78;14.06;14.84;18.75;25.59;4.3;4.1;24.22;38.0
8;0.014625252504348756;0.48094;0.014580198919773102;0.4903;15.62;12.5;7.81;10.55;8.98;13.87;3.32;2.73;14.06;27.0;32.81;25.78;14.06;15.23;19.92;26.95;4.3;4.3;25.0;38.0
9;0.013809055259227753;0.50702;0.014934396266937256;0.492;15.62;13.28;8.2;10.94;9.77;15.23;3.52;2.93;15.23;28.0;32.81;25.78;14.45;15.62;21.09;28.32;4.3;4.3;25.39;39.0
10;0.013082320764064789;0.5299;0.014027153050899506;0.5192;17.19;13.28;8.59;11.33;10.55;16.6;3.52;3.12;16.02;29.0;32.81;25.78;14.84;16.02;22.07;29.69;4.3;4.49;25.78;40.0
11;0.012385579767227173;0.55086;0.01320477567911148;0.5382;17.19;14.06;8.98;11.72;11.13;17.77;3.71;3.32;17.19;30.0;32.81;25.78;15.23;16.41;23.05;30.86;4.3;4.69;26.17;40.0
12;0.011735938742160798;0.5737;0.013264945256710053;0.5492;17.19;14.84;8.98;12.11;11.91;18.95;3.71;3.52;17.97;31.0;31.25;25.78;15.23;16.8;24.02;32.03;4.3;4.88;26.95;41.0
13;0.011207591178417206;0.58914;0.01364570460319519;0.5351;17.19;14.84;9.38;12.5;12.7;20.12;3.71;3.52;18.75;31.0;31.25;25.78;15.62;16.8;25.0;33.01;4.3;4.88;27.34;41.0
14;0.010590051083564759;0.60802;0.012482126367092132;0.5642;17.19;15.62;9.77;12.89;13.28;21.29;3.71;3.71;19.53;32.0;31.25;25.78;15.62;17.19;25.78;34.18;4.1;5.08;27.73;42.0
15;0.010094156061410904;0.62644;0.012631278789043427;0.5681;18.75;15.62;10.16;13.28;14.06;22.27;3.91;3.91;20.31;32.0;31.25;25.78;16.02;17.58;26.76;35.16;4.1;5.08;28.12;42.0
16;0.0095867316198349;0.6423;0.012656058716773987;0.5687;18.75;15.62;10.55;13.67;14.65;23.44;3.91;3.91;20.7;32.0;31.25;25.78;16.02;17.58;27.54;36.13;4.1;5.27;28.52;43.0
17;0.00909593537092209;0.6604;0.012527414762973785;0.5751;18.75;16.41;10.55;14.06;15.43;24.61;3.91;4.1;21.48;33.0;29.69;25.0;16.02;17.97;28.12;37.11;4.1;5.47;28.91;43.0
18;0.00868693809390068;0.67288;0.012255938184261322;0.5865;18.75;16.41;10.94;14.45;16.02;25.59;3.91;4.3;21.88;33.0;29.69;25.0;16.41;17.97;28.91;37.89;4.1;5.66;29.3;44.0
19;0.00821512876033783;0.68986;0.012434197521209717;0.5831;18.75;16.41;11.33;14.84;16.6;26.76;3.91;4.49;22.66;33.0;29.69;25.0;16.8;18.36;29.69;38.87;4.1;5.66;29.69;44.0
20;0.007745750548839569;0.70312;0.012866826736927033;0.5758;18.75;17.19;11.72;15.23;17.19;27.73;3.91;4.49;23.05;34.0;29.69;25.0;16.8;18.75;30.27;39.65;4.1;5.86;30.08;44.0
21;0.007404628505706787;0.71658;0.012210626673698426;0.6006;20.31;17.19;11.72;15.62;17.77;28.52;3.91;4.69;23.44;34.0;29.69;24.22;16.8;18.75;30.86;40.43;4.1;5.86;30.47;44.0
22;0.007100417732000351;0.72666;0.01252194310426712;0.5867;20.31;17.19;12.11;15.62;18.36;29.49;3.91;4.88;23.83;34.0;28.12;24.22;17.19;19.14;31.45;41.21;4.1;6.05;30.86;45.0
23;0.006731163769960404;0.73918;0.012440490186214447;0.5968;20.31;17.19;12.11;16.02;18.95;30.27;3.91;5.08;24.22;34.0;28.12;24.22;17.19;19.14;32.03;41.8;4.1;6.25;31.25;45.0
24;0.006278817487955094;0.75574;0.012514618289470673;0.6027;20.31;17.19;12.5;16.41;19.53;31.25;3.91;5.08;25.0;34.0;28.12;23.44;17.19;19.14;32.62;42.58;4.1;6.25;31.64;45.0
25;0.006000275675654411;0.76732;0.012881183314323426;0.6012;20.31;17.19;12.89;16.41;20.12;32.03;3.91;5.27;25.0;35.0;28.12;23.44;17.58;19.53;33.2;43.16;4.1;6.45;31.64;45.0
26;0.00561781730055809;0.77836;0.013071364259719848;0.5969;20.31;17.19;12.89;16.8;20.7;32.81;3.91;5.27;25.39;35.0;26.56;23.44;17.58;19.53;33.59;43.75;4.1;6.45;32.03;45.0
27;0.005364097782373428;0.78722;0.013259079265594482;0.5979;18.75;17.97;13.28;17.19;21.09;33.59;3.91;5.47;25.78;35.0;26.56;22.66;17.58;19.53;34.18;44.34;4.1;6.64;32.03;46.0
28;0.005092454969882965;0.797;0.01315810095667839;0.6052;20.31;17.19;13.28;17.19;21.68;34.38;3.91;5.66;26.17;35.0;26.56;22.66;17.58;19.92;34.57;44.92;4.1;6.64;32.42;46.0
29;0.004805535491704941;0.8077;0.01291417281627655;0.6165;20.31;17.19;13.67;17.58;22.27;34.96;3.91;5.66;26.17;35.0;26.56;22.66;17.58;19.92;35.16;45.51;4.1;6.84;32.42;46.0
30;0.004636815452575683;0.81414;0.013613743710517883;0.6034;20.31;17.19;13.67;17.58;22.66;35.74;3.91;5.86;26.56;35.0;25.0;21.88;17.58;19.92;35.55;45.9;4.1;7.03;32.42;46.0
31;0.004427064400315285;0.8224;0.01333322730064392;0.6113;18.75;17.19;13.67;17.97;23.24;36.52;3.91;5.86;26.56;35.0;25.0;21.88;17.58;20.31;35.94;46.48;4.1;7.03;32.81;46.0
32;0.004232719336152077;0.82856;0.013412178480625153;0.6165;20.31;17.19;14.06;17.97;23.63;37.11;3.91;6.05;26.95;35.0;25.0;21.88;17.97;20.31;36.33;46.88;4.1;7.23;32.81;46.0
33;0.003942310712337494;0.84118;0.013859275579452515;0.6107;18.75;17.97;14.06;17.97;24.02;37.7;3.91;6.25;27.34;35.0;25.0;21.09;17.97;20.31;36.72;47.27;4.1;7.23;33.2;46.0
34;0.003821578512787819;0.84526;0.01397184740304947;0.6138;18.75;17.19;14.45;18.36;24.61;38.28;3.91;6.25;27.34;35.0;25.0;21.09;17.97;20.31;37.11;47.85;4.1;7.42;33.2;46.0
35;0.0035907496386766435;0.85454;0.014093090558052064;0.6144;18.75;17.19;14.45;18.36;25.0;39.06;3.91;6.45;27.73;35.0;23.44;20.31;17.97;20.31;37.5;48.24;4.1;7.42;33.2;46.0
36;0.003514220485985279;0.8548;0.01410670883655548;0.6162;18.75;17.19;14.45;18.36;25.39;39.65;3.91;6.45;27.73;35.0;23.44;20.31;17.97;20.31;37.89;48.63;4.1;7.42;33.59;46.0
37;0.0033327287417650223;0.86458;0.015062943804264069;0.6064;18.75;17.19;14.84;18.75;25.78;40.04;3.91;6.64;28.12;35.0;23.44;20.31;17.97;20.31;38.09;49.02;4.1;7.62;33.59;46.0
38;0.0032582507187128066;0.865;0.014866148412227631;0.6144;18.75;17.19;14.84;18.75;26.17;40.62;3.91;6.64;28.12;35.0;23.44;19.53;17.97;20.7;38.48;49.41;4.1;7.81;33.59;46.0
39;0.003110682231783867;0.8734;0.014718955707550049;0.6152;18.75;17.19;14.84;18.75;26.76;41.21;4.1;6.84;28.12;35.0;23.44;19.53;17.97;20.7;38.87;49.8;4.1;7.81;33.98;46.0
40;0.0028885062611103056;0.88322;0.014917090058326721;0.617;18.75;17.19;15.23;19.14;27.15;41.8;4.1;6.84;28.52;35.0;23.44;19.53;17.97;20.7;39.06;50.0;4.1;8.01;33.98;46.0
41;0.002847906787991524;0.88356;0.015578861021995544;0.6058;18.75;17.19;15.23;19.14;27.54;42.19;4.1;7.03;28.52;35.0;21.88;19.53;17.97;20.7;39.45;50.39;4.1;8.01;34.38;46.0
42;0.0028152848103642466;0.8859;0.015001398277282715;0.6198;18.75;17.19;15.23;19.14;27.73;42.77;4.1;7.03;28.91;35.0;21.88;18.75;17.97;20.7;39.65;50.78;4.1;8.01;34.38;46.0
43;0.0026069659653306008;0.89222;0.01558077083826065;0.6124;18.75;17.19;15.23;19.14;28.12;43.16;4.1;7.03;28.91;35.0;21.88;18.75;17.58;20.7;40.04;50.98;4.1;8.2;34.38;46.0
44;0.0025299227026104928;0.89704;0.015872149634361267;0.6173;18.75;17.19;15.23;19.53;28.52;43.75;4.1;7.23;28.91;35.0;21.88;18.75;17.58;20.7;40.23;51.37;4.1;8.2;34.38;46.0
45;0.0024555520671606062;0.8996;0.015597362339496613;0.618;18.75;17.19;15.62;19.53;28.91;44.14;4.1;7.23;28.91;35.0;21.88;17.97;17.58;20.7;40.43;51.56;4.1;8.4;34.77;47.0
46;0.002415678174495697;0.9001;0.015775434148311614;0.6164;18.75;17.19;15.62;19.53;29.3;44.53;4.1;7.42;29.3;35.0;21.88;17.97;17.58;20.7;40.82;51.95;4.1;8.4;34.77;47.0
47;0.0023496850007772444;0.90268;0.015890336501598358;0.6159;18.75;16.41;15.62;19.53;29.69;45.12;4.1;7.42;29.3;35.0;21.88;17.97;17.58;20.7;41.02;52.15;4.3;8.4;34.77;47.0
48;0.0022288727940618994;0.90734;0.015942791271209716;0.612;18.75;16.41;15.62;19.53;29.88;45.51;4.1;7.42;29.3;36.0;20.31;17.97;17.58;20.7;41.21;52.54;4.3;8.59;35.16;47.0
49;0.0021923848728835583;0.90908;0.016016762006282808;0.6158;18.75;16.41;15.62;19.53;30.27;45.9;4.1;7.62;29.69;36.0;20.31;17.19;17.58;20.7;41.41;52.73;4.3;8.59;35.16;47.0
