;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;5.08;10.0;3.12;8.98;6.84;17.19;35.94;30.66;3.91;3.52;0.1912;0.42096217631101607;63.28;45.0;35.94;40.62;31.64;45.31;60.94;62.11;28.91;26.95;0.09322;0.49355082745075224
1;8.98;18.0;4.69;12.89;8.79;21.88;38.67;33.98;7.03;6.25;0.2702;0.3631004378199577;58.98;47.0;45.31;42.97;33.2;47.27;59.77;59.57;32.81;30.86;0.16744;0.43042488978385923
2;13.28;24.0;6.25;14.84;10.35;24.61;40.04;34.96;9.38;8.2;0.3174;0.3334799318432808;55.47;48.0;50.0;42.19;34.18;48.83;58.59;58.01;32.81;32.42;0.22494;0.39230103447198866
3;17.19;27.0;7.81;16.02;12.11;27.34;41.41;36.52;10.94;9.77;0.3604;0.30848228207826617;53.91;49.0;53.12;40.62;35.55;50.59;57.81;57.23;32.81;32.81;0.266;0.3659723804497719
4;20.7;30.0;9.38;17.19;13.48;29.88;41.99;37.3;11.72;10.94;0.4034;0.2840092505633831;53.12;49.0;54.69;38.67;36.52;52.34;57.42;56.64;32.81;32.42;0.29786;0.34670588837862015
5;23.83;32.0;10.94;17.58;14.26;31.64;42.58;38.48;13.28;11.72;0.4196;0.27171933016180994;52.73;49.0;54.69;36.33;37.11;53.71;56.84;56.25;32.81;32.03;0.3272;0.32868102021574974
6;26.56;33.0;14.06;17.97;15.23;33.2;42.97;39.45;14.06;12.11;0.4438;0.2604745782852173;53.12;49.0;56.25;34.77;37.7;54.88;56.25;56.05;32.03;31.25;0.35208;0.31442698553323745
7;28.91;34.0;14.06;18.36;15.82;34.77;42.97;40.43;14.06;12.5;0.4646;0.25206038547158244;53.52;49.0;56.25;33.2;38.09;55.86;55.66;55.86;32.03;30.47;0.37478;0.30076167179107666
8;31.25;35.0;15.62;18.36;16.6;35.94;43.16;41.41;14.84;12.89;0.4776;0.2422421801507473;53.91;49.0;56.25;32.03;38.67;56.64;55.08;55.86;32.03;29.69;0.39454;0.2901488535654545
9;33.2;36.0;17.19;18.36;17.19;37.11;42.97;42.19;15.62;13.28;0.4972;0.2317121553182602;54.3;49.0;56.25;30.86;38.87;57.23;54.3;55.86;32.03;29.3;0.41116;0.27950310823321345
