;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5162638222503662;0.05954;0.47555797262191774;0.0988;3.12;3.91;1.95;2.34;1.17;1.17;0.98;0.78;1.56;8.0;35.94;28.91;12.11;17.58;9.77;12.3;7.62;7.03;30.08;71.0
1;0.47405398133277893;0.0987;0.4356012609958649;0.1425;6.25;6.25;3.12;3.91;1.95;2.15;1.56;0.98;3.12;14.0;39.06;26.56;9.38;12.11;9.77;11.91;4.69;6.64;28.91;69.0
2;0.4459661536359787;0.1346;0.3951837622642517;0.1984;7.81;7.81;4.3;5.08;2.73;3.12;1.76;1.37;5.47;17.0;39.06;26.56;9.77;10.94;9.77;11.72;3.71;6.64;30.47;66.0
3;0.41650058027267456;0.17304;0.36752777998447417;0.244;9.38;9.38;5.08;6.25;3.52;4.1;1.95;1.56;7.42;22.0;40.62;27.34;10.55;11.33;10.35;12.3;2.93;6.25;32.03;63.0
4;0.39020114725351335;0.21326;0.33827679153084755;0.2876;10.94;10.94;5.86;7.03;4.3;4.69;2.15;1.76;10.16;24.0;39.06;27.34;10.94;11.72;11.13;13.09;2.54;6.05;33.59;61.0
5;0.3690721174454689;0.2444;0.31077488989830016;0.3428;12.5;11.72;6.25;7.81;5.08;5.66;2.15;1.95;12.11;27.0;40.62;28.12;11.72;11.72;12.11;14.06;2.34;5.66;34.77;59.0
6;0.34813749566078184;0.28122;0.30006577923297884;0.3568;14.06;11.72;7.03;8.59;5.66;6.45;2.15;2.15;14.06;29.0;39.06;28.12;12.11;12.11;13.09;14.84;2.15;5.27;36.33;57.0
7;0.33005178585529327;0.31278;0.28187642474770547;0.3993;14.06;12.5;7.42;9.38;6.45;7.23;2.15;2.34;16.41;30.0;39.06;28.91;12.5;12.5;14.06;15.82;2.15;4.88;37.5;56.0
8;0.31489254040241244;0.34344;0.26622530249357224;0.4241;15.62;13.28;8.2;9.77;7.03;8.01;2.15;2.34;18.36;31.0;37.5;28.91;13.28;12.5;15.04;16.6;2.15;4.49;38.28;55.0
9;0.3018688948369026;0.36584;0.25578327485322955;0.4484;15.62;14.06;8.59;10.55;7.81;8.79;2.34;2.54;19.92;31.0;37.5;28.91;13.67;12.89;15.82;17.38;2.15;4.1;39.06;54.0
10;0.287033373875618;0.3925;0.24578808825612067;0.4649;15.62;14.84;9.38;10.94;8.4;9.38;2.34;2.73;21.88;32.0;37.5;28.91;14.06;13.28;16.8;17.97;2.15;3.91;39.84;53.0
11;0.2753942054271698;0.41152;0.23480641228556634;0.4886;17.19;14.84;9.77;11.33;8.98;9.96;2.34;2.73;23.44;33.0;37.5;28.91;14.45;13.67;17.58;18.75;2.15;3.91;41.02;52.0
12;0.2640811719357967;0.43428;0.22806646584272386;0.5001;17.19;15.62;10.16;11.72;9.57;10.74;2.34;2.73;25.0;33.0;37.5;28.91;15.23;14.06;18.36;19.34;2.15;3.71;41.41;52.0
13;0.25523865905880927;0.4512;0.22152086288928985;0.5133;18.75;16.41;10.55;12.11;10.16;11.33;2.34;2.93;26.56;34.0;37.5;28.91;15.62;14.06;19.14;20.12;2.34;3.52;42.19;51.0
14;0.24531415672540666;0.47172;0.21393480076789856;0.5292;18.75;16.41;10.94;12.5;10.74;11.91;2.54;2.93;27.73;34.0;37.5;28.91;16.02;14.45;19.92;20.7;2.34;3.52;42.97;51.0
15;0.23733593726158142;0.4863;0.2063534738242626;0.5465;18.75;16.41;11.33;12.89;11.33;12.5;2.54;2.93;29.3;34.0;35.94;28.91;16.41;14.84;20.7;21.09;2.34;3.52;43.75;51.0
16;0.22760465918898581;0.50478;0.20490537012219429;0.5492;20.31;17.19;11.72;13.28;11.91;13.09;2.54;3.12;30.47;35.0;35.94;28.91;16.8;14.84;21.48;21.68;2.34;3.52;44.53;51.0
17;0.22022232702255248;0.52078;0.20399065451920032;0.5491;20.31;17.19;12.11;13.67;12.5;13.67;2.54;3.12;31.64;35.0;35.94;28.91;16.8;15.23;22.27;22.27;2.34;3.32;44.92;51.0
18;0.21350738148093223;0.53304;0.20108856960237026;0.5585;20.31;17.97;12.5;14.06;13.09;14.26;2.73;3.12;32.42;35.0;35.94;28.91;17.19;15.23;22.85;22.66;2.54;3.32;45.7;50.0
19;0.20545192377448082;0.5493;0.19723222429454326;0.5682;20.31;17.97;12.89;14.45;13.67;14.84;2.73;3.12;33.59;36.0;34.38;28.91;17.58;15.62;23.63;23.05;2.54;3.32;46.48;50.0
20;0.19878941266298294;0.56154;0.19829590097665786;0.5697;20.31;17.97;13.28;14.45;14.26;15.23;2.73;3.12;34.38;36.0;34.38;28.91;17.58;15.62;24.22;23.63;2.54;3.32;46.88;50.0
21;0.1925962470495701;0.5737;0.19205944577157497;0.5806;20.31;18.75;13.67;14.84;14.84;15.82;2.93;3.12;35.16;36.0;34.38;28.91;17.97;15.62;24.8;24.02;2.73;3.32;47.66;50.0
