;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;78.91;50.0;6.25;19.84;18.36;43.75;61.72;67.97;6.25;7.94;0.568;0.005417049139738083;83.59;50.0;6.25;23.81;21.09;48.83;69.14;74.22;7.81;11.9;0.5343;0.005435110485553741
1;80.47;50.0;6.25;20.63;19.92;46.88;66.41;71.88;6.25;9.52;0.5975;0.005239732295274735;84.38;50.0;6.25;24.6;21.88;49.61;69.92;75.0;7.81;12.7;0.5773;0.005311373722553253
2;80.47;50.0;6.25;22.22;20.31;47.66;67.19;72.66;7.81;10.32;0.61;0.005153666943311691;84.38;50.0;9.38;25.4;22.66;50.0;70.31;75.0;7.81;13.49;0.6118;0.005169077014923096
3;80.47;50.0;6.25;23.02;20.7;47.66;67.58;73.05;7.81;11.11;0.624;0.00508387465775013;84.38;50.0;9.38;26.19;23.05;50.39;70.31;75.39;9.38;14.29;0.635;0.00507644709944725
4;80.47;50.0;6.25;23.02;21.09;48.05;67.97;73.05;9.38;11.9;0.6515;0.004952170222997665;83.59;50.0;9.38;26.98;23.44;50.78;70.7;75.39;9.38;15.08;0.6293;0.005054502189159394
5;79.69;0.0;9.38;23.81;21.48;48.44;67.97;73.44;9.38;12.7;0.659;0.0049371057897806166;83.59;50.0;9.38;26.98;23.83;50.78;70.7;75.39;10.94;15.87;0.6564;0.004872893750667572
6;79.69;0.0;9.38;24.6;21.88;48.44;68.36;73.44;10.94;13.49;0.6705;0.004804376140236854;83.59;50.0;12.5;27.78;24.22;51.17;70.7;75.39;10.94;15.87;0.6631;0.004836440289020538
7;79.69;0.0;9.38;25.4;22.27;48.83;68.36;73.44;10.94;13.49;0.6875;0.0047611590772867205;83.59;50.0;12.5;28.57;24.61;51.17;70.7;75.39;12.5;16.67;0.6755;0.004713625791668892
8;79.69;0.0;9.38;26.19;22.27;48.83;68.75;73.44;10.94;14.29;0.6835;0.004683679446578026;83.59;50.0;12.5;28.57;25.0;51.17;71.09;75.39;12.5;17.46;0.6824;0.004667145499587059
9;78.91;0.0;9.38;26.19;22.27;48.83;68.75;73.44;10.94;15.08;0.691;0.004730696171522141;83.59;50.0;12.5;29.37;25.39;51.56;71.09;75.39;12.5;18.25;0.6849;0.004596279209852219
10;78.91;0.0;12.5;26.98;22.66;48.83;68.75;73.44;12.5;15.87;0.71;0.00447549119591713;83.59;50.0;15.62;29.37;25.39;51.56;71.09;75.39;12.5;18.25;0.698;0.004532470887899399
11;78.12;0.0;12.5;26.98;22.66;48.83;68.75;73.44;12.5;15.87;0.692;0.004650633573532104;83.59;50.0;15.62;30.16;25.78;51.56;71.09;75.39;12.5;19.05;0.7125;0.004369097134470939
12;77.34;0.0;12.5;26.98;22.66;48.83;68.75;73.44;12.5;16.67;0.728;0.0042604243010282514;82.81;50.0;15.62;30.16;25.78;51.56;71.09;75.39;14.06;19.05;0.7123;0.00436333310008049
13;77.34;0.0;12.5;27.78;22.66;48.83;68.75;73.44;14.06;16.67;0.735;0.004198032423853874;82.81;50.0;15.62;30.16;25.78;51.56;71.09;75.0;14.06;19.84;0.7266;0.0042952733457088475
14;76.56;0.0;12.5;27.78;23.05;48.83;68.75;73.05;14.06;16.67;0.722;0.004286063894629479;82.81;0.0;15.62;30.95;26.17;51.56;71.09;75.0;14.06;19.84;0.7308;0.004170154714584351
15;76.56;0.0;12.5;27.78;23.05;48.83;68.75;73.05;14.06;17.46;0.7475;0.004001282334327698;82.03;0.0;15.62;30.95;26.17;51.95;71.09;75.0;14.06;19.84;0.7387;0.004072456756234169
16;75.78;0.0;12.5;28.57;23.05;48.83;68.75;73.05;14.06;17.46;0.7475;0.004058747693896293;82.03;0.0;18.75;30.95;26.17;51.95;71.09;75.0;15.62;20.63;0.7403;0.00405821096599102
17;75.78;0.0;12.5;28.57;23.44;48.83;68.75;73.05;15.62;18.25;0.745;0.0040331118404865265;82.03;0.0;18.75;31.75;26.56;51.95;71.09;75.0;15.62;20.63;0.7459;0.004057139363884926
18;75.0;0.0;12.5;28.57;23.44;49.22;68.75;73.05;15.62;18.25;0.7425;0.004304727196693421;82.03;0.0;18.75;31.75;26.56;51.95;71.09;75.0;15.62;20.63;0.7562;0.0038983346283435823
19;75.0;0.0;12.5;29.37;23.44;49.22;68.75;73.05;15.62;18.25;0.7415;0.004072476536035537;81.25;0.0;18.75;31.75;26.56;51.95;71.09;75.0;15.62;21.43;0.7549;0.0039030861139297485
