;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013790810465812682;0.537;0.0013827453851699828;0.583;6.25;4.69;7.14;20.63;15.62;32.42;48.05;53.12;65.62;50.0;6.25;6.25;10.32;29.37;21.48;48.44;67.58;75.78;83.59;50.0
1;0.0013346265256404877;0.5966;0.0013289409875869751;0.6425;6.25;6.25;7.94;24.6;18.36;41.8;59.38;66.41;72.66;50.0;6.25;6.25;11.11;30.16;21.88;48.83;67.97;75.78;82.81;50.0
2;0.0012747204184532165;0.6368;0.0012648397982120514;0.6285;6.25;6.25;9.52;26.19;18.75;42.97;60.94;67.19;67.97;0.0;6.25;6.25;11.9;30.95;22.27;49.22;67.97;75.0;81.25;50.0
3;0.0012098738014698028;0.6695;0.0011500516533851624;0.692;6.25;6.25;10.32;28.57;19.14;43.75;61.33;67.19;64.84;0.0;6.25;7.81;12.7;32.54;22.66;49.61;67.97;74.61;78.91;50.0
4;0.0011516349673271178;0.694;0.0012296268492937089;0.6685;6.25;7.81;11.11;30.16;19.53;44.53;61.72;67.19;60.16;0.0;6.25;7.81;13.49;34.13;23.44;50.0;67.58;73.83;76.56;50.0
5;0.0011150998532772065;0.7058;0.00108648681640625;0.7195;6.25;7.81;11.9;31.75;19.92;44.92;61.72;66.8;57.03;0.0;6.25;9.38;14.29;35.71;23.83;50.39;67.58;73.44;74.22;0.0
6;0.0010509553551673889;0.7367;0.001086909517645836;0.713;6.25;9.38;13.49;32.54;20.31;44.92;61.72;66.02;54.69;0.0;6.25;9.38;15.08;36.51;24.22;50.39;67.19;72.66;71.88;0.0
7;0.0010141351789236068;0.7465;0.001227101668715477;0.697;6.25;9.38;14.29;34.13;20.7;44.92;61.33;65.62;50.0;0.0;6.25;10.94;15.87;38.1;24.61;50.78;66.8;72.27;69.53;0.0
8;0.0009854500591754912;0.7557;0.0012296271696686746;0.7115;6.25;10.94;15.08;34.92;21.09;45.31;61.33;64.84;46.88;0.0;6.25;10.94;16.67;38.89;24.61;50.78;66.8;71.48;67.97;0.0
9;0.0009575914323329926;0.7666;0.0009821080565452576;0.7475;6.25;10.94;15.87;35.71;21.48;45.31;61.33;64.45;45.31;0.0;6.25;10.94;17.46;39.68;25.0;51.17;66.41;71.09;66.41;0.0
10;0.0009224069684743881;0.771;0.0010513689070940017;0.7545;6.25;10.94;16.67;36.51;21.48;45.7;60.94;63.28;42.19;0.0;6.25;12.5;18.25;40.48;25.39;51.17;66.02;70.31;64.06;0.0
11;0.0009088613510131836;0.7782;0.000965668186545372;0.7675;6.25;12.5;16.67;37.3;21.88;45.7;60.94;62.89;40.62;0.0;9.38;12.5;19.05;40.48;25.78;51.56;66.02;69.53;62.5;0.0
12;0.0009052791863679886;0.7815;0.0010222683101892471;0.7615;6.25;12.5;17.46;38.1;21.88;46.09;60.55;62.11;37.5;0.0;9.38;12.5;19.05;41.27;25.78;51.56;65.62;68.75;60.16;0.0
13;0.0008809048742055893;0.7882;0.0009627948850393296;0.7685;6.25;12.5;18.25;38.1;22.27;46.09;60.16;61.33;35.94;0.0;9.38;14.06;19.84;42.06;26.17;51.56;65.23;67.97;58.59;0.0
14;0.0008351089060306549;0.8069;0.0009669674783945084;0.775;6.25;12.5;19.05;38.89;22.66;46.09;59.77;60.55;33.59;0.0;9.38;14.06;20.63;42.06;26.56;51.95;64.84;67.58;57.03;0.0
15;0.0008467029184103012;0.799;0.0009335363358259201;0.777;9.38;14.06;19.05;39.68;23.05;46.48;59.38;59.77;32.03;0.0;9.38;14.06;20.63;42.86;26.56;51.95;64.45;66.8;55.47;0.0
16;0.0008235329359769821;0.8059;0.0014551786035299301;0.67;9.38;14.06;19.84;39.68;23.44;46.48;58.59;58.98;28.91;0.0;9.38;14.06;21.43;42.86;26.95;52.34;64.06;66.02;53.12;0.0
17;0.000807574924826622;0.8101;0.0008880186825990677;0.7895;9.38;14.06;19.84;40.48;23.44;46.48;58.59;58.2;27.34;0.0;9.38;15.62;21.43;42.86;27.34;52.34;64.06;65.62;51.56;0.0
18;0.000771163409948349;0.8241;0.0008864846527576447;0.7865;9.38;14.06;20.63;40.48;23.83;46.88;58.2;57.81;26.56;0.0;9.38;15.62;22.22;43.65;27.73;52.34;63.67;64.84;50.0;0.0
19;0.0007789326161146164;0.8207;0.0011842641532421113;0.736;9.38;14.06;20.63;41.27;24.22;46.88;57.81;57.03;24.22;0.0;9.38;15.62;23.02;43.65;28.12;52.73;63.28;64.06;48.44;0.0
