;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3615646348252892;0.5104;0.3473096162229776;0.501;3.12;1.56;0.79;1.59;2.34;2.34;1.17;0.78;0.78;50.0;6.25;10.94;10.32;21.43;14.84;19.92;10.16;7.03;19.53;50.0
1;0.36144378720521925;0.5088;0.3627057185322046;0.5305;6.25;3.12;1.59;2.38;3.12;3.91;2.34;1.95;2.34;0.0;12.5;9.38;11.11;23.02;20.31;29.69;15.23;10.16;28.12;50.0
2;0.3582998365044594;0.5019;0.3534998694956303;0.534;6.25;3.12;2.38;2.38;3.91;4.69;2.34;1.95;3.12;0.0;9.38;7.81;11.9;24.6;25.39;35.94;16.41;10.94;31.25;50.0
3;0.3564094518572092;0.5045;0.353979243606329;0.4495;6.25;3.12;2.38;3.17;4.3;5.47;2.73;2.34;3.12;0.0;9.38;7.81;11.11;25.4;25.0;36.72;14.45;9.77;29.69;50.0
4;0.35612326364815233;0.4925;0.3522339654564858;0.5075;6.25;4.69;3.17;3.97;3.91;5.08;2.73;2.34;3.91;0.0;9.38;7.81;10.32;24.6;21.09;34.38;12.5;8.2;27.34;50.0
5;0.35469571554660795;0.4995;0.40809799917042255;0.4555;6.25;4.69;3.17;3.97;3.52;4.3;2.73;1.95;3.91;0.0;6.25;7.81;9.52;24.6;18.75;33.59;11.72;7.42;26.56;50.0
6;0.35230580618679525;0.5097;0.34855999079346656;0.4515;6.25;4.69;3.17;3.97;3.52;3.91;2.34;1.95;4.69;0.0;6.25;7.81;8.73;23.81;17.19;32.42;10.55;7.03;26.56;50.0
7;0.35175881676673887;0.5002;0.3470556571781635;0.564;6.25;4.69;3.17;4.76;3.52;3.91;2.34;1.95;4.69;0.0;6.25;7.81;8.73;23.02;16.41;31.64;9.77;6.64;26.56;50.0
8;0.3497193142056465;0.5129;0.3472045834362507;0.498;6.25;4.69;3.17;3.97;3.12;3.91;2.73;2.34;5.47;50.0;6.25;7.81;7.94;23.02;15.62;30.86;9.38;6.25;26.56;50.0
9;0.3498860797852278;0.5108;0.3745007963702083;0.513;3.12;4.69;3.17;3.97;3.12;3.91;2.73;2.34;5.47;50.0;6.25;7.81;7.94;23.02;14.84;30.47;9.38;6.64;26.56;50.0
10;0.34958820114433764;0.5021;0.35014874893426895;0.4865;3.12;4.69;2.38;3.97;3.12;3.91;2.73;2.34;5.47;50.0;6.25;7.81;7.94;22.22;13.67;29.69;9.38;6.64;26.56;50.0
11;0.3489524670958519;0.5079;0.3500044028609991;0.5455;3.12;3.12;2.38;3.97;3.12;3.91;2.73;2.73;5.47;50.0;6.25;7.81;7.14;22.22;12.89;29.69;9.38;6.64;26.56;50.0
12;0.34842015499174595;0.512;0.3447859510779381;0.5585;3.12;3.12;2.38;3.97;3.12;3.91;2.73;2.73;6.25;50.0;6.25;6.25;7.14;22.22;12.11;28.91;8.98;6.25;25.78;50.0
13;0.34793544286489486;0.5146;0.34592445482313633;0.5;3.12;3.12;2.38;3.97;3.12;3.91;2.73;2.73;6.25;50.0;6.25;6.25;7.14;21.43;11.33;28.52;8.59;6.25;25.78;50.0
14;0.3480843097358942;0.5081;0.34307083663344384;0.556;3.12;3.12;2.38;3.97;2.73;3.91;2.73;2.73;6.25;50.0;6.25;6.25;6.35;20.63;10.55;27.73;8.59;6.25;25.78;50.0
15;0.34727928367257116;0.5159;0.35127287966012954;0.4535;3.12;3.12;2.38;3.97;2.73;3.91;2.73;2.73;6.25;50.0;6.25;6.25;6.35;19.84;10.16;27.34;8.2;6.25;25.0;50.0
16;0.3473074442863464;0.5177;0.3431624491512775;0.55;3.12;3.12;2.38;3.97;2.73;3.91;2.73;2.73;6.25;50.0;6.25;6.25;5.56;19.05;9.38;26.56;8.2;6.25;24.22;50.0
17;0.34742473785579203;0.5105;0.3498153465986252;0.5;3.12;3.12;2.38;3.97;2.73;3.91;2.73;2.73;6.25;50.0;6.25;6.25;5.56;18.25;8.98;25.78;7.81;6.25;24.22;50.0
18;0.3476281493246555;0.5074;0.34822421258687974;0.5;3.12;3.12;2.38;3.97;2.34;3.91;2.73;2.73;7.03;50.0;6.25;4.69;5.56;17.46;8.2;25.0;7.81;5.86;24.22;50.0
19;0.34757874958515167;0.504;0.3470365169644356;0.5;3.12;3.12;2.38;3.17;2.34;3.52;2.73;2.73;7.03;50.0;6.25;4.69;4.76;16.67;7.81;24.22;7.42;5.86;24.22;50.0
