;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08404392234385014;0.5878;0.07996243932843208;0.622;6.25;3.12;2.38;3.17;1.17;1.56;1.17;0.39;0.78;0.0;28.12;26.56;17.46;26.19;12.5;12.5;10.55;8.2;23.44;50.0
1;0.07845673032999038;0.6613;0.07335142828524113;0.706;12.5;6.25;4.76;6.35;1.56;2.34;1.56;1.17;1.56;0.0;46.88;37.5;23.81;30.16;8.2;12.11;7.42;7.03;23.44;0.0
2;0.0724709874600172;0.7046;0.06702594412863254;0.742;15.62;9.38;7.14;7.14;1.56;2.34;1.56;1.17;2.34;0.0;59.38;40.62;29.37;29.37;6.25;11.72;5.86;6.25;21.09;0.0
3;0.06843656702637672;0.7269;0.06233302623778582;0.765;18.75;12.5;8.73;8.73;1.95;2.34;1.95;1.56;3.12;0.0;62.5;42.19;32.54;26.98;5.47;11.72;4.69;6.25;17.97;0.0
4;0.06685346266329288;0.7327;0.061662691280245784;0.7665;21.88;15.62;9.52;8.73;1.95;2.73;1.95;1.95;3.91;0.0;62.5;43.75;32.54;24.6;5.47;12.89;4.3;6.25;16.41;0.0
5;0.06479283622801305;0.7481;0.060999202720820905;0.7685;25.0;17.19;11.11;9.52;2.34;3.52;2.34;2.34;3.91;0.0;65.62;43.75;31.75;22.22;5.47;13.67;3.91;6.25;16.41;0.0
6;0.06215198349058628;0.7607;0.0601420534029603;0.759;28.12;18.75;11.9;9.52;2.73;3.91;2.34;2.34;4.69;0.0;65.62;43.75;31.75;20.63;5.47;14.45;3.91;6.64;14.06;0.0
7;0.06108796898573637;0.7641;0.06044781608134508;0.7675;31.25;20.31;12.7;10.32;3.12;3.52;1.95;2.73;4.69;0.0;68.75;43.75;30.16;19.05;5.86;14.45;3.52;7.03;13.28;0.0
8;0.05909055050835013;0.7766;0.051935441739857195;0.813;34.38;21.88;12.7;11.11;3.52;3.91;1.95;3.12;4.69;0.0;68.75;43.75;29.37;18.25;6.25;14.45;3.52;7.42;12.5;0.0
9;0.05810809511840343;0.7859;0.05223116824030876;0.815;34.38;23.44;13.49;11.11;3.91;4.3;2.34;3.12;5.47;0.0;68.75;43.75;29.37;17.46;6.64;14.84;3.12;7.03;11.72;0.0
10;0.05629783782437444;0.7945;0.05131046382337809;0.8325;37.5;25.0;14.29;11.9;4.3;4.69;2.34;3.52;5.47;0.0;71.88;43.75;28.57;16.67;7.03;14.84;3.12;7.03;12.5;0.0
11;0.05690871443450451;0.7922;0.04965608410164714;0.8205;40.62;26.56;15.08;11.9;4.3;5.08;2.34;3.52;6.25;0.0;71.88;43.75;28.57;16.67;7.42;14.84;3.52;6.64;12.5;0.0
12;0.05490515200570226;0.8018;0.05081051528081298;0.8215;40.62;26.56;15.87;12.7;4.69;5.08;2.34;3.91;7.03;0.0;71.88;43.75;28.57;15.87;7.81;14.84;3.52;7.03;14.06;0.0
13;0.054463896307349206;0.8067;0.04894675716385245;0.816;43.75;28.12;15.87;12.7;5.08;5.47;2.73;3.91;7.03;0.0;71.88;43.75;28.57;15.87;8.2;14.84;3.52;7.03;15.62;0.0
14;0.05289245232269168;0.8136;0.050063583489507436;0.814;43.75;29.69;16.67;12.7;5.47;5.86;2.73;4.3;7.81;0.0;71.88;43.75;28.57;15.87;8.59;15.23;3.52;7.03;16.41;0.0
15;0.05155728548765182;0.8237;0.045344403736293316;0.841;46.88;29.69;17.46;13.49;5.86;6.25;2.73;4.3;8.59;0.0;71.88;43.75;28.57;15.87;8.98;15.62;3.91;6.64;17.19;0.0
16;0.05108339791595936;0.8318;0.04726043486595154;0.8405;46.88;31.25;18.25;13.49;5.86;6.64;3.12;4.3;9.38;0.0;71.88;43.75;28.57;15.87;9.38;15.62;4.3;6.64;18.75;0.0
17;0.04911117516607046;0.8358;0.04773410127311945;0.8165;46.88;32.81;18.25;13.49;6.25;7.03;3.12;4.3;9.38;0.0;71.88;43.75;28.57;15.87;9.77;16.02;4.3;6.25;19.53;0.0
18;0.049130880823731425;0.8332;0.04637760108709335;0.8355;50.0;32.81;19.05;14.29;6.64;7.42;3.12;4.3;10.16;0.0;71.88;43.75;28.57;15.87;10.16;16.02;4.3;5.86;20.31;0.0
19;0.04751131289973855;0.8434;0.04324880478903651;0.846;50.0;34.38;19.84;14.29;7.03;7.81;3.12;4.3;10.94;0.0;71.88;45.31;28.57;15.87;10.55;16.02;4.3;5.86;20.31;0.0
