;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.09389237829744816;0.5274;0.0870487255603075;0.585;3.12;1.56;2.38;3.97;2.73;5.08;10.94;3.52;1.56;0.0;9.38;7.81;11.9;18.25;11.72;20.7;33.98;23.83;16.41;50.0
1;0.08626118323206902;0.5699;0.08146254587173461;0.6395;6.25;4.69;4.76;6.35;4.3;9.38;19.53;6.25;2.34;0.0;9.38;9.38;15.08;22.22;13.67;23.44;37.11;22.27;16.41;0.0
2;0.08055077050328255;0.6331;0.0734362516477704;0.6935;9.38;6.25;7.14;10.32;5.47;11.72;21.48;6.25;2.34;0.0;15.62;12.5;19.05;26.98;16.02;26.56;39.45;21.88;15.62;0.0
3;0.07570171987712383;0.6753;0.06880131325125695;0.7255;12.5;7.81;9.52;13.49;7.03;14.45;24.22;6.64;3.12;0.0;25.0;17.19;23.81;30.16;17.58;28.91;40.62;21.09;14.84;0.0
4;0.07141412082314491;0.705;0.06800707838684321;0.7175;15.62;10.94;11.9;15.87;7.81;16.02;25.0;6.64;3.12;0.0;31.25;20.31;27.78;33.33;18.75;30.86;41.02;20.31;13.28;0.0
5;0.06615531663447619;0.7383;0.05962603731453419;0.7735;15.62;10.94;12.7;15.87;7.81;16.8;25.39;6.64;3.12;0.0;31.25;20.31;26.98;32.54;17.97;30.86;40.62;18.75;12.5;0.0
6;0.06448940220028163;0.7504;0.05796057360619306;0.784;15.62;10.94;12.7;15.87;7.81;17.19;25.39;6.64;3.12;0.0;31.25;18.75;25.4;30.95;17.19;30.47;39.84;17.58;11.72;0.0
7;0.06259269616901875;0.7559;0.05845017877221108;0.793;15.62;10.94;12.7;15.87;8.2;17.58;25.78;6.64;3.12;0.0;28.12;18.75;24.6;30.16;16.41;30.08;39.06;16.41;10.94;0.0
8;0.061830447699129584;0.7621;0.056453327134251594;0.8;15.62;10.94;13.49;15.87;8.2;17.58;26.17;6.64;2.34;0.0;28.12;17.19;23.02;29.37;15.62;29.69;38.67;15.62;10.16;0.0
9;0.060256101673841475;0.7712;0.0558489360883832;0.7945;18.75;12.5;13.49;15.87;8.2;17.97;26.17;6.64;2.34;0.0;28.12;17.19;22.22;28.57;15.23;29.69;38.67;15.23;10.16;0.0
10;0.059578214015066626;0.7749;0.05483407375216484;0.8065;15.62;12.5;13.49;15.87;8.2;17.97;26.17;6.64;2.34;0.0;28.12;17.19;21.43;27.78;14.84;29.3;38.28;14.84;9.38;0.0
11;0.058202345921099186;0.7814;0.0542806663364172;0.8045;15.62;12.5;12.7;15.87;8.2;18.36;26.56;6.64;2.34;0.0;28.12;15.62;20.63;26.19;14.45;28.91;37.89;14.45;9.38;0.0
12;0.05878601146638393;0.7804;0.053698396556079386;0.8095;15.62;12.5;12.7;15.87;7.81;18.36;26.56;6.64;2.34;0.0;25.0;15.62;19.84;25.4;14.06;28.52;37.5;14.06;8.59;0.0
13;0.058571383123099806;0.7776;0.053759276553988454;0.808;15.62;12.5;12.7;15.87;7.81;17.97;26.56;6.25;2.34;0.0;25.0;15.62;19.05;24.6;13.67;28.12;37.5;13.67;8.59;0.0
14;0.05853113711029291;0.7773;0.05334515811502934;0.8115;15.62;10.94;12.7;15.87;7.81;17.97;26.56;6.25;2.34;0.0;25.0;15.62;18.25;24.6;13.28;28.12;37.11;13.28;8.59;0.0
15;0.05865967673361301;0.7823;0.05335009387508035;0.8035;15.62;10.94;11.9;15.08;7.81;17.97;26.17;6.25;2.34;0.0;25.0;14.06;17.46;23.81;12.89;27.73;37.11;12.89;7.81;0.0
16;0.05859252425134182;0.7795;0.052636710587888956;0.811;15.62;10.94;11.9;15.08;7.81;17.97;26.17;6.25;2.34;0.0;25.0;14.06;16.67;23.02;12.5;27.34;36.72;12.5;7.81;0.0
17;0.05754548702687025;0.7864;0.05328033047914505;0.811;15.62;10.94;11.9;15.08;7.42;17.97;26.17;6.25;2.34;0.0;25.0;14.06;16.67;22.22;12.5;27.34;36.72;12.11;7.81;0.0
18;0.05932536592036486;0.78;0.053781055472791196;0.8095;15.62;10.94;11.9;15.08;7.42;17.97;26.17;6.25;2.34;0.0;25.0;14.06;15.87;22.22;12.11;26.95;36.33;12.11;7.81;0.0
19;0.05865925987362862;0.778;0.05398699813336134;0.8125;15.62;10.94;11.9;15.08;7.42;17.97;26.17;6.25;2.34;0.0;21.88;14.06;15.87;21.43;11.72;26.56;36.33;11.72;7.03;0.0
