;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.21197832592427732;0.38152;0.15343604972064495;0.5416;6.25;6.25;4.76;6.35;3.91;6.25;6.25;2.34;3.91;50.0;62.5;34.38;30.16;38.89;27.34;35.16;34.77;27.73;35.16;70.0
1;0.16244704525351525;0.54818;0.12423767407238484;0.6612;12.5;7.81;7.14;9.52;6.64;10.55;9.38;4.69;7.81;60.0;65.62;34.38;31.75;34.13;31.64;40.62;30.86;26.95;40.62;60.0
2;0.13963353094041348;0.62072;0.10899337570369244;0.6992;15.62;9.38;8.73;11.11;9.38;14.06;10.16;6.64;12.5;70.0;68.75;34.38;31.75;31.75;34.77;43.36;27.73;26.17;43.75;70.0
3;0.12369185422956944;0.66942;0.09816543459892273;0.7316;18.75;10.94;10.32;12.7;11.72;16.8;10.55;8.2;15.62;70.0;68.75;34.38;31.75;30.16;37.11;44.92;24.61;25.78;45.31;70.0
4;0.11380945166647434;0.69658;0.09139437117874623;0.7535;21.88;14.06;11.11;13.49;13.67;19.53;10.55;9.77;18.75;70.0;68.75;34.38;31.75;29.37;38.67;45.7;22.27;25.0;46.88;70.0
5;0.09066302887350321;0.75742;0.07250984895378351;0.8068;25.0;14.06;11.11;13.49;14.06;19.92;9.77;9.38;18.75;70.0;65.62;29.69;28.57;26.19;36.72;43.75;18.75;21.88;43.75;70.0
6;0.08562386093556881;0.77294;0.07118102642595768;0.8122;25.0;14.06;11.11;12.7;14.45;20.31;9.38;9.38;17.97;70.0;62.5;26.56;25.4;23.02;35.16;41.8;16.41;19.53;41.41;70.0
7;0.08324903814405203;0.77796;0.06780488513708115;0.8164;25.0;14.06;11.11;12.7;14.45;20.31;8.98;9.38;17.97;70.0;59.38;23.44;23.02;21.43;33.2;39.84;15.23;17.97;39.06;70.0
8;0.07999334542274475;0.78914;0.06711541481912137;0.8212;25.0;14.06;11.11;11.9;14.45;20.7;8.98;8.98;17.19;70.0;56.25;21.88;21.43;19.84;32.03;38.67;14.06;16.8;38.28;70.0
9;0.078187823600173;0.79328;0.06858494834601879;0.8183;25.0;14.06;10.32;11.9;14.45;20.7;8.59;8.98;17.19;70.0;56.25;20.31;19.84;18.25;30.47;37.5;13.28;16.02;36.72;70.0
10;0.07523391821324825;0.8007;0.06484807021617889;0.8265;25.0;14.06;10.32;11.9;14.45;20.7;8.59;8.98;17.19;70.0;53.12;18.75;18.25;17.46;29.3;36.33;12.5;15.23;35.94;70.0
11;0.07396739444553851;0.80314;0.06541540841013194;0.8243;21.88;12.5;10.32;11.11;14.06;20.7;8.2;8.59;16.41;70.0;53.12;17.19;17.46;16.67;28.12;35.55;12.11;14.45;35.16;70.0
12;0.0738922784626484;0.80422;0.06491290879100561;0.8243;21.88;12.5;10.32;11.11;14.06;20.31;8.2;8.59;16.41;70.0;50.0;15.62;15.87;15.87;27.34;34.38;11.72;14.06;34.38;70.0
13;0.07300434965401888;0.80694;0.06402295188605786;0.8281;21.88;12.5;10.32;11.11;13.67;20.31;7.81;8.59;16.41;70.0;46.88;15.62;15.08;15.08;26.56;33.59;11.33;13.28;33.59;70.0
14;0.07288674709439277;0.80782;0.06391928651928902;0.8274;21.88;12.5;10.32;10.32;13.67;19.92;7.81;8.2;15.62;70.0;46.88;14.06;14.29;14.29;25.39;32.81;10.94;12.89;32.81;70.0
15;0.07252692574650049;0.80736;0.06358627793490887;0.8294;21.88;12.5;9.52;10.32;13.28;19.92;7.81;8.2;15.62;70.0;43.75;14.06;14.29;14.29;25.0;32.03;10.55;12.5;32.03;70.0
16;0.07238953658163548;0.80764;0.06437131704092025;0.8263;21.88;10.94;9.52;10.32;13.28;19.53;7.42;7.81;14.84;70.0;43.75;14.06;13.49;13.49;24.22;31.25;10.16;12.11;31.25;70.0
17;0.07254569982320071;0.80628;0.06283623427301645;0.8313;21.88;10.94;9.52;10.32;13.28;19.53;7.42;7.81;14.84;70.0;40.62;12.5;12.7;13.49;23.44;30.86;10.16;11.72;30.47;70.0
18;0.07205149831801654;0.8082;0.06286946466267108;0.8319;21.88;10.94;9.52;9.52;12.89;19.53;7.42;7.81;14.84;70.0;40.62;12.5;12.7;12.7;23.05;30.08;9.77;11.33;29.69;70.0
19;0.07269254869610071;0.80662;0.06379320061802864;0.8275;18.75;10.94;9.52;9.52;12.89;19.14;7.42;7.42;14.06;70.0;37.5;12.5;11.9;12.7;22.27;29.69;9.38;10.94;29.69;70.0
