;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;6.25;6.0;6.25;14.29;8.59;14.84;16.8;8.59;9.38;7.94;0.1196;0.029688871383666993;62.5;17.0;9.38;41.27;30.47;46.88;56.25;57.81;20.31;25.4;0.0685;0.03317513203620911
1;10.16;9.0;9.38;17.46;10.55;16.41;16.02;7.03;15.62;11.9;0.1962;0.025637797212600708;52.34;13.0;12.5;46.83;35.55;50.0;49.22;42.97;31.25;34.13;0.16296;0.027250653767585755
2;14.06;12.0;9.38;20.63;12.5;19.92;17.97;8.2;18.75;14.29;0.293;0.021625183868408202;45.31;16.0;18.75;46.03;37.5;52.34;45.7;32.03;37.5;35.71;0.241;0.023576559901237488
3;17.97;13.0;12.5;22.22;15.23;23.05;18.36;8.98;21.88;15.87;0.3273;0.02047103612422943;42.19;17.0;21.88;44.44;39.06;53.52;42.19;25.78;39.06;34.92;0.29772;0.021261645469665528
4;20.31;15.0;15.62;23.81;17.19;25.78;18.75;9.38;23.44;16.67;0.3743;0.01876811923980713;40.62;19.0;21.88;42.86;39.45;54.3;38.28;21.88;40.62;34.13;0.33946;0.01973906780719757
5;22.66;16.0;15.62;24.6;17.97;28.52;19.53;9.38;25.0;16.67;0.3739;0.01883941601514816;40.62;20.0;25.0;41.27;40.23;55.47;35.55;19.53;40.62;34.13;0.37082;0.018543616147041322
6;25.0;17.0;18.75;25.4;19.14;31.25;20.31;9.38;26.56;17.46;0.4271;0.016882152271270753;40.62;22.0;25.0;40.48;40.62;55.86;33.98;18.36;40.62;33.33;0.40164;0.017542067880630494
7;27.34;18.0;18.75;25.4;20.31;33.2;20.7;9.77;26.56;17.46;0.4439;0.016273549365997314;41.41;23.0;28.12;38.89;41.8;56.64;32.81;17.97;40.62;32.54;0.42636;0.016652306823730468
8;28.91;19.0;21.88;26.19;21.48;35.55;21.09;10.16;28.12;18.25;0.4698;0.015478806817531585;41.41;24.0;28.12;38.1;42.58;57.42;32.42;17.97;42.19;32.54;0.4463;0.015981198318004607
9;29.69;20.0;21.88;26.19;22.66;37.5;21.48;10.55;28.12;18.25;0.4799;0.015067991495132447;42.19;25.0;28.12;37.3;42.97;58.2;32.03;17.58;42.19;31.75;0.46976;0.015212619178295136
10;31.25;20.0;21.88;26.19;23.44;39.45;21.88;10.94;28.12;18.25;0.4803;0.015040399491786956;42.19;26.0;28.12;36.51;44.14;58.59;32.03;17.97;42.19;30.95;0.48348;0.014732491266727448
11;32.81;21.0;25.0;26.19;24.22;41.02;22.27;11.33;29.69;18.25;0.5001;0.014443270361423493;42.97;26.0;31.25;36.51;44.92;59.38;32.03;17.97;42.19;30.95;0.49936;0.014210285716056825
12;33.59;21.0;25.0;26.98;25.39;42.58;23.05;11.72;29.69;19.05;0.5052;0.014392528343200683;42.97;27.0;31.25;36.51;45.31;59.77;32.03;17.97;40.62;30.16;0.5128;0.013725893061161041
13;34.38;21.0;25.0;26.98;26.17;44.14;23.44;12.11;29.69;19.05;0.505;0.014439790713787079;43.75;28.0;31.25;35.71;46.09;60.16;32.03;18.36;40.62;29.37;0.52938;0.013260010271072388
14;35.16;22.0;28.12;26.98;26.95;45.31;24.22;12.5;29.69;19.05;0.5173;0.014070011115074157;43.75;28.0;31.25;35.71;46.88;60.94;32.42;18.75;40.62;29.37;0.54454;0.012789656641483307
15;35.94;22.0;28.12;27.78;27.73;46.48;24.61;12.89;29.69;19.84;0.5349;0.013448655903339386;44.53;29.0;31.25;34.92;47.27;61.33;32.42;18.75;40.62;29.37;0.55412;0.01239659239768982
16;36.72;22.0;28.12;27.78;28.52;47.66;25.0;13.28;31.25;19.84;0.5384;0.013345849323272705;44.53;29.0;31.25;34.92;48.05;61.72;32.81;19.14;40.62;28.57;0.56996;0.011951197111606597
17;36.72;23.0;28.12;28.57;29.3;48.44;25.78;13.67;31.25;19.84;0.5433;0.013367993593215942;45.31;30.0;31.25;34.92;48.44;62.11;33.2;19.53;40.62;28.57;0.5817;0.011598402357101441
18;37.5;23.0;28.12;28.57;30.08;49.61;26.17;14.06;31.25;20.63;0.5393;0.013463590824604034;45.31;30.0;31.25;34.92;49.22;62.5;33.2;19.92;40.62;27.78;0.59482;0.011228878099918365
19;37.5;23.0;28.12;29.37;30.86;50.39;26.56;14.45;31.25;20.63;0.5468;0.013334654867649079;45.31;31.0;31.25;34.92;49.61;62.89;33.59;20.31;40.62;27.78;0.60402;0.010905156586170197
