;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;78.91;61.0;6.25;22.22;21.48;42.58;63.28;73.05;9.38;7.94;0.0261;0.009162932777404785;83.59;71.0;6.25;26.98;22.66;46.09;65.23;75.78;9.38;11.11;0.0156;0.009009197912216186
1;76.56;53.0;6.25;23.02;21.88;42.19;63.28;73.05;9.38;8.73;0.0446;0.009052025985717773;82.81;69.0;6.25;26.98;23.05;46.48;65.23;75.78;10.94;11.11;0.0349;0.008928372621536255
2;73.44;40.0;6.25;23.02;21.88;41.8;62.89;72.27;9.38;8.73;0.0534;0.008898878574371338;82.03;63.0;6.25;26.98;23.44;46.09;65.23;75.39;10.94;11.9;0.04586;0.008803657331466675
3;70.31;29.0;6.25;23.02;21.48;41.41;62.5;71.88;9.38;9.52;0.0564;0.008741707229614258;79.69;55.0;6.25;27.78;23.44;46.09;64.84;75.0;10.94;11.9;0.05178;0.008658935928344727
4;67.97;21.0;6.25;23.02;21.48;41.02;62.5;71.48;10.94;9.52;0.0628;0.008605848169326783;78.12;49.0;6.25;27.78;23.44;45.7;64.84;74.61;10.94;11.9;0.05826;0.008524206161499024
5;65.62;15.0;6.25;23.02;21.48;41.02;62.11;71.09;10.94;10.32;0.0674;0.008483881521224975;77.34;43.0;6.25;27.78;23.44;45.7;64.84;74.22;10.94;12.7;0.06416;0.008400301837921143
6;64.06;11.0;6.25;23.81;21.48;40.62;62.11;70.7;10.94;10.32;0.075;0.008372897720336914;75.78;37.0;6.25;27.78;23.44;45.31;64.45;74.22;12.5;12.7;0.06792;0.00829632622718811
7;62.5;9.0;6.25;23.81;21.48;40.62;61.72;70.7;10.94;10.32;0.0823;0.008278169536590576;75.0;33.0;6.25;28.57;23.83;45.31;64.45;73.83;12.5;12.7;0.07368;0.00819846137046814
8;61.72;8.0;6.25;23.81;21.48;40.62;61.72;70.31;10.94;11.11;0.0859;0.008190100431442261;74.22;29.0;6.25;28.57;23.83;45.31;64.45;73.44;12.5;13.49;0.07842;0.008114071550369263
9;60.16;8.0;6.25;24.6;21.48;40.62;61.72;70.31;10.94;11.11;0.0907;0.00810258936882019;73.44;25.0;9.38;28.57;23.83;45.31;64.45;73.44;12.5;13.49;0.08406;0.008030300970077515
10;59.38;7.0;6.25;24.6;21.48;40.62;61.72;69.92;12.5;11.11;0.0951;0.008012563776969909;72.66;22.0;9.38;28.57;23.83;45.31;64.45;73.05;12.5;13.49;0.09054;0.007952104015350342
11;58.59;7.0;6.25;24.6;21.88;40.62;61.72;69.92;12.5;11.11;0.1005;0.007937142324447631;71.88;20.0;9.38;29.37;23.83;45.31;64.45;73.05;12.5;13.49;0.0946;0.007876506767272948
12;57.81;7.0;6.25;24.6;21.88;40.62;61.72;69.53;12.5;11.9;0.1066;0.00785820336341858;71.88;18.0;9.38;29.37;24.22;45.31;64.45;73.05;12.5;13.49;0.09996;0.007802367353439331
13;57.81;7.0;6.25;24.6;21.88;40.62;61.33;69.53;12.5;11.9;0.1102;0.007782684326171875;71.09;16.0;9.38;29.37;24.22;45.31;64.45;72.66;14.06;14.29;0.10554;0.007732204747200012
14;57.03;7.0;6.25;25.4;21.88;40.62;61.33;69.53;12.5;11.9;0.1162;0.007715863609313965;70.31;15.0;9.38;29.37;24.22;45.31;64.06;72.66;14.06;14.29;0.10988;0.0076652582931518555
15;56.25;7.0;6.25;25.4;21.88;40.62;61.33;69.14;12.5;11.9;0.1185;0.00764197826385498;70.31;13.0;9.38;29.37;24.22;45.31;64.06;72.27;14.06;14.29;0.11434;0.00759816246509552
16;56.25;7.0;6.25;25.4;21.88;41.02;61.33;69.14;12.5;11.9;0.1253;0.007577662801742554;69.53;12.0;9.38;29.37;24.22;45.31;64.06;72.27;14.06;15.08;0.11634;0.007534457583427429
17;55.47;7.0;6.25;25.4;21.88;41.02;61.33;69.14;12.5;12.7;0.1284;0.0074988972663879395;69.53;12.0;9.38;30.16;24.61;45.31;64.06;72.27;14.06;15.08;0.12004;0.007474515500068665
18;55.47;7.0;6.25;25.4;22.27;41.02;61.33;69.14;12.5;12.7;0.1352;0.00744059042930603;69.53;11.0;9.38;30.16;24.61;45.31;64.06;71.88;14.06;15.08;0.12424;0.007411520848274231
19;54.69;7.0;6.25;26.19;22.27;41.02;61.33;69.14;12.5;12.7;0.1411;0.0073702863454818725;68.75;11.0;9.38;30.16;24.61;45.31;64.06;71.88;14.06;15.08;0.12902;0.007354524650573731
20;54.69;8.0;6.25;26.19;22.27;41.02;61.33;68.75;14.06;12.7;0.1471;0.007300954031944275;68.75;11.0;9.38;30.16;24.61;45.31;64.06;71.88;14.06;15.87;0.1341;0.007302194790840149
21;54.69;8.0;6.25;26.19;22.27;41.02;61.33;68.75;14.06;13.49;0.1509;0.007241805863380432;68.75;10.0;9.38;30.16;25.0;45.31;64.06;71.88;14.06;15.87;0.13798;0.007239247574806214
22;54.69;8.0;9.38;26.19;22.27;41.02;61.33;68.75;14.06;13.49;0.1558;0.007180712127685547;68.75;10.0;9.38;30.16;25.0;45.31;64.06;71.48;14.06;15.87;0.14284;0.0071866726970672605
23;53.91;8.0;9.38;26.19;22.27;41.02;61.33;68.75;14.06;13.49;0.1611;0.007119845175743103;67.97;10.0;9.38;30.95;25.0;45.31;64.06;71.48;15.62;15.87;0.14756;0.007126136045455932
24;53.91;8.0;9.38;26.98;22.27;41.02;61.33;68.75;14.06;13.49;0.1657;0.00706157546043396;67.97;10.0;9.38;30.95;25.0;45.31;64.06;71.48;15.62;15.87;0.15218;0.007072124519348144
25;53.91;8.0;9.38;26.98;22.66;41.41;61.33;68.75;14.06;14.29;0.173;0.0069999439001083375;67.97;10.0;9.38;30.95;25.0;45.31;64.06;71.48;15.62;16.67;0.15604;0.007022389945983887
26;53.91;8.0;9.38;26.98;22.66;41.41;61.33;68.36;14.06;14.29;0.1779;0.006950321292877197;67.97;10.0;9.38;30.95;25.0;45.31;64.06;71.48;15.62;16.67;0.16348;0.006966263465881348
27;53.91;9.0;9.38;26.98;22.66;41.41;61.33;68.36;14.06;14.29;0.1849;0.006875610709190369;67.97;11.0;9.38;30.95;25.0;45.31;64.06;71.09;15.62;16.67;0.16644;0.006912708568572998
28;53.91;9.0;9.38;26.98;22.66;41.41;61.33;68.36;14.06;14.29;0.1887;0.00682559814453125;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.17144;0.006866814846992492
29;53.91;9.0;9.38;27.78;22.66;41.41;61.33;68.36;14.06;14.29;0.1945;0.00677833378314972;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.17838;0.006808051590919495
30;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.1963;0.0067483802318573;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18126;0.00676151960849762
31;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.2052;0.006676398062705993;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18556;0.006707772378921509
32;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.2134;0.006632740020751953;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18796;0.006660082721710205
33;53.91;9.0;9.38;27.78;23.05;41.41;60.94;68.36;15.62;15.08;0.2158;0.0065606041431427;67.97;11.0;9.38;31.75;25.39;45.31;63.67;70.7;17.19;17.46;0.1939;0.006604590644836426
34;53.91;10.0;9.38;28.57;23.05;41.41;60.94;67.97;15.62;15.08;0.2207;0.006517181921005249;67.97;11.0;9.38;31.75;25.39;45.31;63.67;70.7;17.19;17.46;0.19774;0.006559376096725464
35;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.2237;0.006456803750991821;67.97;12.0;9.38;32.54;25.78;45.31;63.67;70.7;17.19;17.46;0.20318;0.006512025957107544
