;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5275625056028366;0.04512;0.4856817535161972;0.0778;6.25;6.25;3.97;3.17;1.56;1.56;1.17;1.17;2.34;6.0;40.62;32.81;15.08;21.43;10.55;13.67;7.81;8.98;33.59;62.0
1;0.49253566492557527;0.0795;0.45368879427909853;0.1237;9.38;10.94;6.35;6.35;3.12;3.12;2.34;1.95;6.25;11.0;43.75;32.81;14.29;21.43;9.77;12.5;6.25;10.55;37.5;61.0
2;0.46150897649288175;0.11838;0.4129294657588005;0.1758;12.5;15.62;7.94;8.73;4.3;4.3;2.73;2.34;9.38;15.0;46.88;34.38;14.29;20.63;10.55;12.11;5.08;10.55;39.84;59.0
3;0.4381228083848953;0.15008;0.3859137758970261;0.2194;15.62;18.75;9.52;11.11;5.08;5.08;3.12;3.12;13.28;18.0;46.88;35.94;15.08;21.43;11.72;12.11;4.3;10.16;41.41;57.0
4;0.4150673498010635;0.17856;0.36753744109869;0.2502;18.75;20.31;11.11;13.49;5.86;5.86;3.12;3.52;17.19;20.0;46.88;35.94;15.87;22.22;12.5;12.89;3.91;9.38;42.97;54.0
5;0.39651211926221847;0.20616;0.3452986433506012;0.2794;18.75;21.88;11.9;15.08;7.03;6.64;3.52;3.52;19.53;22.0;46.88;35.94;16.67;23.02;13.67;13.28;3.91;8.2;43.75;52.0
6;0.37966057224988936;0.23358;0.3297388944506645;0.3084;21.88;21.88;13.49;15.87;7.81;7.81;3.52;3.91;22.66;24.0;46.88;35.94;18.25;23.81;14.84;14.06;3.52;7.03;44.53;51.0
7;0.3665319451022148;0.25418;0.3138453666090965;0.3401;21.88;23.44;14.29;17.46;8.59;8.59;3.52;3.91;25.0;25.0;46.88;35.94;18.25;23.81;16.02;14.84;3.52;5.86;45.31;50.0
8;0.3536111081790924;0.27564;0.30239623982906344;0.362;25.0;25.0;15.08;19.05;9.77;9.38;3.52;3.91;27.34;26.0;43.75;35.94;19.05;24.6;17.19;15.62;3.52;5.47;46.09;49.0
9;0.3412261259651184;0.29724;0.30142127470970154;0.3679;25.0;25.0;15.87;19.84;10.55;10.16;3.91;3.91;28.91;27.0;43.75;35.94;19.84;25.4;18.36;16.41;3.52;4.69;46.88;48.0
