;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5148474759864807;0.06308;0.4650924992322922;0.1056;6.25;6.25;3.97;3.97;1.95;2.34;2.34;1.95;3.12;8.0;43.75;46.88;20.63;27.78;17.97;21.09;14.06;14.45;42.19;62.0
1;0.470210978140831;0.10364;0.41659690051078796;0.1687;9.38;12.5;7.14;7.14;3.91;4.69;2.73;2.34;7.03;14.0;46.88;45.31;20.63;20.63;17.58;19.92;10.16;12.5;43.75;64.0
2;0.441573350276947;0.14052;0.3944945843458176;0.2034;15.62;15.62;8.73;9.52;5.47;6.25;3.52;2.73;10.16;19.0;43.75;43.75;20.63;18.25;17.97;19.92;7.42;10.94;43.75;61.0
3;0.4190590117812157;0.1711;0.36868603155612945;0.2381;18.75;18.75;11.11;11.11;7.03;8.2;3.52;3.12;14.06;22.0;43.75;43.75;22.22;19.05;19.14;21.09;5.08;10.55;43.75;59.0
4;0.39765632850408555;0.20046;0.33845991959571836;0.2942;18.75;20.31;11.9;12.7;8.59;9.77;3.91;3.52;17.97;25.0;43.75;43.75;22.22;19.05;20.7;23.05;4.3;10.16;43.75;57.0
5;0.3773598453783989;0.23294;0.32406239251494406;0.3105;21.88;20.31;13.49;14.29;10.16;11.72;3.91;3.91;21.88;27.0;40.62;43.75;23.02;19.84;22.27;24.61;4.3;9.38;45.31;56.0
6;0.36025438683986666;0.2638;0.30777504099607467;0.3404;21.88;21.88;14.29;15.08;11.33;13.28;3.91;4.3;24.22;28.0;40.62;43.75;23.02;20.63;23.83;26.17;3.91;8.59;46.09;55.0
7;0.3445798252272606;0.28836;0.29564597427845;0.379;21.88;23.44;15.08;15.87;12.5;14.84;3.91;4.69;26.56;29.0;40.62;42.19;23.81;20.63;25.0;27.34;3.91;8.2;46.88;54.0
8;0.3310431737554073;0.31388;0.28343200972676275;0.3986;25.0;23.44;15.87;17.46;13.67;16.41;3.91;4.69;28.91;30.0;40.62;42.19;23.81;21.43;26.56;28.91;3.91;7.42;47.66;53.0
9;0.3195464007806778;0.333;0.27288090938329695;0.418;25.0;25.0;16.67;18.25;14.84;17.58;3.91;4.69;30.47;31.0;40.62;42.19;24.6;21.43;27.73;30.08;3.91;7.03;47.66;52.0
