;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005297322523593903;0.5814;0.005142795622348786;0.6385;12.5;9.38;10.94;23.44;20.31;39.84;61.72;69.53;59.38;0.0;18.75;21.88;21.88;40.62;29.69;48.44;67.97;76.56;81.25;50.0
1;0.005103104722499847;0.6264;0.005119341850280762;0.642;18.75;12.5;15.62;28.12;22.66;42.97;64.06;71.09;51.56;0.0;25.0;25.0;26.56;43.75;31.25;49.22;68.75;75.78;76.56;50.0
2;0.004862060481309891;0.6574;0.0049071223437786105;0.6705;18.75;18.75;18.75;32.81;24.22;44.53;64.84;71.09;50.0;0.0;31.25;28.12;29.69;45.31;32.03;50.0;67.97;75.0;73.44;50.0
3;0.004614759987592697;0.6916;0.004564395159482956;0.6915;25.0;21.88;21.88;34.38;25.78;45.31;64.84;71.09;45.31;0.0;37.5;31.25;32.81;45.31;33.59;50.0;67.97;75.0;68.75;0.0
4;0.0044659022748470304;0.7072;0.004464285761117935;0.7135;25.0;25.0;23.44;35.94;26.56;46.09;64.84;71.09;42.19;0.0;37.5;34.38;34.38;46.88;33.59;50.78;67.97;74.22;65.62;0.0
5;0.004226532161235809;0.728;0.004266007378697395;0.7235;25.0;25.0;23.44;35.94;26.56;45.31;64.84;71.09;40.62;0.0;37.5;34.38;34.38;46.88;33.59;50.0;67.19;74.22;62.5;0.0
6;0.004146744507551193;0.7343;0.004228991985321045;0.72;25.0;25.0;23.44;35.94;26.56;45.31;64.84;70.31;39.06;0.0;37.5;31.25;32.81;45.31;32.81;49.22;67.19;73.44;59.38;0.0
7;0.004074926719069481;0.7391;0.004209986224770546;0.7235;25.0;25.0;23.44;35.94;26.56;45.31;64.84;70.31;37.5;0.0;37.5;31.25;32.81;45.31;32.03;49.22;67.19;73.44;57.81;0.0
8;0.004052688938379288;0.7448;0.004151548847556114;0.7375;25.0;25.0;23.44;35.94;26.56;44.53;64.06;70.31;35.94;0.0;37.5;31.25;32.81;43.75;32.03;48.44;66.41;72.66;57.81;0.0
9;0.004011354285478592;0.7484;0.004147188499569893;0.734;25.0;25.0;23.44;35.94;25.78;44.53;64.06;70.31;35.94;0.0;37.5;31.25;31.25;43.75;31.25;48.44;66.41;72.66;56.25;0.0
10;0.003958231052756309;0.748;0.004112518161535263;0.7365;25.0;25.0;23.44;35.94;25.78;44.53;64.06;69.53;34.38;0.0;37.5;28.12;31.25;42.19;31.25;48.44;66.41;72.66;54.69;0.0
11;0.003933172887563705;0.754;0.004108481630682945;0.74;25.0;25.0;23.44;34.38;25.78;44.53;64.06;69.53;34.38;0.0;37.5;28.12;31.25;42.19;30.47;47.66;66.41;72.66;54.69;0.0
12;0.003919222709536553;0.7538;0.004102739468216896;0.7415;25.0;25.0;23.44;34.38;25.78;44.53;63.28;69.53;32.81;0.0;31.25;28.12;29.69;42.19;30.47;47.66;65.62;71.88;53.12;0.0
13;0.003921591803431511;0.7567;0.0040988509953022;0.744;18.75;25.0;23.44;34.38;25.0;43.75;63.28;69.53;32.81;0.0;31.25;28.12;29.69;40.62;29.69;47.66;65.62;71.88;53.12;0.0
14;0.003908476889133454;0.7568;0.004120048850774765;0.737;18.75;25.0;23.44;34.38;25.0;43.75;63.28;69.53;32.81;0.0;31.25;28.12;29.69;40.62;29.69;46.88;65.62;71.88;51.56;0.0
15;0.003912135654687882;0.7534;0.004111316218972206;0.737;18.75;21.88;21.88;34.38;25.0;43.75;63.28;68.75;31.25;0.0;31.25;28.12;28.12;40.62;28.91;46.88;65.62;71.88;51.56;0.0
16;0.0039522151112556456;0.75;0.004101889073848724;0.74;18.75;21.88;21.88;34.38;25.0;43.75;63.28;68.75;31.25;0.0;31.25;25.0;28.12;40.62;28.91;46.88;65.62;71.88;51.56;0.0
17;0.003922056648135185;0.7489;0.004102362513542175;0.74;18.75;21.88;21.88;32.81;25.0;42.97;63.28;68.75;31.25;0.0;31.25;25.0;28.12;39.06;28.91;46.88;65.62;71.88;50.0;0.0
18;0.003918612802028656;0.7546;0.004100339859724045;0.7405;18.75;21.88;21.88;32.81;25.0;42.97;62.5;68.75;31.25;0.0;31.25;25.0;28.12;39.06;28.91;46.09;64.84;71.09;50.0;0.0
19;0.0039036947280168535;0.7524;0.004099150240421295;0.7415;18.75;21.88;21.88;32.81;24.22;42.97;62.5;68.75;31.25;0.0;31.25;25.0;26.56;39.06;28.12;46.09;64.84;71.09;50.0;0.0
