;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;60.94;50.0;12.5;21.88;20.31;38.28;53.91;59.38;12.5;10.94;0.5;0.0013859630823135375;82.81;50.0;12.5;31.25;23.44;47.66;65.62;74.22;12.5;15.62;0.5066;0.0013860255539417266
1;75.0;50.0;12.5;25.0;21.88;44.53;62.5;70.31;12.5;12.5;0.549;0.0013838824033737182;82.81;50.0;12.5;31.25;23.44;48.44;66.41;75.0;12.5;15.62;0.5199;0.001383652251958847
2;76.56;50.0;12.5;25.0;21.88;44.53;63.28;71.09;12.5;12.5;0.561;0.001378032147884369;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5396;0.0013799660861492156
3;78.12;50.0;12.5;25.0;21.88;45.31;63.28;71.09;12.5;12.5;0.579;0.0013711441159248352;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5401;0.0013788425207138062
4;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.09;12.5;12.5;0.5865;0.0013661176562309266;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5548;0.001373436164855957
5;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.09;12.5;12.5;0.5905;0.0013615332245826722;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.559;0.0013681795954704286
6;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.09;12.5;12.5;0.5895;0.0013560008704662323;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5623;0.0013680641174316406
7;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.09;12.5;12.5;0.59;0.0013500173389911652;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5691;0.001360974532365799
8;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.88;12.5;12.5;0.584;0.0013431447148323059;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5747;0.0013571046650409698
9;78.12;50.0;12.5;25.0;21.88;44.53;63.28;71.88;12.5;12.5;0.593;0.0013361463844776154;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5729;0.0013531018257141112
10;78.12;50.0;12.5;26.56;21.88;44.53;63.28;71.88;12.5;12.5;0.605;0.0013295253813266753;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5858;0.0013449207484722138
11;78.12;50.0;12.5;26.56;21.88;44.53;63.28;71.88;12.5;12.5;0.6025;0.001325670748949051;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5801;0.0013453908920288086
12;78.12;50.0;12.5;26.56;21.88;44.53;63.28;71.88;12.5;12.5;0.603;0.001319530338048935;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5917;0.0013349997222423552
13;78.12;50.0;12.5;26.56;21.88;44.53;63.28;71.88;12.5;12.5;0.6035;0.0013142530620098114;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.5967;0.0013306816756725312
14;78.12;50.0;12.5;26.56;21.88;44.53;63.28;71.88;12.5;12.5;0.6095;0.0013077699840068817;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;15.62;0.6091;0.001315510129928589
15;78.12;50.0;12.5;26.56;21.88;45.31;64.06;71.88;12.5;12.5;0.622;0.0012992843389511108;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;17.19;0.6096;0.0013145208835601808
16;78.12;50.0;12.5;26.56;21.88;45.31;64.06;71.88;9.38;12.5;0.6115;0.0012956025302410126;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;17.19;0.6093;0.0013096207916736603
17;78.12;50.0;12.5;26.56;21.88;45.31;64.06;71.88;9.38;12.5;0.616;0.0012921488583087922;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;17.19;0.6137;0.0013049745380878449
18;78.12;50.0;12.5;26.56;21.88;45.31;64.06;71.88;9.38;14.06;0.62;0.0012881191372871399;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;17.19;0.6179;0.0013033324539661406
19;78.12;50.0;12.5;26.56;21.88;45.31;64.06;71.88;9.38;14.06;0.6235;0.0012853076756000519;82.81;50.0;12.5;31.25;24.22;48.44;66.41;75.0;12.5;17.19;0.6168;0.0013022019624710083
