;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013220564007759095;0.6026;0.001296424388885498;0.664;12.5;9.38;7.81;17.19;10.16;19.53;35.94;25.0;6.25;0.0;12.5;15.62;17.19;31.25;22.66;41.41;59.38;56.25;65.62;50.0
1;0.001211455899477005;0.6651;0.0011941609382629394;0.653;12.5;12.5;12.5;21.88;13.28;25.78;39.06;24.22;4.69;0.0;12.5;15.62;18.75;32.81;22.66;39.06;54.69;49.22;48.44;0.0
2;0.0011292635917663574;0.7048;0.0014973016753792763;0.616;12.5;15.62;14.06;25.0;14.06;27.34;35.94;19.53;3.12;0.0;18.75;18.75;21.88;34.38;22.66;38.28;52.34;43.75;40.62;0.0
3;0.0010849677324295045;0.7182;0.0015264756232500076;0.641;12.5;18.75;15.62;26.56;14.06;27.34;32.81;15.62;3.12;0.0;18.75;18.75;23.44;35.94;22.66;38.28;50.0;39.06;34.38;0.0
4;0.001035588812828064;0.7372;0.001137135311961174;0.684;12.5;18.75;17.19;28.12;14.84;28.12;31.25;15.62;3.12;0.0;18.75;18.75;25.0;35.94;23.44;39.06;48.44;35.94;28.12;0.0
5;0.0009922985076904296;0.7557;0.0010609733164310456;0.731;12.5;18.75;20.31;29.69;15.62;28.91;31.25;15.62;3.12;0.0;18.75;21.88;25.0;37.5;23.44;39.06;46.88;34.38;25.0;0.0
6;0.0009605227798223496;0.7653;0.0009581936448812484;0.7585;18.75;21.88;20.31;31.25;16.41;29.69;32.03;15.62;3.12;0.0;18.75;21.88;26.56;37.5;23.44;39.06;45.31;32.03;21.88;0.0
7;0.00092829028069973;0.7762;0.0009512994587421417;0.7735;18.75;21.88;21.88;32.81;17.19;30.47;32.03;15.62;3.12;0.0;18.75;21.88;28.12;39.06;24.22;39.84;44.53;30.47;18.75;0.0
8;0.0008945234477519989;0.7843;0.0011309977620840073;0.7145;18.75;21.88;23.44;32.81;17.19;31.25;31.25;15.62;3.12;0.0;25.0;21.88;28.12;39.06;24.22;39.84;43.75;29.69;15.62;0.0
9;0.0008981496006250382;0.7837;0.0011628415286540985;0.726;18.75;21.88;23.44;34.38;17.97;32.03;30.47;14.84;3.12;0.0;25.0;25.0;29.69;39.06;24.22;39.84;42.97;28.12;14.06;0.0
10;0.0008756708413362503;0.7885;0.0009747351557016372;0.7665;18.75;21.88;25.0;34.38;18.75;32.03;30.47;14.84;3.12;0.0;25.0;25.0;29.69;39.06;25.0;39.84;41.41;26.56;12.5;0.0
11;0.0008676599442958831;0.7939;0.0010187091380357742;0.758;18.75;25.0;25.0;34.38;19.53;32.81;30.47;15.62;3.12;0.0;25.0;25.0;31.25;40.62;25.0;39.84;40.62;25.78;10.94;0.0
12;0.0008437392115592956;0.7949;0.0009150693267583847;0.781;18.75;25.0;26.56;35.94;20.31;33.59;30.47;15.62;3.12;0.0;25.0;25.0;31.25;40.62;25.78;40.62;39.84;25.0;9.38;0.0
13;0.0008274685204029083;0.8046;0.0009748183637857437;0.763;18.75;25.0;26.56;35.94;21.09;34.38;29.69;14.84;3.12;0.0;25.0;25.0;31.25;40.62;25.78;40.62;39.06;23.44;9.38;0.0
14;0.0008068256467580795;0.8131;0.000910123959183693;0.788;18.75;25.0;26.56;35.94;21.09;34.38;29.69;14.84;3.12;0.0;25.0;25.0;31.25;40.62;26.56;41.41;39.06;22.66;7.81;0.0
15;0.0007913125663995742;0.8167;0.0009002458453178406;0.7835;18.75;25.0;26.56;35.94;21.88;35.16;28.91;14.84;3.12;0.0;25.0;25.0;31.25;40.62;26.56;41.41;38.28;22.66;7.81;0.0
16;0.0007819567173719406;0.8192;0.000971708744764328;0.771;18.75;25.0;28.12;37.5;22.66;35.94;28.91;14.84;3.12;0.0;25.0;25.0;32.81;40.62;27.34;42.19;37.5;21.88;7.81;0.0
17;0.0007529920786619186;0.8278;0.0008487422317266464;0.801;18.75;25.0;28.12;37.5;22.66;36.72;28.91;14.84;1.56;0.0;25.0;25.0;32.81;40.62;27.34;42.19;37.5;21.88;6.25;0.0
18;0.0007467259585857392;0.8283;0.0009287126213312149;0.7765;18.75;25.0;28.12;37.5;23.44;37.5;28.91;14.84;1.56;0.0;25.0;28.12;32.81;40.62;28.12;42.97;36.72;21.09;6.25;0.0
19;0.0007360012888908387;0.8301;0.0009136040210723877;0.7915;18.75;25.0;29.69;37.5;24.22;37.5;28.91;14.84;1.56;0.0;25.0;28.12;32.81;40.62;28.12;42.97;35.94;21.09;6.25;0.0
