;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3546727592676878;0.504;0.359317406475544;0.534;6.25;3.12;3.12;3.12;3.12;3.91;2.34;0.0;3.12;0.0;18.75;15.62;21.88;26.56;20.31;30.47;10.16;1.56;28.12;50.0
1;0.3539172018587589;0.4927;0.35359442031383514;0.464;12.5;6.25;3.12;4.69;3.91;5.47;3.12;0.78;4.69;0.0;25.0;12.5;14.06;26.56;21.09;35.16;10.94;2.34;32.81;50.0
2;0.35222315903007984;0.5111;0.36059104311466217;0.48;12.5;6.25;4.69;6.25;5.47;7.81;3.91;1.56;6.25;50.0;25.0;12.5;15.62;31.25;24.22;42.19;12.5;3.12;35.94;50.0
3;0.35199459677636624;0.4985;0.3470949604660273;0.547;12.5;6.25;4.69;7.81;5.47;8.59;4.69;2.34;7.81;50.0;18.75;9.38;15.62;32.81;24.22;43.75;13.28;3.91;34.38;50.0
4;0.3501086557507515;0.5139;0.3444116883724928;0.548;12.5;6.25;4.69;7.81;6.25;9.38;5.47;3.12;9.38;50.0;18.75;9.38;15.62;32.81;24.22;45.31;14.06;4.69;34.38;50.0
5;0.3503489669054747;0.5048;0.34655388566851614;0.5485;12.5;6.25;4.69;7.81;5.47;10.16;5.47;2.34;9.38;50.0;18.75;9.38;14.06;31.25;23.44;46.09;13.28;4.69;32.81;50.0
6;0.34963073998689653;0.5076;0.34536598780751226;0.5435;12.5;6.25;4.69;7.81;5.47;9.38;5.47;2.34;10.94;50.0;18.75;9.38;14.06;31.25;21.88;46.09;12.5;4.69;32.81;50.0
7;0.3493158703327179;0.4991;0.3510379300713539;0.547;12.5;3.12;4.69;7.81;5.47;9.38;5.47;2.34;10.94;50.0;18.75;6.25;14.06;29.69;21.88;45.31;12.5;4.69;31.25;50.0
8;0.3490339200615883;0.5057;0.34737366661429403;0.5005;12.5;3.12;4.69;7.81;4.69;8.59;5.47;2.34;10.94;50.0;18.75;6.25;12.5;28.12;20.31;44.53;11.72;3.91;31.25;50.0
9;0.3484678739696741;0.5141;0.3476464353501797;0.461;12.5;3.12;4.69;7.81;4.69;8.59;4.69;2.34;10.94;50.0;12.5;6.25;12.5;28.12;19.53;43.75;11.72;4.69;29.69;50.0
10;0.3482205042481422;0.5012;0.34416750039160254;0.503;12.5;3.12;4.69;6.25;4.69;8.59;4.69;2.34;10.94;50.0;12.5;6.25;12.5;26.56;19.53;42.97;10.94;4.69;29.69;50.0
11;0.3474895264983177;0.5141;0.3496714670360088;0.5525;12.5;3.12;4.69;6.25;4.69;7.81;4.69;2.34;10.94;50.0;12.5;6.25;10.94;26.56;18.75;42.97;10.94;3.91;29.69;50.0
12;0.34769521070420745;0.5069;0.34893212240934374;0.466;12.5;3.12;4.69;6.25;3.91;7.81;3.91;2.34;10.94;50.0;12.5;6.25;10.94;25.0;17.97;42.19;10.16;3.91;29.69;50.0
13;0.3476921282589436;0.5046;0.3449802082926035;0.5385;12.5;3.12;4.69;6.25;3.91;7.81;3.91;1.56;10.94;50.0;12.5;6.25;10.94;25.0;17.97;42.19;10.16;3.91;29.69;50.0
14;0.3475133298695087;0.5082;0.3450794668793678;0.5555;12.5;3.12;4.69;6.25;3.91;7.81;3.91;1.56;10.94;50.0;12.5;6.25;9.38;23.44;17.97;41.41;10.16;3.91;29.69;50.0
15;0.3465648315250874;0.5151;0.3442928429245949;0.5565;12.5;3.12;4.69;6.25;3.91;7.03;3.91;1.56;10.94;50.0;12.5;6.25;9.38;23.44;17.19;41.41;9.38;3.91;28.12;50.0
16;0.34751890058517454;0.5042;0.34439122611284256;0.545;12.5;3.12;4.69;6.25;3.91;7.03;3.91;1.56;9.38;50.0;12.5;6.25;9.38;23.44;17.19;41.41;9.38;3.91;28.12;50.0
17;0.34691949219107626;0.5156;0.3438411743938923;0.552;12.5;3.12;4.69;6.25;3.91;7.03;3.91;1.56;9.38;50.0;12.5;6.25;9.38;23.44;17.19;40.62;9.38;3.91;28.12;50.0
18;0.3471882246553898;0.5104;0.34553945460915564;0.5125;12.5;3.12;4.69;6.25;3.91;7.81;3.91;1.56;9.38;50.0;12.5;6.25;9.38;23.44;17.19;40.62;9.38;3.91;28.12;50.0
19;0.3468833467721939;0.5155;0.34862674593925475;0.453;12.5;3.12;4.69;6.25;4.69;7.81;3.91;1.56;10.94;50.0;12.5;6.25;9.38;23.44;16.41;40.62;9.38;3.91;28.12;50.0
