;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08397305464446544;0.5853;0.07886965712159873;0.643;12.5;6.25;6.25;15.62;6.25;6.25;7.03;1.56;1.56;0.0;31.25;31.25;34.38;51.56;35.16;48.44;57.03;53.91;57.81;50.0
1;0.07736407823264599;0.6661;0.07781658931076527;0.6615;18.75;12.5;10.94;18.75;6.25;6.25;5.47;2.34;3.12;0.0;56.25;40.62;39.06;56.25;31.25;40.62;33.59;33.59;37.5;0.0
2;0.07392494630962611;0.6911;0.0673743959069252;0.722;25.0;18.75;12.5;21.88;4.69;6.25;4.69;2.34;3.12;0.0;62.5;43.75;42.19;54.69;22.66;32.81;21.09;21.88;26.56;0.0
3;0.07091359588801861;0.7134;0.06456183806061745;0.746;31.25;21.88;15.62;23.44;4.69;6.25;4.69;3.12;4.69;0.0;68.75;46.88;45.31;54.69;20.31;31.25;15.62;17.97;20.31;0.0
4;0.06875573872625827;0.7253;0.06402427940815687;0.7565;37.5;25.0;17.19;23.44;4.69;7.03;4.69;3.91;4.69;0.0;68.75;46.88;45.31;51.56;17.19;32.03;13.28;17.19;17.19;0.0
5;0.06577641885876656;0.7462;0.06274656439572572;0.781;37.5;28.12;18.75;25.0;6.25;7.03;4.69;4.69;4.69;0.0;68.75;50.0;45.31;48.44;16.41;29.69;10.16;17.19;14.06;0.0
6;0.06466419858336449;0.7524;0.058025254271924495;0.7915;43.75;31.25;21.88;23.44;7.03;7.81;4.69;5.47;4.69;0.0;68.75;50.0;45.31;43.75;16.41;29.69;9.38;17.19;12.5;0.0
7;0.06269546362459659;0.7589;0.058002154890447855;0.773;50.0;31.25;23.44;23.44;7.03;7.81;5.47;6.25;4.69;0.0;68.75;50.0;45.31;42.19;15.62;30.47;9.38;18.75;10.94;0.0
8;0.061747406098246575;0.7638;0.057289103917777535;0.796;50.0;34.38;25.0;25.0;7.81;8.59;5.47;6.25;6.25;0.0;68.75;50.0;45.31;39.06;15.62;30.47;9.38;17.97;10.94;0.0
9;0.06121298152133822;0.7686;0.05431011210009456;0.8015;50.0;34.38;25.0;25.0;8.59;9.38;5.47;7.03;4.69;0.0;68.75;50.0;45.31;37.5;15.62;29.69;8.59;16.41;9.38;0.0
10;0.06057061483561993;0.7696;0.05416468759253621;0.799;50.0;37.5;26.56;25.0;9.38;10.16;6.25;7.03;4.69;0.0;68.75;50.0;45.31;35.94;16.41;29.69;8.59;15.62;7.81;0.0
11;0.058175109131634234;0.7876;0.050692202016711235;0.8215;50.0;40.62;26.56;25.0;10.16;10.94;6.25;7.03;4.69;0.0;75.0;53.12;43.75;34.38;17.19;30.47;8.59;14.06;7.81;0.0
12;0.05803322876021266;0.7808;0.05345561224222183;0.8135;56.25;40.62;28.12;25.0;10.16;11.72;6.25;7.03;4.69;0.0;75.0;53.12;43.75;32.81;17.19;31.25;8.59;14.84;7.81;0.0
13;0.056627719381451606;0.7945;0.05098033721745014;0.818;56.25;40.62;28.12;25.0;10.94;12.5;6.25;7.81;4.69;0.0;75.0;53.12;43.75;31.25;17.97;31.25;8.59;14.06;7.81;0.0
14;0.05600091765075922;0.7981;0.05005895362794399;0.81;56.25;40.62;29.69;25.0;11.72;12.5;6.25;7.81;4.69;0.0;75.0;53.12;43.75;31.25;17.97;31.25;7.81;13.28;9.38;0.0
15;0.05480515903308988;0.8047;0.05012615850940347;0.804;62.5;40.62;29.69;25.0;12.5;13.28;6.25;7.81;6.25;0.0;75.0;53.12;43.75;31.25;18.75;31.25;7.81;12.5;9.38;0.0
16;0.05353116857558489;0.8122;0.04800881681218743;0.828;56.25;40.62;31.25;25.0;12.5;14.06;6.25;7.81;6.25;0.0;68.75;53.12;43.75;31.25;19.53;32.03;7.81;11.72;10.94;0.0
17;0.05295875214859843;0.8173;0.04871159125119448;0.817;56.25;43.75;31.25;26.56;13.28;14.84;6.25;8.59;6.25;0.0;68.75;53.12;43.75;31.25;20.31;32.03;7.03;10.94;12.5;0.0
18;0.05180679693669081;0.8201;0.04779590579867363;0.8215;62.5;43.75;31.25;26.56;14.06;15.62;5.47;8.59;7.81;0.0;68.75;53.12;43.75;31.25;21.09;32.03;7.03;10.94;14.06;0.0
19;0.050967631634324786;0.8274;0.04730240458622575;0.8295;62.5;43.75;32.81;26.56;14.84;16.41;5.47;8.59;7.81;0.0;75.0;53.12;43.75;31.25;21.88;32.03;7.03;10.16;14.06;0.0
