;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.047422757548093795;0.43992;0.036286806571483615;0.5774;12.5;9.38;9.38;9.38;6.25;6.25;4.69;3.12;6.25;40.0;37.5;40.62;35.94;37.5;33.59;37.5;31.25;13.28;32.81;50.0
1;0.03625966493725777;0.58712;0.031044194251298906;0.6473;18.75;18.75;10.94;14.06;10.94;12.5;7.03;3.91;12.5;50.0;43.75;43.75;34.38;34.38;37.5;43.75;22.66;11.72;34.38;50.0
2;0.03156729032337666;0.64646;0.02745130861401558;0.6888;25.0;21.88;14.06;17.19;14.06;17.19;7.81;4.69;15.62;60.0;43.75;43.75;34.38;34.38;40.62;46.88;17.97;12.5;37.5;60.0
3;0.028575615700483323;0.68434;0.024971409249305725;0.7247;31.25;28.12;15.62;18.75;16.41;21.09;7.81;5.47;18.75;60.0;43.75;46.88;34.38;32.81;42.97;50.0;15.62;12.5;39.06;60.0
4;0.026677322421073915;0.70772;0.023831302681565286;0.7382;31.25;28.12;17.19;20.31;18.75;24.22;8.59;7.03;23.44;60.0;43.75;46.88;34.38;32.81;44.53;51.56;14.06;12.5;39.06;60.0
5;0.024825066848397255;0.72896;0.021616366744041444;0.766;31.25;31.25;18.75;21.88;21.09;27.34;8.59;7.03;25.0;60.0;43.75;46.88;34.38;32.81;45.31;53.12;12.5;11.72;40.62;70.0
6;0.023481170270442962;0.74472;0.021405672942101956;0.7646;31.25;31.25;20.31;23.44;22.66;30.47;8.59;7.81;28.12;70.0;43.75;43.75;34.38;32.81;46.88;53.91;11.72;11.72;40.62;70.0
7;0.022485878873765467;0.75534;0.020846536841988565;0.7713;37.5;31.25;21.88;23.44;24.22;33.59;8.59;8.59;28.12;70.0;43.75;46.88;34.38;32.81;47.66;55.47;10.94;11.72;40.62;70.0
8;0.021392980009317396;0.7674;0.020352841185033322;0.7725;37.5;34.38;21.88;25.0;25.78;35.16;9.38;8.59;29.69;70.0;43.75;46.88;34.38;31.25;48.44;57.03;10.94;12.5;40.62;70.0
9;0.020833339624404906;0.7732;0.01927833744585514;0.7871;37.5;34.38;23.44;25.0;27.34;37.5;9.38;9.38;29.69;70.0;50.0;46.88;34.38;31.25;49.22;57.81;10.94;12.5;40.62;70.0
10;0.020078944299519064;0.78512;0.01829307211637497;0.8041;37.5;34.38;23.44;25.0;28.91;39.84;9.38;10.16;31.25;70.0;50.0;46.88;34.38;31.25;50.0;58.59;10.16;12.5;40.62;70.0
11;0.019437214412391185;0.79038;0.018765417002141474;0.7933;37.5;37.5;25.0;26.56;30.47;41.41;9.38;10.16;31.25;70.0;50.0;46.88;34.38;31.25;50.78;59.38;10.16;13.28;40.62;70.0
12;0.01875102951437235;0.7985;0.018092558550834657;0.8064;43.75;37.5;25.0;26.56;31.25;42.97;9.38;10.16;32.81;70.0;50.0;46.88;34.38;31.25;51.56;59.38;10.16;13.28;40.62;70.0
13;0.018406142212748527;0.80228;0.017208897281438113;0.8147;43.75;37.5;26.56;26.56;32.81;43.75;9.38;10.94;32.81;70.0;50.0;46.88;34.38;31.25;51.56;60.16;10.16;13.28;40.62;80.0
14;0.01796110931932926;0.80702;0.018699743150174617;0.7984;43.75;37.5;26.56;28.12;34.38;45.31;9.38;10.94;32.81;70.0;50.0;46.88;34.38;32.81;52.34;60.94;10.16;13.28;40.62;80.0
15;0.017290152582228185;0.8147;0.017289302427321674;0.8151;43.75;37.5;26.56;28.12;35.16;46.88;9.38;11.72;32.81;80.0;50.0;46.88;34.38;32.81;53.12;60.94;9.38;13.28;40.62;80.0
16;0.016844451934546232;0.81908;0.016743735891580583;0.8161;43.75;37.5;28.12;28.12;35.94;47.66;9.38;11.72;32.81;80.0;50.0;46.88;34.38;32.81;53.12;61.72;9.38;13.28;40.62;80.0
17;0.016497206840217115;0.8236;0.01727214679569006;0.81;43.75;37.5;28.12;29.69;36.72;49.22;9.38;11.72;32.81;80.0;50.0;46.88;34.38;32.81;53.12;61.72;9.38;14.06;40.62;80.0
18;0.01638706237614155;0.82208;0.01665678912475705;0.8173;43.75;37.5;28.12;29.69;38.28;50.0;9.38;11.72;32.81;80.0;50.0;46.88;34.38;32.81;53.91;62.5;9.38;14.06;39.06;80.0
19;0.016031430932283403;0.83002;0.015961289321631194;0.825;43.75;37.5;28.12;29.69;39.06;50.78;9.38;12.5;32.81;80.0;50.0;43.75;34.38;32.81;54.69;62.5;9.38;14.06;39.06;80.0
