;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;7.81;40.0;12.5;15.62;9.38;10.94;8.59;3.12;15.62;10.94;0.5613;0.038145612198114395;42.19;40.0;31.25;48.44;43.75;53.12;52.34;35.16;40.62;39.06;0.39814;0.05118252912640572
1;12.5;50.0;18.75;20.31;14.84;18.75;10.16;5.47;18.75;15.62;0.6146;0.033781573063135145;37.5;50.0;31.25;46.88;50.0;56.25;39.06;22.66;46.88;43.75;0.57968;0.037103810744285586
2;17.19;50.0;25.0;21.88;19.53;23.44;10.94;6.25;21.88;17.19;0.6848;0.028199690994620323;37.5;50.0;37.5;45.31;52.34;57.81;32.03;17.19;46.88;45.31;0.64336;0.0319034018021822
3;20.31;60.0;25.0;23.44;23.44;28.12;11.72;7.03;25.0;18.75;0.7212;0.02529647718369961;37.5;60.0;37.5;42.19;53.91;58.59;28.12;16.41;46.88;43.75;0.68436;0.028494913139939307
4;23.44;60.0;25.0;25.0;26.56;31.25;11.72;7.81;28.12;20.31;0.7398;0.02332736150920391;37.5;60.0;37.5;40.62;54.69;59.38;24.22;15.62;46.88;43.75;0.71396;0.02625658288002014
5;25.0;70.0;31.25;25.0;29.69;33.59;11.72;8.59;28.12;20.31;0.7706;0.02082996989786625;35.94;70.0;43.75;40.62;56.25;60.16;21.88;15.62;50.0;43.75;0.73138;0.024520352916121483
6;26.56;70.0;31.25;26.56;32.03;35.94;11.72;9.38;31.25;21.88;0.7603;0.02155813214480877;35.94;70.0;43.75;39.06;57.03;60.16;20.31;15.62;46.88;43.75;0.7496;0.023248817951083182
7;26.56;70.0;31.25;26.56;33.59;38.28;12.5;9.38;31.25;23.44;0.7818;0.019958128160238266;35.94;70.0;43.75;37.5;57.81;60.94;18.75;15.62;46.88;42.19;0.76184;0.022061329679787158
8;26.56;70.0;31.25;26.56;35.16;40.62;12.5;10.16;34.38;25.0;0.7885;0.019236153669655323;34.38;70.0;43.75;37.5;58.59;61.72;17.97;15.62;46.88;42.19;0.77306;0.021046005404889583
9;26.56;70.0;31.25;28.12;36.72;42.19;12.5;10.94;34.38;25.0;0.7924;0.01866531252861023;32.81;70.0;43.75;37.5;59.38;61.72;17.19;15.62;46.88;42.19;0.78158;0.020293114191442727
10;26.56;70.0;31.25;28.12;37.5;43.75;12.5;10.94;34.38;26.56;0.7988;0.018355210487544536;32.81;70.0;43.75;37.5;59.38;62.5;16.41;15.62;43.75;42.19;0.78976;0.019627509196102618
11;26.56;70.0;31.25;28.12;39.06;45.31;13.28;11.72;34.38;26.56;0.8049;0.01769929066449404;32.81;70.0;43.75;37.5;60.16;62.5;16.41;15.62;43.75;42.19;0.79434;0.019140794169008733
12;26.56;70.0;31.25;29.69;40.62;46.88;13.28;11.72;34.38;28.12;0.799;0.018219822172820567;31.25;70.0;43.75;37.5;60.16;63.28;16.41;16.41;43.75;40.62;0.8017;0.01844956140756607
13;26.56;70.0;31.25;29.69;41.41;47.66;13.28;12.5;34.38;28.12;0.815;0.01686174478083849;31.25;70.0;43.75;35.94;60.94;63.28;15.62;16.41;40.62;40.62;0.80792;0.01780695002138615
14;26.56;70.0;31.25;29.69;42.19;48.44;13.28;12.5;34.38;28.12;0.8133;0.017247244283556937;29.69;70.0;43.75;35.94;60.94;63.28;15.62;16.41;40.62;40.62;0.81036;0.01749915989458561
15;25.0;70.0;31.25;29.69;42.97;50.0;13.28;13.28;34.38;29.69;0.8282;0.015839412426948547;29.69;70.0;43.75;35.94;60.94;63.28;14.84;16.41;40.62;40.62;0.81676;0.017033995026350023
16;25.0;70.0;31.25;31.25;43.75;50.78;13.28;13.28;34.38;29.69;0.8271;0.015865540417283774;29.69;70.0;43.75;35.94;61.72;64.06;14.84;16.41;40.62;40.62;0.82524;0.016414123799204827
17;25.0;70.0;31.25;31.25;44.53;51.56;13.28;13.28;34.38;29.69;0.8241;0.01601052960380912;28.12;80.0;43.75;35.94;61.72;64.06;14.84;16.41;40.62;40.62;0.82888;0.016020103915780782
18;25.0;70.0;37.5;31.25;46.09;52.34;13.28;13.28;34.38;31.25;0.8192;0.01641534299850464;28.12;80.0;43.75;34.38;61.72;64.06;14.84;16.41;40.62;40.62;0.82982;0.01596566216379404
19;23.44;70.0;37.5;31.25;46.09;53.12;13.28;13.28;34.38;31.25;0.828;0.016286078268289567;28.12;80.0;43.75;34.38;62.5;64.84;14.84;16.41;40.62;39.06;0.83346;0.015493954695165157
