;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.033065867018699645;0.05846;0.030388863968849184;0.1033;12.5;12.5;10.94;23.44;17.19;30.47;47.66;53.12;12.5;5.0;43.75;34.38;28.12;46.88;35.16;50.0;63.28;69.53;60.94;9.0
1;0.029405034265518187;0.11162;0.027857722735404968;0.1515;18.75;21.88;18.75;32.81;20.31;33.59;49.22;53.12;18.75;8.0;50.0;43.75;37.5;54.69;39.06;52.34;62.5;67.97;54.69;11.0
2;0.027622683353424073;0.1495;0.025997252988815306;0.1968;25.0;28.12;23.44;37.5;23.44;37.5;50.0;53.91;23.44;10.0;50.0;50.0;42.19;57.81;41.41;54.69;61.72;66.41;48.44;13.0
3;0.026231017770767213;0.18432;0.024999395298957824;0.2217;31.25;34.38;28.12;42.19;26.56;39.84;50.78;54.69;28.12;12.0;50.0;53.12;43.75;59.38;43.75;56.25;61.72;66.41;48.44;15.0
4;0.02490887153148651;0.21016;0.02357677047252655;0.2436;31.25;34.38;29.69;43.75;27.34;41.41;51.56;56.25;31.25;13.0;50.0;53.12;46.88;60.94;45.31;57.81;61.72;66.41;46.88;17.0
5;0.023338224000930788;0.2487;0.021914677548408507;0.2962;31.25;34.38;29.69;45.31;27.34;42.19;50.78;56.25;29.69;13.0;50.0;50.0;45.31;59.38;42.97;57.03;60.94;65.62;45.31;17.0
6;0.022960375509262086;0.26022;0.02167343349456787;0.302;31.25;34.38;29.69;43.75;27.34;42.19;50.78;56.25;29.69;13.0;50.0;46.88;42.19;57.81;40.62;55.47;59.38;64.84;42.19;17.0
7;0.0227046435546875;0.26714;0.021380315136909484;0.3097;31.25;34.38;29.69;43.75;26.56;42.19;50.78;56.25;29.69;13.0;43.75;43.75;40.62;54.69;39.84;54.69;58.59;64.06;40.62;16.0
8;0.022462592253684997;0.27026;0.021265994119644166;0.3097;25.0;34.38;29.69;43.75;26.56;42.19;50.0;56.25;28.12;12.0;43.75;43.75;39.06;54.69;38.28;53.91;57.81;63.28;39.06;16.0
9;0.022266098132133483;0.27426;0.021038417673110963;0.3177;25.0;31.25;28.12;43.75;25.78;42.19;50.0;56.25;28.12;12.0;43.75;40.62;37.5;53.12;36.72;53.12;57.03;62.5;37.5;16.0
10;0.022057217350006104;0.28156;0.02087950327396393;0.3198;25.0;31.25;28.12;42.19;25.78;42.19;50.0;56.25;28.12;12.0;37.5;40.62;37.5;51.56;35.94;52.34;57.03;62.5;37.5;15.0
