;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;9.38;5.0;12.5;20.31;15.62;32.81;43.75;47.66;18.75;10.94;0.1019;0.4799172979354858;60.94;15.0;43.75;51.56;39.84;57.03;64.84;70.31;50.0;43.75;0.05318;0.5295551975917816
1;18.75;9.0;18.75;28.12;19.53;36.72;45.31;48.44;28.12;18.75;0.1481;0.4376828116178513;53.12;18.0;56.25;53.12;42.97;58.59;62.5;67.97;56.25;50.0;0.09422;0.48532300530433653
2;26.56;12.0;25.0;32.81;21.88;40.62;47.66;50.0;31.25;25.0;0.2009;0.4110184685111046;53.12;21.0;56.25;53.12;45.31;60.94;62.5;66.41;56.25;51.56;0.12284;0.4608117293596268
3;32.81;14.0;31.25;35.94;24.22;42.97;48.44;51.56;37.5;28.12;0.213;0.3996238077402115;54.69;24.0;56.25;53.12;45.31;62.5;62.5;66.41;59.38;51.56;0.15102;0.44025945078849793
4;35.94;15.0;31.25;37.5;25.0;45.31;49.22;52.34;40.62;29.69;0.2587;0.36622945640683174;54.69;25.0;56.25;51.56;46.09;64.06;61.72;65.62;59.38;53.12;0.17856;0.422094520714283
5;39.06;16.0;37.5;37.5;25.78;47.66;50.0;53.12;43.75;31.25;0.2918;0.3460109693408012;54.69;26.0;56.25;50.0;46.09;64.84;60.94;65.62;59.38;53.12;0.19864;0.40771865634441373
6;42.19;17.0;37.5;37.5;27.34;49.22;50.78;54.69;43.75;32.81;0.3087;0.3368388520896435;56.25;27.0;56.25;48.44;46.09;66.41;60.94;64.84;59.38;53.12;0.21818;0.3950427785181999
7;42.19;17.0;37.5;37.5;28.12;50.78;50.78;55.47;46.88;32.81;0.323;0.32969677755236626;56.25;27.0;56.25;46.88;46.88;67.19;60.16;64.84;59.38;53.12;0.23442;0.3848138226413727
8;43.75;18.0;37.5;39.06;28.91;52.34;50.78;56.25;46.88;34.38;0.3362;0.32388672325015067;56.25;28.0;56.25;45.31;46.88;67.97;60.16;64.84;59.38;51.56;0.24952;0.37635185297966
9;45.31;19.0;37.5;39.06;29.69;53.91;51.56;56.25;46.88;34.38;0.3504;0.31124489679932593;56.25;28.0;56.25;43.75;47.66;68.75;60.16;64.84;59.38;51.56;0.26106;0.3698842373561859
10;45.31;19.0;37.5;39.06;30.47;55.47;51.56;57.03;46.88;34.38;0.3719;0.3061113264024258;56.25;28.0;56.25;43.75;48.44;68.75;59.38;64.06;59.38;51.56;0.27172;0.36237093009233473
11;45.31;20.0;37.5;39.06;31.25;56.25;51.56;57.81;46.88;35.94;0.3794;0.2966758033216;56.25;29.0;56.25;42.19;48.44;69.53;59.38;64.06;56.25;50.0;0.2846;0.35688589705228807
12;46.88;20.0;43.75;39.06;32.03;57.03;52.34;57.81;46.88;35.94;0.3812;0.29885815452337267;56.25;29.0;56.25;42.19;48.44;69.53;59.38;64.06;56.25;50.0;0.2917;0.35132598108291624
13;46.88;20.0;43.75;37.5;33.59;57.81;52.34;58.59;46.88;35.94;0.3935;0.29079952141642573;56.25;29.0;56.25;42.19;49.22;70.31;59.38;64.06;56.25;48.44;0.2997;0.34574567660808564
14;46.88;21.0;43.75;37.5;33.59;58.59;53.12;58.59;46.88;35.94;0.4061;0.283855940669775;56.25;30.0;56.25;40.62;49.22;71.09;59.38;64.06;56.25;48.44;0.30522;0.3412957775640488
15;46.88;21.0;43.75;37.5;35.16;59.38;53.12;59.38;46.88;35.94;0.417;0.28015930193066596;56.25;30.0;56.25;40.62;50.0;71.09;58.59;64.06;56.25;46.88;0.31456;0.33575637639522554
16;48.44;21.0;43.75;37.5;35.16;60.16;53.12;59.38;46.88;37.5;0.4236;0.2728695234298706;56.25;30.0;50.0;40.62;50.78;71.09;58.59;64.06;56.25;46.88;0.32214;0.3317421763265133
17;48.44;22.0;43.75;37.5;36.72;60.94;53.91;60.16;46.88;37.5;0.4244;0.2716949788749218;56.25;30.0;50.0;39.06;50.78;71.88;59.38;64.06;56.25;46.88;0.33306;0.32701505613565446
18;48.44;22.0;43.75;37.5;36.72;61.72;53.91;60.16;46.88;37.5;0.4382;0.2675127645909786;56.25;30.0;50.0;39.06;51.56;71.88;59.38;64.06;56.25;45.31;0.33816;0.32352965891361235
19;48.44;22.0;43.75;37.5;37.5;62.5;53.91;60.16;46.88;37.5;0.4347;0.2671807918488979;56.25;30.0;50.0;39.06;51.56;71.88;59.38;64.84;53.12;45.31;0.34558;0.32019872524738313
20;48.44;22.0;43.75;37.5;38.28;62.5;54.69;60.94;46.88;37.5;0.4484;0.2613387046098709;56.25;30.0;50.0;39.06;51.56;71.88;59.38;64.84;53.12;43.75;0.35248;0.3153894352316856
21;48.44;22.0;43.75;37.5;39.06;63.28;54.69;60.94;46.88;37.5;0.4469;0.2599711021840572;56.25;30.0;50.0;37.5;52.34;72.66;59.38;64.84;53.12;43.75;0.35962;0.31260900067448616
22;48.44;23.0;43.75;37.5;39.84;64.06;54.69;61.72;46.88;37.5;0.4578;0.2558863944351673;56.25;30.0;50.0;37.5;52.34;72.66;59.38;64.84;53.12;43.75;0.3624;0.310936772377491
23;50.0;23.0;43.75;37.5;40.62;64.06;54.69;61.72;46.88;37.5;0.4569;0.25676340811252596;56.25;30.0;50.0;37.5;53.12;72.66;58.59;64.84;53.12;42.19;0.36678;0.30713842681288717
24;50.0;23.0;43.75;37.5;40.62;64.84;54.69;61.72;46.88;35.94;0.4611;0.2531514824271202;56.25;31.0;50.0;37.5;53.12;72.66;58.59;64.84;53.12;42.19;0.37634;0.3035259162902832
25;50.0;23.0;43.75;37.5;41.41;64.84;54.69;62.5;46.88;35.94;0.4769;0.24621190252900124;56.25;31.0;50.0;37.5;53.12;73.44;58.59;64.84;53.12;40.62;0.38116;0.3005449802517891
26;50.0;24.0;43.75;37.5;42.19;65.62;54.69;62.5;46.88;35.94;0.4739;0.2475354413330555;56.25;31.0;50.0;37.5;53.91;73.44;58.59;64.84;53.12;40.62;0.3833;0.2996897906422615
27;50.0;24.0;43.75;35.94;42.97;66.41;55.47;62.5;46.88;35.94;0.4693;0.2490316976428032;56.25;31.0;50.0;35.94;53.91;73.44;58.59;64.84;53.12;40.62;0.38728;0.2964861057639122
28;50.0;24.0;43.75;35.94;42.97;66.41;55.47;62.5;46.88;35.94;0.4711;0.24725277858376504;56.25;31.0;50.0;35.94;53.91;73.44;58.59;64.84;53.12;40.62;0.39384;0.2924878355371952
29;50.0;24.0;43.75;35.94;43.75;66.41;55.47;62.5;46.88;35.94;0.4823;0.2429793052136898;56.25;31.0;50.0;35.94;54.69;73.44;59.38;65.62;50.0;40.62;0.39762;0.2913234163188934
30;50.0;24.0;43.75;35.94;44.53;67.19;55.47;63.28;43.75;35.94;0.4814;0.24118773704767227;56.25;31.0;50.0;35.94;54.69;73.44;59.38;65.62;50.0;39.06;0.39994;0.2898927941858768
31;50.0;24.0;43.75;35.94;44.53;67.19;56.25;63.28;43.75;35.94;0.4821;0.24242570733428;56.25;31.0;50.0;35.94;54.69;74.22;59.38;65.62;50.0;39.06;0.40258;0.28788950976610184
32;50.0;24.0;43.75;35.94;45.31;67.97;56.25;63.28;43.75;35.94;0.4841;0.2399049397647381;56.25;31.0;50.0;35.94;54.69;74.22;59.38;65.62;50.0;39.06;0.40842;0.2848054465222359
33;50.0;24.0;43.75;35.94;46.09;67.97;56.25;63.28;43.75;35.94;0.4914;0.2368383640408516;56.25;31.0;50.0;34.38;55.47;74.22;59.38;65.62;50.0;39.06;0.41226;0.2827670531833172
34;50.0;25.0;43.75;35.94;46.09;68.75;56.25;63.28;43.75;35.94;0.4838;0.2389982939362526;56.25;31.0;50.0;34.38;55.47;74.22;59.38;65.62;50.0;37.5;0.41638;0.2814147876167297
35;50.0;25.0;43.75;35.94;46.88;68.75;57.03;63.28;43.75;35.94;0.4955;0.2350413524031639;56.25;31.0;50.0;34.38;55.47;74.22;59.38;65.62;46.88;37.5;0.42068;0.2793822241151333
36;50.0;25.0;43.75;35.94;46.88;68.75;57.03;64.06;43.75;35.94;0.4938;0.238425158315897;56.25;31.0;50.0;34.38;55.47;74.22;59.38;65.62;46.88;37.5;0.42138;0.27818325974464414
37;50.0;25.0;43.75;34.38;47.66;69.53;57.03;64.06;43.75;35.94;0.4943;0.23664635375142098;56.25;31.0;50.0;34.38;56.25;74.22;60.16;65.62;46.88;37.5;0.42222;0.2756709174668789
38;50.0;25.0;43.75;34.38;47.66;69.53;57.81;64.06;43.75;35.94;0.5016;0.23219558871388435;54.69;31.0;50.0;32.81;56.25;74.22;60.16;65.62;46.88;37.5;0.42844;0.27380946309685705
39;50.0;25.0;43.75;34.38;48.44;69.53;57.81;64.06;43.75;35.94;0.5066;0.2316500664651394;54.69;31.0;50.0;32.81;56.25;74.22;60.16;65.62;46.88;37.5;0.43106;0.27261574419140816
40;50.0;25.0;43.75;34.38;48.44;69.53;57.81;64.06;43.75;35.94;0.5006;0.2303143942475319;54.69;31.0;50.0;32.81;56.25;74.22;60.16;65.62;46.88;35.94;0.43376;0.27132058409690857
41;50.0;25.0;43.75;34.38;48.44;70.31;57.81;64.06;43.75;34.38;0.5079;0.22968631232380868;54.69;31.0;50.0;32.81;56.25;74.22;60.16;65.62;46.88;35.94;0.43712;0.27006026457190513
42;50.0;26.0;37.5;34.38;49.22;70.31;58.59;64.06;43.75;34.38;0.5126;0.2263823017001152;54.69;31.0;50.0;32.81;56.25;75.0;60.94;65.62;46.88;35.94;0.4415;0.268383939909935
43;50.0;26.0;37.5;34.38;49.22;70.31;58.59;64.06;43.75;34.38;0.5132;0.22721048482060432;54.69;32.0;50.0;32.81;57.03;75.0;60.94;65.62;46.88;35.94;0.44024;0.26763362952589986
44;50.0;26.0;37.5;34.38;49.22;70.31;58.59;64.06;43.75;34.38;0.5142;0.22520598340034484;54.69;32.0;50.0;31.25;57.03;75.0;60.94;65.62;43.75;35.94;0.44684;0.2655757049059868
45;50.0;26.0;37.5;32.81;50.0;70.31;58.59;64.06;43.75;34.38;0.5142;0.22383198072314262;54.69;32.0;50.0;31.25;57.03;75.0;60.94;65.62;43.75;35.94;0.44612;0.2648923928952217
46;50.0;26.0;37.5;32.81;50.0;71.09;59.38;64.84;43.75;34.38;0.52;0.2225279680132866;54.69;32.0;50.0;31.25;57.03;75.0;60.94;65.62;43.75;35.94;0.4481;0.26306508076667784
47;50.0;26.0;37.5;32.81;50.0;71.09;59.38;64.84;40.62;34.38;0.515;0.22216351023912428;54.69;32.0;43.75;31.25;57.03;75.0;60.94;65.62;43.75;34.38;0.45288;0.2606092556226253
48;50.0;26.0;37.5;32.81;50.78;71.09;59.38;64.84;40.62;34.38;0.518;0.22247394641041757;54.69;32.0;43.75;31.25;57.03;75.0;60.94;65.62;43.75;34.38;0.45696;0.26044016263484954
49;50.0;26.0;37.5;32.81;50.78;71.09;59.38;64.84;40.62;34.38;0.5179;0.22288385587334633;54.69;32.0;43.75;31.25;57.03;75.0;61.72;65.62;43.75;34.38;0.45838;0.2595117741012573
