;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5185497155666351;0.05988;0.46808142931461333;0.1094;12.5;15.62;9.38;9.38;4.69;4.69;3.91;3.12;7.81;6.0;50.0;56.25;40.62;45.31;33.59;38.28;24.22;20.31;53.12;51.0
1;0.4781139484977722;0.09636;0.4314286764621735;0.1532;18.75;21.88;14.06;15.62;7.81;8.59;5.47;4.69;12.5;10.0;50.0;56.25;35.94;37.5;28.91;32.81;15.62;19.53;50.0;54.0
2;0.45667331633090974;0.12116;0.4089017794251442;0.1891;25.0;28.12;17.19;18.75;10.94;11.72;6.25;5.47;18.75;14.0;50.0;56.25;34.38;35.94;28.12;32.03;11.72;18.75;51.56;53.0
3;0.4367174799060822;0.15152;0.3924770676136017;0.1997;25.0;31.25;20.31;20.31;13.28;14.84;7.03;6.25;23.44;17.0;50.0;59.38;34.38;34.38;28.91;32.81;10.16;17.19;50.0;52.0
4;0.4202193297410011;0.17152;0.3763920042514801;0.2326;31.25;34.38;21.88;21.88;15.62;17.19;7.03;6.25;26.56;19.0;50.0;56.25;35.94;34.38;31.25;34.38;9.38;14.84;50.0;51.0
5;0.4052306572985649;0.19498;0.34912691400051116;0.2792;31.25;34.38;25.0;25.0;17.97;19.53;7.81;7.03;29.69;20.0;50.0;56.25;35.94;32.81;32.81;35.94;8.59;12.5;50.0;50.0
6;0.3914764972472191;0.21836;0.336705908882618;0.3016;31.25;34.38;25.0;26.56;20.31;21.88;7.81;7.03;32.81;22.0;50.0;56.25;37.5;32.81;35.16;37.5;8.59;10.16;51.56;49.0
7;0.3803599750208855;0.23414;0.32698493298888204;0.3213;31.25;37.5;26.56;26.56;21.88;24.22;7.81;6.25;35.94;22.0;50.0;56.25;37.5;32.81;36.72;38.28;8.59;8.59;51.56;48.0
8;0.37125594380378724;0.25186;0.3195655411541462;0.3285;31.25;37.5;28.12;28.12;24.22;26.56;8.59;5.47;37.5;23.0;43.75;53.12;37.5;32.81;38.28;39.84;8.59;7.03;51.56;47.0
9;0.3633956583571434;0.26536;0.31671308494210243;0.3321;31.25;37.5;28.12;28.12;25.78;28.12;8.59;5.47;37.5;23.0;50.0;53.12;37.5;32.81;39.84;41.41;8.59;6.25;51.56;46.0
10;0.35582570581197737;0.27688;0.30795641674399377;0.3485;31.25;37.5;29.69;28.12;27.34;29.69;8.59;4.69;39.06;23.0;50.0;50.0;37.5;32.81;41.41;42.19;8.59;5.47;51.56;45.0
11;0.34963012103796004;0.28684;0.30051139904856683;0.3611;31.25;37.5;29.69;29.69;28.91;31.25;8.59;3.91;40.62;24.0;50.0;50.0;37.5;32.81;42.19;42.97;8.59;4.69;53.12;44.0
