;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;75.0;0.0;25.0;34.38;25.0;43.75;65.62;79.69;12.5;18.75;0.5895;0.021125924468040465;84.38;50.0;37.5;40.62;29.69;50.0;68.75;81.25;18.75;25.0;0.5498;0.02147493157982826
1;75.0;0.0;25.0;37.5;26.56;45.31;67.19;79.69;18.75;18.75;0.611;0.020658428579568865;84.38;50.0;37.5;40.62;31.25;50.0;68.75;81.25;18.75;25.0;0.5853;0.021074218231439592
2;71.88;0.0;25.0;37.5;26.56;45.31;67.19;79.69;18.75;21.88;0.609;0.020415181398391723;84.38;50.0;37.5;40.62;31.25;50.0;68.75;81.25;18.75;28.12;0.599;0.02070526357293129
3;71.88;0.0;37.5;37.5;28.12;46.88;67.19;79.69;18.75;25.0;0.6325;0.019994423031806947;81.25;50.0;50.0;40.62;32.81;50.0;68.75;81.25;18.75;28.12;0.616;0.020451144361495973
4;71.88;0.0;37.5;37.5;29.69;46.88;67.19;79.69;18.75;25.0;0.6585;0.019535613432526588;81.25;0.0;50.0;43.75;34.38;50.0;70.31;81.25;25.0;31.25;0.625;0.020174912643432616
5;68.75;0.0;37.5;40.62;29.69;46.88;67.19;79.69;18.75;28.12;0.6605;0.01933472314476967;78.12;0.0;50.0;43.75;34.38;50.0;70.31;81.25;25.0;31.25;0.6478;0.019716740411520006
6;68.75;0.0;37.5;40.62;31.25;48.44;67.19;79.69;25.0;28.12;0.668;0.019002538844943045;78.12;0.0;50.0;43.75;34.38;51.56;70.31;81.25;25.0;31.25;0.6579;0.019420933866500855
7;65.62;0.0;37.5;40.62;31.25;48.44;67.19;79.69;25.0;31.25;0.6805;0.018831789955496787;75.0;0.0;50.0;43.75;35.94;51.56;70.31;81.25;25.0;34.38;0.6639;0.0193194668084383
8;62.5;0.0;37.5;40.62;32.81;48.44;67.19;79.69;25.0;31.25;0.6795;0.018548408031463622;75.0;0.0;50.0;43.75;35.94;51.56;68.75;79.69;25.0;34.38;0.6804;0.018729110011458397
9;62.5;0.0;37.5;40.62;32.81;48.44;67.19;79.69;25.0;31.25;0.6845;0.01838010609149933;71.88;0.0;50.0;43.75;35.94;51.56;68.75;79.69;25.0;34.38;0.6836;0.018526632642745972
10;59.38;0.0;50.0;43.75;32.81;48.44;67.19;78.12;25.0;34.38;0.698;0.017912861481308936;71.88;0.0;50.0;43.75;35.94;51.56;68.75;79.69;25.0;37.5;0.6928;0.018277179971337317
11;56.25;0.0;50.0;43.75;32.81;48.44;67.19;78.12;25.0;34.38;0.6885;0.01783563993871212;68.75;0.0;62.5;43.75;35.94;51.56;68.75;79.69;25.0;37.5;0.6966;0.018090530541539192
12;56.25;0.0;50.0;43.75;32.81;48.44;67.19;78.12;25.0;34.38;0.7125;0.017318180322647096;68.75;0.0;62.5;46.88;35.94;51.56;68.75;79.69;25.0;37.5;0.711;0.01763745773434639
13;53.12;0.0;50.0;43.75;32.81;48.44;67.19;78.12;25.0;34.38;0.713;0.017218459248542786;65.62;0.0;62.5;46.88;37.5;51.56;68.75;79.69;31.25;37.5;0.7108;0.017482824829220773
14;53.12;0.0;50.0;43.75;34.38;48.44;67.19;78.12;31.25;34.38;0.7145;0.01713717657327652;65.62;0.0;62.5;46.88;37.5;51.56;68.75;79.69;31.25;37.5;0.7219;0.01715084922015667
15;53.12;0.0;50.0;43.75;34.38;48.44;67.19;78.12;31.25;34.38;0.7275;0.016707206293940544;65.62;0.0;62.5;46.88;37.5;51.56;68.75;79.69;31.25;37.5;0.7251;0.016995879593491553
16;53.12;0.0;50.0;43.75;34.38;48.44;67.19;78.12;31.25;37.5;0.745;0.016613990113139153;65.62;0.0;62.5;46.88;37.5;51.56;68.75;79.69;31.25;37.5;0.7269;0.016886586025357246
17;50.0;0.0;50.0;43.75;34.38;48.44;67.19;78.12;31.25;37.5;0.737;0.016163572579622268;62.5;0.0;62.5;46.88;37.5;51.56;68.75;79.69;31.25;40.62;0.7301;0.016633147144317628
18;50.0;0.0;62.5;43.75;34.38;48.44;67.19;78.12;31.25;37.5;0.7195;0.016718671716749667;62.5;0.0;62.5;46.88;37.5;51.56;68.75;78.12;31.25;40.62;0.7281;0.01646130186021328
19;50.0;0.0;62.5;43.75;34.38;48.44;67.19;78.12;31.25;37.5;0.731;0.016514015719294547;62.5;0.0;62.5;46.88;37.5;51.56;68.75;78.12;31.25;40.62;0.7355;0.01643482090830803
