;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.02111838293671608;0.5842;0.02046295514702797;0.6255;25.0;6.25;9.38;15.62;21.88;34.38;57.81;60.94;28.12;0.0;50.0;31.25;37.5;43.75;43.75;53.12;70.31;75.0;62.5;0.0
1;0.020134068876504898;0.6412;0.01930273653566837;0.675;25.0;12.5;15.62;25.0;28.12;39.06;60.94;62.5;31.25;0.0;50.0;37.5;43.75;46.88;46.88;54.69;70.31;73.44;56.25;0.0
2;0.019158099746704103;0.6734;0.01836696782708168;0.6875;37.5;25.0;25.0;31.25;31.25;40.62;60.94;62.5;31.25;0.0;50.0;50.0;46.88;46.88;48.44;54.69;70.31;73.44;53.12;0.0
3;0.018153628361225128;0.6996;0.017735089242458344;0.7165;50.0;37.5;31.25;34.38;31.25;43.75;62.5;62.5;31.25;0.0;62.5;50.0;50.0;46.88;48.44;54.69;68.75;71.88;50.0;0.0
4;0.017307166227698328;0.7224;0.01637620095908642;0.732;50.0;43.75;34.38;37.5;32.81;45.31;62.5;62.5;31.25;0.0;62.5;56.25;53.12;46.88;48.44;54.69;67.19;70.31;46.88;0.0
5;0.016089492931962015;0.7458;0.01565340979397297;0.752;50.0;43.75;34.38;37.5;32.81;43.75;60.94;60.94;28.12;0.0;62.5;56.25;53.12;46.88;46.88;53.12;65.62;68.75;46.88;0.0
6;0.015887970766425133;0.7456;0.015011951252818108;0.7665;50.0;43.75;34.38;37.5;31.25;43.75;59.38;59.38;25.0;0.0;62.5;56.25;53.12;43.75;45.31;53.12;65.62;67.19;43.75;0.0
7;0.015377871364355087;0.7601;0.014933125793933869;0.761;50.0;43.75;34.38;34.38;31.25;43.75;57.81;59.38;25.0;0.0;62.5;56.25;50.0;43.75;43.75;51.56;64.06;67.19;40.62;0.0
8;0.015544781541824341;0.757;0.014943873718380928;0.7665;50.0;43.75;34.38;34.38;31.25;43.75;57.81;57.81;25.0;0.0;62.5;56.25;50.0;43.75;42.19;50.0;62.5;65.62;40.62;0.0
9;0.015352071315050125;0.7624;0.014937549516558648;0.764;50.0;43.75;34.38;34.38;31.25;43.75;57.81;57.81;21.88;0.0;62.5;56.25;50.0;40.62;42.19;50.0;62.5;64.06;37.5;0.0
10;0.01528830265700817;0.7657;0.014765201009809971;0.767;50.0;43.75;34.38;34.38;31.25;42.19;56.25;57.81;21.88;0.0;62.5;50.0;50.0;40.62;40.62;50.0;62.5;64.06;37.5;0.0
11;0.01503141658604145;0.7658;0.014656254529953002;0.7715;50.0;43.75;34.38;31.25;29.69;42.19;56.25;56.25;21.88;0.0;62.5;50.0;50.0;40.62;39.06;48.44;60.94;64.06;37.5;0.0
12;0.015125490170717239;0.7698;0.01466427993774414;0.773;50.0;43.75;34.38;31.25;29.69;42.19;56.25;56.25;18.75;0.0;62.5;50.0;46.88;37.5;39.06;48.44;60.94;62.5;34.38;0.0
13;0.01524588451385498;0.7575;0.014628889426589011;0.772;50.0;43.75;34.38;31.25;29.69;42.19;54.69;56.25;18.75;0.0;62.5;50.0;46.88;37.5;37.5;48.44;60.94;62.5;34.38;0.0
14;0.015180308371782303;0.7641;0.014595818608999252;0.776;50.0;43.75;34.38;31.25;29.69;42.19;54.69;56.25;18.75;0.0;62.5;50.0;46.88;37.5;37.5;46.88;60.94;62.5;34.38;0.0
15;0.015156116566061974;0.7644;0.014701187774538995;0.7715;37.5;43.75;34.38;31.25;29.69;42.19;54.69;56.25;18.75;0.0;50.0;50.0;46.88;37.5;37.5;46.88;59.38;62.5;34.38;0.0
16;0.01506248264014721;0.7659;0.014577711835503578;0.7775;37.5;43.75;34.38;31.25;29.69;40.62;54.69;54.69;18.75;0.0;50.0;50.0;43.75;37.5;35.94;46.88;59.38;60.94;34.38;0.0
17;0.014904087314009667;0.7692;0.014664640098810196;0.769;37.5;43.75;34.38;31.25;28.12;40.62;54.69;54.69;18.75;0.0;50.0;50.0;43.75;37.5;35.94;46.88;59.38;60.94;34.38;0.0
18;0.01519544374346733;0.7604;0.014568732753396034;0.773;37.5;43.75;34.38;31.25;28.12;40.62;54.69;54.69;18.75;0.0;50.0;43.75;43.75;34.38;35.94;45.31;59.38;60.94;34.38;0.0
19;0.015065297737717628;0.7665;0.014537624426186085;0.7755;37.5;37.5;34.38;31.25;28.12;40.62;53.12;54.69;18.75;0.0;50.0;43.75;43.75;34.38;34.38;45.31;59.38;60.94;34.38;0.0
