;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3509476104348898;0.5023;0.34669758689403535;0.509;12.5;12.5;15.62;12.5;17.19;25.0;7.81;6.25;0.0;0.0;25.0;37.5;43.75;43.75;39.06;45.31;12.5;21.88;25.0;50.0
1;0.3497426442831755;0.5064;0.34584971687197685;0.5315;12.5;18.75;18.75;18.75;21.88;25.0;10.94;9.38;6.25;50.0;37.5;37.5;46.88;50.0;45.31;53.12;18.75;25.0;34.38;50.0
2;0.3496927825272083;0.5065;0.3588218395933509;0.553;25.0;25.0;15.62;21.88;20.31;17.19;7.81;9.38;6.25;0.0;37.5;37.5;46.88;50.0;48.44;56.25;18.75;25.0;37.5;50.0
3;0.3495390362292528;0.5033;0.34650630271434785;0.5005;25.0;31.25;21.88;25.0;21.88;25.0;10.94;9.38;9.38;50.0;37.5;43.75;46.88;50.0;48.44;59.38;23.44;25.0;37.5;50.0
4;0.3485493623435497;0.5124;0.34635283303260805;0.5015;25.0;37.5;12.5;12.5;10.94;18.75;12.5;9.38;9.38;50.0;37.5;50.0;21.88;28.12;35.94;59.38;26.56;21.88;37.5;50.0
5;0.34836199507415294;0.5042;0.3463398825675249;0.5175;25.0;37.5;9.38;9.38;9.38;17.19;12.5;7.81;9.38;50.0;37.5;50.0;15.62;21.88;29.69;56.25;25.0;18.75;34.38;50.0
6;0.3480344665467739;0.5037;0.34604373830556867;0.48;25.0;37.5;6.25;9.38;7.81;15.62;12.5;9.38;9.38;50.0;37.5;50.0;12.5;21.88;26.56;54.69;23.44;17.19;34.38;50.0
7;0.34776047523915765;0.4988;0.34657146655023097;0.545;25.0;37.5;6.25;9.38;7.81;15.62;12.5;9.38;9.38;50.0;25.0;50.0;12.5;18.75;23.44;53.12;21.88;15.62;31.25;50.0
8;0.34763190973699093;0.5112;0.34675482842326166;0.479;25.0;37.5;3.12;9.38;7.81;14.06;12.5;7.81;9.38;50.0;25.0;50.0;9.38;18.75;21.88;51.56;20.31;15.62;31.25;50.0
9;0.34709048217236993;0.5122;0.34601471546292306;0.508;25.0;37.5;3.12;6.25;7.81;14.06;12.5;7.81;9.38;50.0;25.0;50.0;9.38;15.62;21.88;51.56;20.31;14.06;31.25;50.0
10;0.3476592210352421;0.4961;0.34470072177052496;0.555;25.0;37.5;3.12;6.25;7.81;14.06;12.5;7.81;9.38;50.0;25.0;50.0;12.5;15.62;21.88;51.56;21.88;15.62;31.25;50.0
11;0.347428075170517;0.5061;0.34615468174219133;0.5195;25.0;37.5;3.12;6.25;7.81;14.06;10.94;7.81;9.38;50.0;25.0;50.0;12.5;15.62;21.88;51.56;21.88;14.06;31.25;50.0
12;0.34714843235611914;0.5102;0.34586086618900297;0.5325;25.0;31.25;3.12;6.25;6.25;14.06;10.94;7.81;9.38;50.0;25.0;50.0;12.5;15.62;20.31;50.0;20.31;14.06;28.12;50.0
13;0.346942811268568;0.5088;0.34603208540380004;0.5345;25.0;31.25;3.12;6.25;6.25;14.06;10.94;6.25;9.38;50.0;25.0;50.0;12.5;15.62;20.31;50.0;20.31;14.06;28.12;50.0
14;0.34694606870412825;0.5128;0.34621687580645083;0.562;25.0;31.25;3.12;6.25;6.25;12.5;10.94;6.25;9.38;50.0;25.0;50.0;12.5;15.62;20.31;50.0;20.31;12.5;28.12;50.0
15;0.3466833656668663;0.5187;0.34549617299437524;0.5305;25.0;31.25;3.12;6.25;6.25;12.5;9.38;6.25;9.38;50.0;25.0;43.75;12.5;15.62;20.31;48.44;20.31;12.5;28.12;50.0
16;0.3469254264831543;0.5052;0.34783383655548095;0.509;25.0;31.25;3.12;6.25;6.25;14.06;10.94;6.25;9.38;50.0;25.0;43.75;12.5;15.62;20.31;50.0;20.31;12.5;28.12;50.0
17;0.34689580751657484;0.5043;0.3472776449024677;0.49;12.5;25.0;3.12;6.25;6.25;14.06;10.94;6.25;9.38;50.0;25.0;43.75;12.5;15.62;20.31;50.0;20.31;12.5;28.12;50.0
18;0.3471692974448204;0.4969;0.34717200383543967;0.527;12.5;25.0;3.12;6.25;6.25;14.06;10.94;7.81;9.38;50.0;25.0;43.75;12.5;15.62;20.31;50.0;20.31;12.5;28.12;50.0
19;0.34713230668902395;0.4956;0.3462734499871731;0.5495;12.5;25.0;3.12;6.25;6.25;14.06;10.94;7.81;9.38;50.0;25.0;43.75;12.5;15.62;20.31;50.0;20.31;12.5;28.12;50.0
