;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;71.88;16.0;25.0;34.38;23.44;46.88;71.88;75.0;18.75;18.75;0.0366;0.03617170405387878;84.38;25.0;25.0;43.75;28.12;51.56;73.44;78.12;18.75;21.88;0.01972;0.03594954336166382
1;68.75;10.0;25.0;34.38;25.0;45.31;71.88;75.0;18.75;18.75;0.0419;0.0355902871131897;81.25;23.0;25.0;43.75;28.12;51.56;73.44;76.56;18.75;21.88;0.03702;0.03558682978630066
2;62.5;4.0;25.0;37.5;25.0;45.31;71.88;73.44;18.75;18.75;0.0427;0.034852594518661496;78.12;17.0;25.0;43.75;29.69;51.56;73.44;76.56;25.0;25.0;0.03962;0.03495511607170105
3;56.25;3.0;25.0;37.5;26.56;45.31;70.31;73.44;25.0;21.88;0.0481;0.03419401421546936;75.0;11.0;25.0;43.75;29.69;51.56;73.44;76.56;25.0;25.0;0.04184;0.03430186812400818
4;56.25;3.0;25.0;37.5;26.56;45.31;70.31;73.44;25.0;21.88;0.0571;0.03367575125694275;71.88;7.0;25.0;46.88;29.69;51.56;73.44;75.0;25.0;25.0;0.04814;0.03374349788665772
5;53.12;3.0;25.0;40.62;26.56;46.88;70.31;73.44;25.0;21.88;0.0642;0.03310391745567322;71.88;5.0;25.0;46.88;29.69;51.56;71.88;75.0;25.0;25.0;0.05522;0.03325079063415527
6;50.0;4.0;37.5;40.62;26.56;46.88;70.31;71.88;25.0;25.0;0.0695;0.03255520074367523;68.75;4.0;37.5;46.88;29.69;50.0;71.88;75.0;25.0;28.12;0.06068;0.032763749856948854
7;50.0;4.0;37.5;43.75;26.56;46.88;70.31;71.88;31.25;25.0;0.0825;0.032037431836128234;68.75;4.0;37.5;46.88;29.69;50.0;71.88;75.0;31.25;28.12;0.07016;0.03228310357570648
8;46.88;4.0;37.5;43.75;28.12;46.88;70.31;71.88;31.25;25.0;0.0855;0.031526320576667786;65.62;4.0;37.5;46.88;29.69;50.0;71.88;73.44;31.25;28.12;0.0757;0.0318308867263794
9;46.88;4.0;37.5;43.75;28.12;46.88;70.31;71.88;31.25;25.0;0.0943;0.030992354583740233;65.62;4.0;37.5;50.0;29.69;50.0;71.88;73.44;31.25;28.12;0.08144;0.03139979238033295
