;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.03281691121578217;0.05864;0.03037007884979248;0.0998;25.0;25.0;12.5;25.0;14.06;21.88;25.0;9.38;15.62;4.0;50.0;43.75;34.38;53.12;40.62;54.69;60.94;48.44;50.0;8.0
1;0.029186396522521973;0.1125;0.028094925165176393;0.1378;25.0;31.25;18.75;34.38;20.31;29.69;29.69;10.94;21.88;6.0;50.0;43.75;37.5;56.25;45.31;57.81;57.81;35.94;43.75;9.0
2;0.027787268562316895;0.1374;0.026678721714019776;0.1718;37.5;31.25;25.0;40.62;25.0;35.94;32.81;14.06;25.0;7.0;50.0;43.75;40.62;56.25;48.44;59.38;54.69;29.69;40.62;10.0
3;0.026777437047958375;0.16084;0.025544971537590028;0.1976;37.5;37.5;28.12;40.62;28.12;40.62;34.38;14.06;28.12;8.0;50.0;43.75;43.75;53.12;50.0;60.94;53.12;26.56;40.62;11.0
4;0.026000688848495483;0.1788;0.02492552897930145;0.2149;37.5;31.25;28.12;40.62;29.69;43.75;35.94;15.62;31.25;8.0;50.0;37.5;43.75;53.12;50.0;62.5;51.56;25.0;43.75;12.0
5;0.02534515577316284;0.19588;0.023766045331954956;0.2399;37.5;31.25;31.25;40.62;32.81;46.88;37.5;17.19;34.38;9.0;62.5;37.5;43.75;50.0;51.56;64.06;50.0;23.44;43.75;12.0
6;0.024693128814697266;0.2134;0.02338256950378418;0.2522;37.5;31.25;31.25;40.62;32.81;50.0;37.5;17.19;34.38;10.0;62.5;37.5;43.75;50.0;51.56;65.62;50.0;21.88;43.75;13.0
7;0.02415240874290466;0.22528;0.022576815795898438;0.2705;50.0;31.25;34.38;43.75;34.38;51.56;39.06;17.19;34.38;10.0;62.5;37.5;43.75;46.88;51.56;65.62;50.0;21.88;43.75;14.0
8;0.023752701516151428;0.23582;0.022371806859970093;0.2707;50.0;31.25;34.38;43.75;35.94;54.69;40.62;17.19;37.5;10.0;62.5;37.5;43.75;46.88;51.56;65.62;50.0;20.31;43.75;14.0
9;0.023328456864356993;0.24684;0.021882664322853088;0.2931;50.0;37.5;34.38;43.75;37.5;56.25;42.19;17.19;37.5;11.0;62.5;37.5;43.75;46.88;51.56;67.19;50.0;20.31;43.75;14.0
10;0.022917281794548036;0.25782;0.021507587695121764;0.2976;50.0;37.5;34.38;43.75;39.06;56.25;42.19;17.19;37.5;11.0;62.5;37.5;43.75;46.88;51.56;67.19;50.0;20.31;43.75;15.0
11;0.022580926508903504;0.26734;0.0211952791929245;0.3116;50.0;37.5;34.38;40.62;39.06;57.81;43.75;17.19;37.5;11.0;62.5;37.5;40.62;43.75;51.56;67.19;50.0;20.31;43.75;15.0
12;0.02227260886669159;0.2752;0.021047917890548707;0.3126;50.0;37.5;34.38;40.62;40.62;59.38;43.75;17.19;37.5;11.0;62.5;37.5;40.62;43.75;51.56;67.19;50.0;20.31;43.75;15.0
