;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;12.5;2.0;25.0;28.12;20.31;26.56;42.19;35.94;18.75;15.62;0.0464;0.0336604389667511;68.75;11.0;25.0;46.88;37.5;51.56;68.75;73.44;31.25;28.12;0.0297;0.035190194845199585
1;21.88;5.0;25.0;37.5;25.0;34.38;35.94;32.81;37.5;25.0;0.1027;0.030475859332084656;59.38;6.0;25.0;53.12;46.88;56.25;60.94;65.62;43.75;37.5;0.06574;0.03198582754135132
2;25.0;6.0;25.0;43.75;29.69;40.62;35.94;29.69;37.5;31.25;0.1353;0.028300333070755006;50.0;7.0;25.0;59.38;51.56;60.94;57.81;59.38;50.0;43.75;0.107;0.029423519434928894
3;25.0;6.0;25.0;46.88;32.81;45.31;37.5;29.69;43.75;34.38;0.1699;0.02698116581439972;43.75;8.0;37.5;62.5;53.12;64.06;54.69;53.12;50.0;46.88;0.13312;0.028048024129867552
4;28.12;7.0;37.5;50.0;34.38;48.44;39.06;29.69;43.75;37.5;0.1758;0.02635147590637207;40.62;9.0;37.5;62.5;54.69;65.62;54.69;48.44;50.0;46.88;0.14852;0.027158133821487428
5;31.25;9.0;37.5;53.12;37.5;51.56;40.62;29.69;43.75;37.5;0.2185;0.024842126536369323;40.62;10.0;37.5;62.5;54.69;67.19;54.69;46.88;50.0;46.88;0.17282;0.026365558252334595
6;34.38;9.0;37.5;53.12;39.06;54.69;42.19;31.25;43.75;40.62;0.2283;0.024405345153808593;40.62;11.0;37.5;62.5;56.25;68.75;54.69;45.31;50.0;46.88;0.19114;0.025500901794433595
7;37.5;10.0;37.5;53.12;40.62;56.25;43.75;31.25;43.75;40.62;0.2416;0.02360401465892792;40.62;12.0;37.5;62.5;56.25;70.31;54.69;42.19;50.0;50.0;0.21072;0.024834846525192262
8;37.5;10.0;37.5;53.12;40.62;57.81;45.31;31.25;43.75;40.62;0.2629;0.022738305759429932;40.62;13.0;37.5;62.5;56.25;70.31;54.69;42.19;50.0;46.88;0.22414;0.024181743545532226
9;37.5;11.0;37.5;56.25;42.19;59.38;45.31;31.25;43.75;40.62;0.2758;0.022458146977424622;40.62;13.0;37.5;62.5;56.25;70.31;54.69;40.62;50.0;46.88;0.23364;0.02372961160182953
10;37.5;11.0;37.5;56.25;42.19;60.94;45.31;31.25;43.75;40.62;0.2817;0.021921973824501038;40.62;13.0;37.5;62.5;56.25;71.88;53.12;39.06;50.0;46.88;0.24794;0.023263063554763794
11;37.5;11.0;37.5;56.25;43.75;62.5;46.88;31.25;43.75;40.62;0.2962;0.021584543776512147;40.62;14.0;37.5;62.5;56.25;71.88;53.12;37.5;50.0;43.75;0.25728;0.022858595175743103
12;37.5;11.0;37.5;56.25;43.75;64.06;46.88;31.25;43.75;40.62;0.3045;0.021234689903259277;40.62;14.0;37.5;62.5;56.25;71.88;53.12;37.5;50.0;43.75;0.26792;0.02257250032901764
13;37.5;11.0;37.5;56.25;45.31;64.06;46.88;31.25;43.75;40.62;0.3195;0.020882755112648012;40.62;14.0;37.5;59.38;56.25;71.88;53.12;35.94;50.0;43.75;0.27418;0.022321276249885558
14;37.5;11.0;37.5;53.12;45.31;64.06;48.44;32.81;43.75;40.62;0.3149;0.021184873270988464;40.62;15.0;37.5;59.38;56.25;71.88;53.12;35.94;50.0;43.75;0.28242;0.02204193040370941
15;37.5;12.0;37.5;53.12;45.31;65.62;48.44;32.81;43.75;40.62;0.3242;0.020760501837730407;40.62;15.0;37.5;59.38;56.25;71.88;54.69;35.94;50.0;43.75;0.28978;0.021814700064659118
16;37.5;12.0;37.5;53.12;45.31;65.62;48.44;32.81;43.75;37.5;0.3404;0.02014037046432495;40.62;15.0;37.5;59.38;54.69;73.44;54.69;35.94;50.0;43.75;0.29508;0.021558522548675536
17;40.62;12.0;37.5;53.12;45.31;67.19;50.0;32.81;43.75;37.5;0.3392;0.020235715675354003;43.75;16.0;37.5;59.38;54.69;73.44;54.69;34.38;50.0;43.75;0.29852;0.021383699426651002
18;40.62;12.0;37.5;53.12;46.88;67.19;50.0;32.81;43.75;37.5;0.3494;0.019731411600112915;43.75;16.0;37.5;59.38;54.69;73.44;54.69;34.38;43.75;40.62;0.308;0.02116130049228668
19;40.62;13.0;37.5;53.12;46.88;67.19;50.0;32.81;43.75;37.5;0.3544;0.019795224356651306;43.75;16.0;37.5;56.25;54.69;73.44;54.69;34.38;43.75;40.62;0.30898;0.020980765223503114
20;40.62;13.0;37.5;53.12;46.88;67.19;51.56;32.81;43.75;37.5;0.3703;0.019224559140205384;43.75;16.0;37.5;56.25;54.69;73.44;54.69;34.38;43.75;40.62;0.31696;0.020775944352149963
