;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5290156332015992;0.04782;0.48357296085357665;0.0896;25.0;18.75;15.62;18.75;7.81;10.94;7.81;6.25;15.62;5.0;62.5;62.5;53.12;62.5;45.31;56.25;40.62;29.69;59.38;36.0
1;0.49394725846767423;0.0805;0.4572721285820007;0.1237;37.5;31.25;25.0;25.0;15.62;18.75;12.5;7.81;25.0;9.0;62.5;62.5;53.12;50.0;46.88;51.56;29.69;28.12;59.38;42.0
2;0.4768786969280243;0.10002;0.43833756432533266;0.1484;37.5;31.25;31.25;28.12;20.31;25.0;15.62;9.38;31.25;12.0;62.5;56.25;53.12;46.88;50.0;53.12;28.12;28.12;59.38;44.0
3;0.4627765180015564;0.119;0.41834104146957396;0.1873;37.5;31.25;34.38;31.25;25.0;29.69;17.19;10.94;34.38;15.0;50.0;56.25;53.12;43.75;50.0;54.69;25.0;26.56;56.25;44.0
4;0.44977440679550174;0.13948;0.40152183192968366;0.2129;37.5;37.5;34.38;31.25;28.12;34.38;17.19;12.5;37.5;16.0;50.0;50.0;53.12;43.75;51.56;56.25;25.0;25.0;56.25;44.0
5;0.44154556087493896;0.15034;0.3952978281974793;0.2173;37.5;37.5;37.5;34.38;29.69;37.5;18.75;12.5;40.62;17.0;50.0;50.0;53.12;43.75;53.12;57.81;23.44;20.31;56.25;43.0
6;0.4336993221998215;0.1627;0.3847626839756966;0.2322;50.0;43.75;37.5;34.38;32.81;39.06;20.31;12.5;43.75;18.0;62.5;50.0;53.12;40.62;53.12;57.81;23.44;17.19;56.25;43.0
7;0.4258992229175568;0.17118;0.3766881685256958;0.2442;50.0;43.75;40.62;34.38;34.38;42.19;20.31;10.94;43.75;19.0;62.5;43.75;53.12;40.62;53.12;59.38;21.88;14.06;56.25;42.0
8;0.41874143402338027;0.18424;0.37241759778261185;0.2508;50.0;43.75;40.62;34.38;35.94;43.75;20.31;10.94;46.88;20.0;62.5;43.75;53.12;40.62;54.69;59.38;21.88;12.5;56.25;41.0
9;0.41246588421821595;0.19178;0.36001946523189543;0.2697;50.0;43.75;40.62;34.38;37.5;45.31;20.31;9.38;46.88;20.0;62.5;43.75;53.12;40.62;54.69;59.38;21.88;10.94;56.25;40.0
10;0.40816638930559157;0.19904;0.36896209691762927;0.2555;50.0;43.75;40.62;37.5;39.06;48.44;20.31;9.38;46.88;20.0;62.5;43.75;50.0;40.62;54.69;60.94;21.88;9.38;56.25;40.0
11;0.40414281365156174;0.20504;0.34930881006717684;0.288;50.0;43.75;40.62;34.38;40.62;50.0;20.31;7.81;50.0;20.0;62.5;43.75;53.12;40.62;56.25;60.94;21.88;7.81;56.25;39.0
12;0.3995377539587021;0.21706;0.3492213332414627;0.296;50.0;37.5;40.62;34.38;42.19;51.56;21.88;7.81;50.0;21.0;62.5;43.75;50.0;37.5;56.25;60.94;21.88;7.81;56.25;39.0
13;0.395990419781208;0.21586;0.3418809950530529;0.2987;50.0;43.75;40.62;34.38;42.19;51.56;21.88;6.25;50.0;21.0;62.5;43.75;50.0;37.5;56.25;60.94;21.88;6.25;56.25;38.0
14;0.39263394795417783;0.22392;0.34024004451036455;0.2972;62.5;43.75;40.62;34.38;43.75;53.12;21.88;6.25;50.0;21.0;62.5;43.75;50.0;37.5;56.25;60.94;21.88;6.25;56.25;37.0
15;0.39033585208892824;0.22812;0.3416557320952415;0.2988;62.5;43.75;40.62;34.38;45.31;53.12;21.88;6.25;50.0;21.0;62.5;43.75;50.0;37.5;57.81;60.94;21.88;4.69;56.25;37.0
16;0.3864559024214745;0.23336;0.33599331669807436;0.3178;62.5;37.5;40.62;34.38;45.31;54.69;21.88;4.69;50.0;21.0;62.5;43.75;50.0;37.5;57.81;62.5;21.88;4.69;56.25;36.0
17;0.3841696734333038;0.23972;0.3337083122491837;0.3276;62.5;43.75;40.62;34.38;46.88;56.25;21.88;4.69;50.0;21.0;62.5;43.75;50.0;37.5;57.81;62.5;21.88;4.69;56.25;36.0
18;0.3799236005139351;0.24398;0.3373924968838692;0.3089;62.5;43.75;40.62;37.5;46.88;56.25;21.88;4.69;50.0;21.0;62.5;43.75;46.88;37.5;57.81;62.5;21.88;4.69;56.25;36.0
19;0.37993780141830447;0.24728;0.3257411089897156;0.3306;62.5;43.75;40.62;34.38;48.44;57.81;21.88;4.69;53.12;21.0;62.5;43.75;46.88;37.5;57.81;62.5;21.88;3.12;56.25;35.0
20;0.3779200896835327;0.2509;0.3274023180484772;0.3262;62.5;43.75;40.62;34.38;48.44;57.81;21.88;4.69;53.12;21.0;75.0;43.75;46.88;37.5;57.81;62.5;21.88;3.12;56.25;35.0
21;0.37505939288139345;0.25542;0.327757938349247;0.327;62.5;43.75;40.62;37.5;50.0;57.81;21.88;4.69;53.12;21.0;75.0;43.75;46.88;37.5;57.81;62.5;21.88;3.12;56.25;35.0
22;0.3729393435025215;0.25914;0.3269679565370083;0.3277;62.5;43.75;40.62;37.5;50.0;57.81;23.44;3.12;53.12;21.0;75.0;43.75;46.88;37.5;57.81;62.5;23.44;3.12;56.25;34.0
23;0.371446963095665;0.2591;0.32577332498431205;0.3359;62.5;43.75;40.62;34.38;50.0;59.38;23.44;3.12;53.12;21.0;75.0;43.75;43.75;37.5;57.81;62.5;23.44;3.12;56.25;34.0
24;0.3699689306521416;0.26368;0.32014194329977036;0.3378;62.5;43.75;40.62;34.38;51.56;59.38;23.44;3.12;53.12;21.0;75.0;43.75;43.75;37.5;57.81;62.5;23.44;3.12;56.25;34.0
25;0.36808009539604186;0.26576;0.31910475402474403;0.3371;62.5;43.75;37.5;34.38;51.56;59.38;23.44;3.12;53.12;21.0;75.0;43.75;43.75;34.38;57.81;64.06;23.44;3.12;56.25;33.0
26;0.36711824840784074;0.26672;0.3260661863207817;0.3267;62.5;43.75;37.5;34.38;51.56;59.38;23.44;3.12;53.12;21.0;75.0;43.75;43.75;34.38;57.81;64.06;23.44;3.12;56.25;33.0
27;0.3659584278512001;0.27294;0.3148990819454193;0.3524;62.5;43.75;37.5;34.38;51.56;60.94;23.44;3.12;56.25;21.0;75.0;43.75;43.75;34.38;59.38;62.5;23.44;3.12;59.38;33.0
28;0.3638613688349724;0.27562;0.32499731396436693;0.3369;62.5;43.75;37.5;34.38;51.56;60.94;23.44;3.12;56.25;21.0;75.0;43.75;43.75;34.38;57.81;62.5;23.44;3.12;59.38;33.0
29;0.3634873480463028;0.27268;0.3234322679579258;0.3395;62.5;43.75;37.5;34.38;51.56;60.94;23.44;3.12;56.25;21.0;75.0;43.75;43.75;34.38;57.81;62.5;23.44;3.12;59.38;33.0
30;0.3613744456624985;0.27776;0.32614960465431214;0.3385;62.5;43.75;37.5;34.38;53.12;60.94;23.44;3.12;56.25;22.0;75.0;43.75;43.75;34.38;57.81;62.5;23.44;3.12;59.38;32.0
31;0.36017713294267656;0.28142;0.3101656599521637;0.3505;62.5;43.75;37.5;34.38;53.12;60.94;25.0;3.12;56.25;22.0;75.0;43.75;43.75;34.38;57.81;62.5;25.0;3.12;59.38;32.0
32;0.35958124143123626;0.28044;0.313280119818449;0.35;62.5;43.75;37.5;34.38;53.12;60.94;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;62.5;25.0;3.12;59.38;32.0
33;0.35905133728265765;0.28468;0.3206050760388374;0.3424;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;62.5;25.0;3.12;59.38;32.0
34;0.3587526184344292;0.28172;0.3193865058124065;0.3382;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;62.5;25.0;3.12;59.38;32.0
35;0.3592603394961357;0.28474;0.3158853071212769;0.354;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;62.5;25.0;3.12;59.38;31.0
36;0.3578771948838234;0.28822;0.31659634313583374;0.3554;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;62.5;25.0;3.12;59.38;31.0
37;0.3575547283697128;0.28458;0.3123941459655762;0.3602;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;22.0;75.0;43.75;40.62;34.38;57.81;64.06;25.0;3.12;59.38;31.0
38;0.35582796070098877;0.28992;0.318240840357542;0.3447;62.5;43.75;34.38;34.38;53.12;62.5;25.0;3.12;56.25;21.0;75.0;43.75;40.62;34.38;57.81;64.06;25.0;3.12;59.38;31.0
39;0.35654654747486114;0.29094;0.328045468711853;0.3365;62.5;43.75;37.5;34.38;53.12;62.5;25.0;3.12;56.25;21.0;75.0;43.75;40.62;31.25;57.81;64.06;25.0;3.12;59.38;31.0
40;0.35475057954311373;0.29194;0.30614105945527553;0.364;62.5;43.75;34.38;34.38;53.12;62.5;26.56;3.12;56.25;21.0;75.0;37.5;37.5;31.25;57.81;64.06;25.0;3.12;59.38;31.0
