;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.021291989356279375;0.5626;0.020466860413551332;0.634;25.0;12.5;6.25;25.0;21.88;46.88;65.62;59.38;31.25;0.0;75.0;37.5;31.25;50.0;40.62;62.5;71.88;71.88;56.25;0.0
1;0.020283847266435624;0.6301;0.019515755176544188;0.662;75.0;25.0;12.5;31.25;31.25;50.0;68.75;59.38;31.25;0.0;75.0;50.0;31.25;56.25;46.88;62.5;71.88;71.88;50.0;0.0
2;0.01953931087255478;0.6587;0.01887595482170582;0.678;75.0;25.0;18.75;37.5;34.38;50.0;68.75;59.38;31.25;0.0;75.0;50.0;37.5;56.25;46.88;62.5;71.88;68.75;50.0;0.0
3;0.018842158871889114;0.6772;0.018131621167063714;0.6925;75.0;25.0;25.0;37.5;37.5;50.0;65.62;59.38;25.0;0.0;75.0;50.0;37.5;56.25;50.0;59.38;71.88;68.75;43.75;0.0
4;0.018488439762592315;0.6876;0.018101011201739313;0.71;75.0;37.5;31.25;43.75;40.62;53.12;65.62;59.38;25.0;0.0;75.0;50.0;37.5;56.25;50.0;59.38;71.88;68.75;43.75;0.0
5;0.01769475359618664;0.7091;0.017206751555204392;0.7165;75.0;25.0;31.25;43.75;37.5;53.12;65.62;56.25;25.0;0.0;75.0;50.0;37.5;56.25;50.0;59.38;68.75;65.62;37.5;0.0
6;0.017537604984641075;0.7107;0.01710603216290474;0.719;75.0;25.0;25.0;43.75;37.5;53.12;65.62;56.25;18.75;0.0;75.0;50.0;37.5;56.25;46.88;59.38;68.75;65.62;37.5;0.0
7;0.017452660536766054;0.7146;0.01715338297188282;0.7205;75.0;25.0;25.0;43.75;37.5;53.12;62.5;56.25;18.75;0.0;75.0;37.5;37.5;50.0;46.88;56.25;68.75;62.5;37.5;0.0
8;0.017300942504405975;0.7174;0.01723173090815544;0.7155;75.0;25.0;25.0;37.5;37.5;50.0;62.5;53.12;18.75;0.0;75.0;37.5;37.5;50.0;43.75;56.25;68.75;62.5;31.25;0.0
9;0.017354201552271842;0.7171;0.016778002306818963;0.726;75.0;25.0;25.0;37.5;37.5;50.0;62.5;53.12;18.75;0.0;75.0;37.5;31.25;50.0;43.75;56.25;68.75;62.5;31.25;0.0
10;0.017112543576955797;0.7279;0.0167193471044302;0.72;75.0;25.0;25.0;37.5;34.38;50.0;62.5;53.12;18.75;0.0;75.0;37.5;31.25;50.0;43.75;56.25;65.62;59.38;31.25;0.0
11;0.017237681299448013;0.7187;0.0168037229180336;0.721;75.0;25.0;25.0;37.5;34.38;50.0;62.5;53.12;18.75;0.0;75.0;37.5;31.25;50.0;40.62;56.25;65.62;59.38;31.25;0.0
12;0.017035577791929244;0.726;0.016809610784053804;0.7235;75.0;25.0;25.0;37.5;34.38;50.0;62.5;53.12;18.75;0.0;75.0;37.5;31.25;50.0;40.62;56.25;65.62;59.38;31.25;0.0
13;0.017128274127840997;0.7214;0.016743508622050287;0.721;75.0;25.0;25.0;37.5;34.38;50.0;62.5;53.12;12.5;0.0;75.0;37.5;31.25;50.0;40.62;53.12;65.62;59.38;31.25;0.0
14;0.017017371934652328;0.7244;0.01681282399594784;0.722;75.0;25.0;25.0;37.5;34.38;50.0;62.5;50.0;12.5;0.0;75.0;37.5;31.25;43.75;40.62;53.12;65.62;59.38;31.25;0.0
15;0.01702366649508476;0.7257;0.016727090939879417;0.7245;75.0;25.0;25.0;37.5;34.38;50.0;59.38;50.0;12.5;0.0;75.0;37.5;31.25;43.75;40.62;53.12;65.62;56.25;31.25;0.0
16;0.017074792018532754;0.7222;0.01668163497745991;0.727;75.0;25.0;25.0;37.5;34.38;46.88;59.38;50.0;12.5;0.0;75.0;25.0;31.25;43.75;37.5;53.12;65.62;56.25;31.25;0.0
17;0.017147119799256323;0.7239;0.01675310502946377;0.728;75.0;25.0;25.0;37.5;34.38;46.88;59.38;50.0;12.5;0.0;75.0;25.0;31.25;43.75;37.5;53.12;62.5;56.25;25.0;0.0
18;0.016990790876746178;0.7267;0.016789386853575707;0.7225;75.0;25.0;18.75;37.5;34.38;46.88;59.38;50.0;12.5;0.0;75.0;25.0;25.0;43.75;37.5;53.12;62.5;56.25;25.0;0.0
19;0.017167448028922082;0.7187;0.016737802103161812;0.7275;75.0;25.0;18.75;37.5;34.38;46.88;59.38;50.0;12.5;0.0;75.0;25.0;25.0;43.75;37.5;53.12;62.5;56.25;25.0;0.0
