;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013783648490905763;0.5449;0.001384360522031784;0.5825;50.0;25.0;25.0;43.75;37.5;46.88;68.75;65.62;50.0;50.0;50.0;12.5;25.0;50.0;43.75;50.0;71.88;71.88;81.25;50.0
1;0.0013493721902370452;0.588;0.0013566603660583496;0.5905;50.0;25.0;25.0;43.75;40.62;50.0;68.75;65.62;50.0;0.0;50.0;12.5;31.25;50.0;46.88;53.12;71.88;71.88;75.0;50.0
2;0.0013189192175865174;0.6085;0.0013060951232910156;0.607;25.0;25.0;25.0;50.0;43.75;50.0;68.75;65.62;43.75;0.0;50.0;12.5;31.25;50.0;46.88;53.12;71.88;68.75;68.75;50.0
3;0.001294835764169693;0.6295;0.0012822917997837066;0.6295;25.0;25.0;25.0;50.0;43.75;53.12;68.75;62.5;43.75;0.0;50.0;12.5;31.25;56.25;50.0;53.12;71.88;68.75;62.5;0.0
4;0.001265345400571823;0.6494;0.0012522923350334167;0.645;25.0;25.0;25.0;50.0;43.75;53.12;68.75;62.5;37.5;0.0;50.0;25.0;31.25;56.25;50.0;56.25;71.88;68.75;62.5;0.0
5;0.0012422792077064514;0.6586;0.0012429292052984237;0.6615;25.0;25.0;31.25;50.0;43.75;53.12;68.75;62.5;37.5;0.0;50.0;25.0;31.25;56.25;50.0;56.25;71.88;68.75;62.5;0.0
6;0.001233988893032074;0.6642;0.0012575274705886842;0.6515;25.0;25.0;31.25;50.0;46.88;53.12;68.75;62.5;37.5;0.0;50.0;25.0;31.25;56.25;50.0;56.25;71.88;68.75;62.5;0.0
7;0.00121127450466156;0.6682;0.0012498711198568344;0.653;25.0;25.0;31.25;50.0;46.88;53.12;68.75;62.5;37.5;0.0;25.0;25.0;31.25;56.25;50.0;56.25;71.88;68.75;56.25;0.0
8;0.0012051845073699952;0.6719;0.0011748721152544021;0.68;25.0;25.0;31.25;50.0;46.88;56.25;68.75;62.5;37.5;0.0;25.0;25.0;37.5;56.25;50.0;59.38;71.88;65.62;56.25;0.0
9;0.0011962120354175568;0.6752;0.0011964983940124512;0.677;25.0;25.0;31.25;50.0;46.88;56.25;65.62;62.5;37.5;0.0;25.0;25.0;37.5;56.25;50.0;59.38;71.88;65.62;56.25;0.0
10;0.001182956498861313;0.6848;0.001210945963859558;0.686;25.0;25.0;31.25;50.0;46.88;56.25;65.62;62.5;37.5;0.0;25.0;25.0;37.5;56.25;50.0;59.38;71.88;65.62;56.25;0.0
11;0.0011711771965026855;0.6824;0.0011658281534910203;0.6945;25.0;25.0;31.25;50.0;46.88;56.25;65.62;62.5;37.5;0.0;25.0;25.0;37.5;56.25;53.12;59.38;71.88;65.62;50.0;0.0
12;0.001165209150314331;0.6886;0.0011475008726119995;0.7;25.0;25.0;31.25;50.0;46.88;56.25;65.62;62.5;31.25;0.0;25.0;25.0;37.5;56.25;50.0;59.38;71.88;65.62;50.0;0.0
13;0.0011501846551895142;0.6945;0.0011407432556152343;0.6905;25.0;25.0;31.25;50.0;50.0;56.25;65.62;62.5;31.25;0.0;25.0;25.0;37.5;56.25;53.12;59.38;71.88;65.62;50.0;0.0
14;0.0011397620677947998;0.6991;0.0011478141993284225;0.6975;25.0;25.0;31.25;50.0;50.0;56.25;65.62;62.5;31.25;0.0;25.0;25.0;37.5;56.25;53.12;59.38;68.75;65.62;50.0;0.0
15;0.0011423929274082185;0.7027;0.0011306793838739395;0.6995;25.0;25.0;31.25;50.0;50.0;56.25;65.62;62.5;31.25;0.0;25.0;25.0;37.5;56.25;53.12;59.38;68.75;65.62;50.0;0.0
16;0.00113497114777565;0.7009;0.0011123782992362977;0.7015;25.0;25.0;31.25;50.0;50.0;56.25;65.62;59.38;31.25;0.0;25.0;25.0;37.5;56.25;53.12;59.38;68.75;65.62;50.0;0.0
17;0.0011239368975162506;0.7012;0.001106883704662323;0.701;25.0;25.0;31.25;50.0;50.0;56.25;65.62;59.38;31.25;0.0;50.0;25.0;37.5;56.25;53.12;59.38;68.75;65.62;43.75;0.0
18;0.0011078649520874023;0.7142;0.0010956065505743026;0.7135;25.0;25.0;31.25;50.0;50.0;56.25;65.62;59.38;31.25;0.0;50.0;25.0;37.5;56.25;53.12;59.38;68.75;65.62;43.75;0.0
19;0.0011160833716392516;0.7044;0.001088452458381653;0.713;25.0;25.0;31.25;50.0;50.0;56.25;65.62;59.38;25.0;0.0;50.0;25.0;37.5;56.25;53.12;59.38;68.75;62.5;43.75;0.0
