;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.001386467808485031;0.4995;0.0013862433135509492;0.513;25.0;25.0;18.75;31.25;21.88;43.75;68.75;71.88;75.0;50.0;50.0;25.0;18.75;43.75;25.0;50.0;71.88;78.12;81.25;50.0
1;0.0013844458639621735;0.5159;0.0013856435716152191;0.5395;25.0;25.0;18.75;31.25;21.88;46.88;71.88;75.0;81.25;50.0;50.0;25.0;18.75;43.75;25.0;50.0;71.88;78.12;81.25;50.0
2;0.0013822846055030823;0.5451;0.0013825967907905579;0.563;25.0;25.0;18.75;31.25;21.88;46.88;71.88;75.0;75.0;50.0;50.0;25.0;18.75;43.75;25.0;50.0;71.88;78.12;81.25;50.0
3;0.001377723389863968;0.5575;0.0013722566068172454;0.5865;25.0;25.0;18.75;37.5;21.88;46.88;71.88;75.0;75.0;50.0;50.0;25.0;18.75;43.75;25.0;50.0;71.88;78.12;81.25;50.0
4;0.0013695669531822204;0.5628;0.0013588249385356904;0.584;25.0;25.0;18.75;37.5;25.0;46.88;71.88;75.0;75.0;50.0;50.0;25.0;18.75;43.75;25.0;53.12;71.88;78.12;81.25;50.0
5;0.0013603687345981597;0.575;0.0013398289680480956;0.5995;25.0;25.0;18.75;37.5;25.0;50.0;71.88;75.0;75.0;0.0;50.0;25.0;18.75;43.75;25.0;53.12;71.88;78.12;81.25;50.0
6;0.0013426448285579682;0.6007;0.001321571558713913;0.6115;25.0;25.0;18.75;37.5;25.0;50.0;71.88;75.0;68.75;0.0;50.0;25.0;18.75;43.75;28.12;53.12;71.88;78.12;81.25;50.0
7;0.0013273603081703186;0.6099;0.0013109753131866455;0.6035;25.0;25.0;18.75;37.5;28.12;50.0;71.88;75.0;68.75;0.0;50.0;25.0;25.0;43.75;28.12;53.12;75.0;78.12;81.25;50.0
8;0.0013118045270442962;0.6165;0.0012891151607036591;0.624;25.0;25.0;18.75;37.5;28.12;50.0;71.88;78.12;68.75;0.0;50.0;25.0;25.0;43.75;28.12;53.12;75.0;78.12;75.0;50.0
9;0.0012956534028053283;0.6274;0.0012699842751026154;0.634;25.0;25.0;18.75;37.5;28.12;50.0;71.88;78.12;62.5;0.0;50.0;25.0;25.0;43.75;28.12;53.12;75.0;78.12;75.0;0.0
10;0.0012884067237377166;0.631;0.0012580242156982422;0.6445;25.0;25.0;18.75;37.5;28.12;50.0;71.88;78.12;62.5;0.0;50.0;25.0;25.0;50.0;31.25;53.12;75.0;78.12;75.0;0.0
11;0.001277777087688446;0.6408;0.0012548119127750396;0.647;25.0;25.0;18.75;37.5;28.12;50.0;71.88;78.12;62.5;0.0;50.0;25.0;25.0;50.0;31.25;53.12;75.0;78.12;75.0;0.0
12;0.0012605634927749633;0.6459;0.0012400616407394409;0.659;25.0;25.0;18.75;37.5;28.12;50.0;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;53.12;75.0;78.12;68.75;0.0
13;0.0012645827531814575;0.6441;0.0012292301058769227;0.666;25.0;25.0;25.0;43.75;28.12;50.0;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;53.12;75.0;78.12;68.75;0.0
14;0.0012452852845191956;0.6513;0.00122995288670063;0.6615;25.0;25.0;25.0;43.75;28.12;50.0;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;53.12;75.0;78.12;68.75;0.0
15;0.0012424964487552643;0.6561;0.00123263181746006;0.6625;25.0;25.0;25.0;43.75;28.12;53.12;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;56.25;75.0;78.12;68.75;0.0
16;0.0012238553524017335;0.6648;0.001207833006978035;0.6715;25.0;25.0;25.0;43.75;28.12;53.12;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;56.25;75.0;78.12;68.75;0.0
17;0.0012198549211025237;0.6637;0.0011933293044567108;0.6785;25.0;25.0;25.0;43.75;28.12;53.12;71.88;75.0;56.25;0.0;50.0;25.0;25.0;50.0;31.25;56.25;75.0;78.12;68.75;0.0
18;0.001214111304283142;0.6708;0.0011948979496955872;0.6745;25.0;25.0;25.0;43.75;28.12;53.12;71.88;75.0;50.0;0.0;50.0;25.0;25.0;50.0;31.25;56.25;75.0;78.12;68.75;0.0
19;0.0011990261256694793;0.6793;0.001196630209684372;0.676;25.0;37.5;25.0;43.75;31.25;53.12;71.88;75.0;50.0;0.0;50.0;25.0;31.25;50.0;31.25;56.25;75.0;78.12;68.75;0.0
