;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;56.25;0.0;50.0;37.5;34.38;50.0;62.5;68.75;25.0;18.75;0.5725;0.08501695495843888;75.0;50.0;50.0;43.75;43.75;56.25;65.62;75.0;25.0;37.5;0.541;0.08599020291566849
1;62.5;0.0;50.0;43.75;37.5;53.12;65.62;68.75;37.5;25.0;0.6265;0.08159939104318618;75.0;50.0;50.0;50.0;46.88;59.38;68.75;75.0;25.0;43.75;0.5823;0.08437248997986317
2;62.5;0.0;50.0;43.75;40.62;56.25;65.62;71.88;37.5;31.25;0.6425;0.08041578687727452;75.0;0.0;50.0;50.0;50.0;62.5;68.75;75.0;37.5;50.0;0.6074;0.0827352596461773
3;62.5;0.0;50.0;43.75;43.75;56.25;65.62;71.88;37.5;37.5;0.644;0.07966135101765394;75.0;0.0;50.0;50.0;53.12;62.5;68.75;75.0;37.5;50.0;0.628;0.08133413268029689
4;62.5;0.0;50.0;50.0;46.88;59.38;65.62;68.75;37.5;37.5;0.6815;0.07553593872487545;75.0;0.0;50.0;56.25;53.12;62.5;68.75;75.0;37.5;56.25;0.64;0.08009085169136525
5;62.5;0.0;50.0;50.0;46.88;59.38;65.62;68.75;37.5;37.5;0.668;0.07630698873102665;75.0;0.0;50.0;56.25;53.12;62.5;68.75;75.0;37.5;56.25;0.6465;0.07965787286460399
6;62.5;0.0;50.0;50.0;50.0;59.38;65.62;68.75;37.5;37.5;0.679;0.0755842774361372;75.0;0.0;50.0;56.25;56.25;62.5;68.75;75.0;37.5;56.25;0.6499;0.07870857262015343
7;62.5;0.0;50.0;50.0;50.0;59.38;65.62;68.75;37.5;37.5;0.697;0.07526084646582604;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6546;0.07821006027460098
8;62.5;0.0;50.0;50.0;50.0;59.38;65.62;68.75;37.5;43.75;0.6915;0.07368323530256748;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6702;0.07692995807230472
9;62.5;0.0;50.0;50.0;50.0;59.38;65.62;68.75;37.5;43.75;0.6905;0.07351906056702137;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6672;0.07659701489210129
10;56.25;0.0;50.0;50.0;50.0;59.38;65.62;68.75;37.5;43.75;0.691;0.07246990326792002;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6783;0.07543242444097996
11;56.25;0.0;50.0;56.25;50.0;59.38;62.5;68.75;50.0;43.75;0.7055;0.07144127433001995;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6843;0.07470055024623871
12;56.25;0.0;50.0;56.25;53.12;59.38;62.5;68.75;50.0;50.0;0.7155;0.06966541111469268;68.75;0.0;50.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6896;0.07451324702203274
13;56.25;0.0;50.0;56.25;53.12;59.38;62.5;68.75;50.0;50.0;0.727;0.0691520676612854;68.75;0.0;75.0;56.25;56.25;62.5;68.75;71.88;37.5;56.25;0.6815;0.07463188029229641
14;56.25;0.0;50.0;56.25;53.12;59.38;62.5;68.75;50.0;50.0;0.717;0.06800959244370461;68.75;0.0;75.0;56.25;56.25;62.5;68.75;71.88;50.0;62.5;0.6859;0.073668714094162
15;56.25;0.0;50.0;56.25;53.12;59.38;62.5;68.75;50.0;50.0;0.7185;0.06791499021649361;68.75;0.0;75.0;56.25;59.38;62.5;65.62;71.88;50.0;62.5;0.6911;0.0732304711997509
16;56.25;0.0;50.0;56.25;53.12;59.38;62.5;68.75;50.0;50.0;0.7175;0.06918329668790102;68.75;0.0;75.0;62.5;59.38;62.5;65.62;71.88;50.0;62.5;0.6986;0.07244791204333305
17;56.25;0.0;50.0;56.25;53.12;59.38;62.5;65.62;50.0;50.0;0.7165;0.06874181181937457;68.75;0.0;75.0;62.5;59.38;62.5;65.62;71.88;50.0;62.5;0.7059;0.0721114121556282
18;56.25;0.0;50.0;56.25;53.12;59.38;62.5;65.62;50.0;56.25;0.725;0.06649782499670982;68.75;0.0;75.0;62.5;59.38;62.5;65.62;71.88;50.0;62.5;0.7037;0.07182736809253693
19;56.25;0.0;50.0;56.25;53.12;59.38;62.5;65.62;50.0;56.25;0.732;0.0670419274494052;68.75;0.0;75.0;62.5;59.38;62.5;65.62;71.88;50.0;62.5;0.7041;0.07181725943237544
