;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_classifier-2;train-saturation_classifier-6
0;0.015362029283046722;0.23882;0.01358846002817154;0.329;50.0;25.0;18.75;31.25;18.75;31.25;31.25;21.88;18.75;10.0;50.0;37.5;37.5;56.25;43.75;56.25;59.38;59.38;37.5;10.0
1;0.013286493799686432;0.34478;0.012361279547214507;0.3829;50.0;37.5;31.25;43.75;28.12;37.5;37.5;25.0;18.75;20.0;50.0;37.5;37.5;62.5;50.0;59.38;59.38;53.12;37.5;20.0
2;0.012371000990867615;0.39862;0.011951972043514251;0.4222;50.0;37.5;31.25;43.75;31.25;43.75;40.62;28.12;25.0;20.0;50.0;37.5;43.75;56.25;53.12;62.5;56.25;46.88;31.25;20.0
3;0.011783898186683656;0.4341;0.011348423063755036;0.452;50.0;37.5;37.5;43.75;34.38;46.88;43.75;28.12;25.0;20.0;50.0;37.5;43.75;56.25;53.12;62.5;59.38;43.75;37.5;20.0
4;0.011313429877758026;0.4653;0.010624615800380707;0.4905;50.0;37.5;37.5;50.0;37.5;46.88;46.88;28.12;31.25;30.0;50.0;37.5;50.0;56.25;53.12;62.5;59.38;40.62;37.5;30.0
5;0.010964883370399475;0.48588;0.010818446457386017;0.5037;50.0;37.5;37.5;50.0;40.62;50.0;46.88;31.25;31.25;30.0;50.0;37.5;50.0;56.25;53.12;62.5;59.38;40.62;37.5;30.0
6;0.010606908328533173;0.5095;0.009769407284259795;0.5433;50.0;37.5;37.5;50.0;40.62;53.12;46.88;31.25;31.25;30.0;50.0;37.5;50.0;56.25;53.12;65.62;59.38;37.5;37.5;30.0
7;0.010314237699508667;0.52626;0.009599131417274476;0.5608;50.0;37.5;37.5;50.0;40.62;56.25;50.0;31.25;31.25;30.0;50.0;37.5;50.0;56.25;53.12;65.62;59.38;37.5;37.5;40.0
8;0.010077434875965118;0.5374;0.009232095873355866;0.5799;50.0;37.5;37.5;50.0;43.75;56.25;50.0;31.25;31.25;40.0;50.0;37.5;50.0;56.25;56.25;65.62;59.38;37.5;37.5;40.0
9;0.009873244268894195;0.54902;0.009304008603096008;0.5748;50.0;37.5;43.75;50.0;43.75;59.38;50.0;31.25;37.5;40.0;50.0;37.5;50.0;56.25;56.25;65.62;59.38;37.5;37.5;40.0
10;0.009703666260242463;0.5601;0.008846933424472809;0.6003;50.0;37.5;43.75;50.0;43.75;59.38;50.0;31.25;37.5;40.0;50.0;37.5;50.0;56.25;56.25;65.62;56.25;34.38;37.5;40.0
11;0.009551437033414842;0.5687;0.008865642315149308;0.5966;50.0;37.5;43.75;50.0;46.88;59.38;50.0;31.25;37.5;40.0;50.0;37.5;50.0;56.25;56.25;65.62;56.25;34.38;37.5;40.0
12;0.009433257907629012;0.57492;0.008630098134279252;0.6153;50.0;37.5;43.75;50.0;46.88;59.38;50.0;31.25;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;34.38;37.5;40.0
13;0.009260545411109924;0.58232;0.00854004248380661;0.6077;50.0;37.5;43.75;50.0;46.88;62.5;50.0;28.12;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
14;0.009195412764549256;0.58894;0.00848336506485939;0.6175;50.0;37.5;43.75;50.0;50.0;62.5;50.0;28.12;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
15;0.009081169472932816;0.59452;0.008539712816476822;0.619;50.0;37.5;43.75;50.0;50.0;62.5;50.0;31.25;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
16;0.008980623041391373;0.59846;0.008364296144247056;0.622;50.0;37.5;43.75;50.0;50.0;62.5;50.0;28.12;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
17;0.008881121357679368;0.60342;0.008323856711387634;0.6237;50.0;37.5;43.75;50.0;53.12;65.62;50.0;28.12;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
18;0.008794170141220093;0.60756;0.008039681857824325;0.6435;50.0;37.5;43.75;50.0;53.12;65.62;50.0;28.12;37.5;40.0;50.0;37.5;50.0;56.25;56.25;68.75;56.25;31.25;37.5;50.0
19;0.008732434834241867;0.61082;0.008218244421482087;0.6308;50.0;37.5;43.75;50.0;53.12;65.62;50.0;28.12;37.5;50.0;50.0;37.5;50.0;56.25;56.25;68.75;53.12;31.25;37.5;50.0
