;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;12.5;0.0;25.0;37.5;31.25;40.62;56.25;46.88;25.0;25.0;0.1957;0.015600143730640411;62.5;10.0;50.0;50.0;46.88;56.25;71.88;71.88;25.0;37.5;0.16822;0.016952287240028382
1;18.75;10.0;50.0;43.75;34.38;43.75;56.25;46.88;37.5;31.25;0.2721;0.014370630466938018;56.25;10.0;50.0;56.25;50.0;59.38;68.75;68.75;37.5;43.75;0.22774;0.01507761032819748
2;37.5;20.0;50.0;50.0;37.5;46.88;56.25;50.0;50.0;37.5;0.3995;0.012617206180095673;56.25;20.0;50.0;56.25;53.12;62.5;68.75;68.75;50.0;50.0;0.31898;0.01392164695262909
3;37.5;30.0;50.0;56.25;40.62;50.0;59.38;50.0;50.0;43.75;0.4362;0.011775681841373443;50.0;30.0;50.0;62.5;53.12;62.5;68.75;65.62;50.0;50.0;0.38708;0.012795232989788055
4;37.5;30.0;50.0;50.0;40.62;50.0;56.25;50.0;50.0;50.0;0.4622;0.011339993453025818;43.75;30.0;50.0;56.25;56.25;62.5;68.75;65.62;50.0;56.25;0.42268;0.012145751476287842
5;37.5;30.0;50.0;50.0;40.62;53.12;56.25;46.88;50.0;50.0;0.4974;0.010595170283317567;43.75;30.0;50.0;56.25;56.25;62.5;65.62;62.5;50.0;56.25;0.45234;0.011632041625976563
6;31.25;30.0;50.0;50.0;43.75;53.12;56.25;46.88;50.0;50.0;0.5142;0.010262327289581298;37.5;30.0;50.0;56.25;56.25;62.5;65.62;59.38;50.0;56.25;0.47218;0.011257487769126892
7;31.25;30.0;50.0;50.0;43.75;56.25;56.25;46.88;50.0;50.0;0.5258;0.010208276164531708;37.5;30.0;50.0;56.25;56.25;65.62;65.62;56.25;50.0;56.25;0.4923;0.010948217387199402
8;31.25;30.0;50.0;50.0;46.88;59.38;56.25;46.88;50.0;50.0;0.5462;0.009742712664604187;37.5;40.0;50.0;56.25;56.25;65.62;65.62;56.25;50.0;56.25;0.5074;0.010712479927539825
9;31.25;40.0;50.0;50.0;46.88;59.38;59.38;43.75;50.0;50.0;0.553;0.00965381172299385;37.5;40.0;50.0;56.25;56.25;65.62;65.62;53.12;50.0;56.25;0.52504;0.010446367030143738
10;37.5;40.0;50.0;50.0;46.88;62.5;59.38;43.75;50.0;56.25;0.57;0.009308704900741578;37.5;40.0;50.0;56.25;56.25;65.62;65.62;50.0;50.0;56.25;0.53182;0.010302442071437835
11;37.5;40.0;50.0;50.0;46.88;62.5;59.38;43.75;50.0;56.25;0.5842;0.00903994763493538;37.5;40.0;50.0;56.25;56.25;65.62;65.62;50.0;50.0;56.25;0.5419;0.010116587567329407
12;37.5;40.0;50.0;50.0;50.0;62.5;59.38;40.62;50.0;56.25;0.5777;0.009235367411375046;37.5;40.0;50.0;56.25;56.25;68.75;65.62;46.88;50.0;56.25;0.5527;0.009932594290971757
13;37.5;40.0;50.0;50.0;50.0;62.5;59.38;40.62;50.0;50.0;0.5891;0.00900840510725975;37.5;40.0;50.0;56.25;56.25;68.75;65.62;46.88;50.0;56.25;0.55914;0.00979691588640213
14;37.5;40.0;50.0;50.0;46.88;65.62;59.38;37.5;50.0;56.25;0.5847;0.009003912192583084;37.5;40.0;50.0;56.25;56.25;68.75;65.62;43.75;50.0;56.25;0.56442;0.009653025637865067
15;37.5;40.0;50.0;50.0;50.0;65.62;59.38;37.5;50.0;56.25;0.6073;0.008642849308252334;37.5;40.0;50.0;56.25;56.25;68.75;65.62;40.62;50.0;56.25;0.57202;0.00953534438252449
16;37.5;40.0;50.0;50.0;50.0;65.62;59.38;37.5;37.5;56.25;0.6079;0.00866031129360199;37.5;50.0;50.0;56.25;56.25;68.75;65.62;40.62;50.0;56.25;0.57562;0.009458220382928848
17;37.5;40.0;50.0;50.0;50.0;65.62;59.38;37.5;37.5;56.25;0.5919;0.009193884468078613;37.5;50.0;50.0;56.25;56.25;68.75;65.62;40.62;50.0;56.25;0.58202;0.009332835494279861
18;37.5;40.0;50.0;50.0;50.0;68.75;59.38;34.38;37.5;56.25;0.6095;0.008615064722299576;37.5;50.0;50.0;56.25;56.25;68.75;65.62;37.5;50.0;56.25;0.586;0.009273999408483505
19;37.5;40.0;50.0;50.0;50.0;68.75;59.38;34.38;37.5;50.0;0.6151;0.008553822988271714;37.5;50.0;50.0;56.25;56.25;71.88;65.62;37.5;50.0;56.25;0.59012;0.009200731784105302
