;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;75.0;10.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0101;0.009209989452362061;81.25;11.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.00956;0.009026790790557862
1;75.0;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0113;0.0092075945854187;81.25;11.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.01116;0.0090244801902771
2;81.25;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0133;0.009204121494293213;81.25;12.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.01292;0.009021749658584594
3;81.25;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0189;0.00919962067604065;81.25;12.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.01632;0.009018081102371216
4;75.0;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0209;0.0091943190574646;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.0184;0.00901342046737671
5;75.0;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0214;0.009187943363189698;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02002;0.009008942070007324
6;75.0;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0234;0.009179652786254882;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02252;0.009001265354156494
7;75.0;11.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0272;0.009169796323776245;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.0232;0.008993587961196899
8;75.0;10.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0295;0.009158159828186034;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.026;0.008982027091979981
9;75.0;10.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0296;0.009144143629074097;81.25;13.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02778;0.008971354398727416
10;75.0;9.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0302;0.009131138515472412;81.25;12.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02828;0.008959112110137939
11;75.0;8.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.03;0.009113921976089477;81.25;12.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02872;0.00894621509552002
12;75.0;7.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;25.0;0.0314;0.009099274921417237;81.25;11.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02882;0.008931188106536866
13;75.0;6.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;31.25;0.031;0.009081266689300538;81.25;11.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02848;0.008916283721923829
14;75.0;6.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;31.25;0.032;0.009065122890472413;81.25;10.0;50.0;37.5;25.0;50.0;65.62;71.88;25.0;31.25;0.02892;0.008900141201019287
15;75.0;5.0;50.0;31.25;21.88;46.88;65.62;68.75;25.0;31.25;0.0317;0.009048060894012451;81.25;10.0;50.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.02932;0.008883081035614014
16;75.0;4.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0314;0.009029465770721435;81.25;9.0;50.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.028;0.008869556245803833
17;75.0;4.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0314;0.009009840869903564;81.25;8.0;50.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.02878;0.008851232089996337
18;68.75;4.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0316;0.00899319577217102;75.0;8.0;50.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.02952;0.008834868469238281
19;68.75;3.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0327;0.008975796270370484;75.0;7.0;50.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03046;0.008817044706344604
20;68.75;3.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0329;0.008959135150909424;75.0;6.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03004;0.008801446657180786
21;68.75;3.0;50.0;31.25;21.88;50.0;65.62;68.75;25.0;31.25;0.0323;0.008934692764282227;75.0;6.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.02946;0.008786525287628175
22;68.75;3.0;50.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0334;0.008921789503097534;75.0;6.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.031;0.008770747842788697
23;68.75;3.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0328;0.00890428819656372;75.0;5.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03206;0.00875023063659668
24;68.75;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0325;0.00888418779373169;75.0;5.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03084;0.008735434970855712
25;68.75;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0332;0.00886725697517395;75.0;4.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03126;0.00871726406097412
26;68.75;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0332;0.008849205350875855;75.0;4.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03158;0.008703439264297485
27;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0351;0.008834515523910522;75.0;4.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;31.25;0.03308;0.008688304672241211
28;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0349;0.008808874893188476;75.0;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.03274;0.008671711111068726
29;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0357;0.008794420289993285;75.0;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.03312;0.008655520095825195
30;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.037;0.008775054836273194;75.0;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.0336;0.008640828924179077
31;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0366;0.008761016941070556;68.75;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.0349;0.008621054430007935
32;62.5;2.0;75.0;31.25;21.88;50.0;65.62;65.62;25.0;31.25;0.0379;0.00874598822593689;68.75;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.03502;0.008607424955368042
33;62.5;2.0;75.0;37.5;21.88;50.0;65.62;65.62;25.0;31.25;0.0377;0.008721547412872314;68.75;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.03488;0.008592297115325928
34;62.5;2.0;75.0;37.5;21.88;50.0;65.62;65.62;25.0;31.25;0.0386;0.008702730703353883;68.75;3.0;75.0;37.5;25.0;50.0;65.62;68.75;25.0;37.5;0.03566;0.008574886980056763
35;62.5;2.0;75.0;37.5;21.88;50.0;65.62;65.62;25.0;31.25;0.0402;0.008686547756195068;68.75;3.0;75.0;43.75;25.0;50.0;65.62;68.75;25.0;37.5;0.03718;0.008557943229675293
36;62.5;2.0;75.0;37.5;25.0;50.0;65.62;65.62;25.0;31.25;0.0406;0.008666910886764526;68.75;3.0;75.0;43.75;28.12;50.0;65.62;68.75;25.0;37.5;0.0375;0.008546100158691406
37;62.5;3.0;75.0;37.5;25.0;50.0;65.62;65.62;37.5;31.25;0.0415;0.008648006582260132;68.75;3.0;75.0;43.75;28.12;50.0;65.62;68.75;25.0;37.5;0.03898;0.008525819702148437
38;62.5;3.0;75.0;37.5;25.0;50.0;65.62;65.62;37.5;37.5;0.0436;0.008630004930496217;68.75;3.0;75.0;43.75;28.12;50.0;65.62;68.75;25.0;37.5;0.0402;0.008508334484100342
