;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005058450588583946;0.6239;0.007591285225003958;0.565;3.12;6.25;3.12;7.03;1.56;2.73;0.59;0.59;0.59;0.2;0.39;0.0;4.69;17.19;10.94;21.09;7.03;13.28;2.34;2.34;2.15;0.78;21.09;50.0
1;0.004389660760760307;0.7106;0.004596990302205086;0.696;4.69;9.38;5.47;10.16;2.73;4.3;0.98;0.98;0.98;0.39;1.17;0.0;9.38;25.0;14.06;26.56;8.59;15.23;2.93;2.93;2.34;1.37;12.89;0.0
2;0.003913636472821236;0.758;0.004342056296765804;0.758;6.25;12.5;7.03;12.5;3.52;5.86;1.37;1.37;1.17;0.59;1.56;0.0;14.06;28.12;16.41;29.69;8.98;16.8;3.12;3.12;2.15;1.56;7.03;0.0
3;0.0035894541114568712;0.7807;0.0035125286728143693;0.791;7.81;15.62;7.81;13.28;3.91;7.03;1.56;1.56;1.17;0.78;1.56;0.0;18.75;31.25;17.97;29.69;8.98;17.97;3.12;3.52;2.15;1.37;5.47;0.0
4;0.003343541979789734;0.7988;0.003765629343688488;0.8045;9.38;18.75;8.59;14.06;4.3;7.42;1.76;1.76;1.37;0.78;1.56;0.0;21.88;32.81;18.75;28.12;9.38;18.75;3.32;3.71;2.15;1.37;4.3;0.0
5;0.003166248568892479;0.8113;0.0030566158443689345;0.8305;10.94;20.31;10.16;14.84;4.69;8.59;1.76;1.95;1.37;0.98;1.95;0.0;25.0;32.81;19.53;26.56;9.77;19.53;3.52;4.1;2.15;1.56;3.91;0.0
6;0.0029382700577378273;0.8268;0.003128274120390415;0.8245;14.06;21.88;10.16;14.84;5.08;8.98;1.95;2.15;1.56;1.17;1.95;0.0;28.12;32.81;20.31;24.22;9.77;20.31;3.71;4.3;1.95;1.56;3.52;0.0
7;0.002837070555984974;0.8348;0.003144434817135334;0.8215;15.62;21.88;11.72;14.84;5.47;9.77;2.15;2.34;1.56;1.17;1.95;0.0;32.81;34.38;20.31;23.44;9.77;21.09;3.91;4.69;1.95;1.56;3.12;0.0
8;0.002723656864464283;0.8459;0.0028354319483041763;0.849;17.19;23.44;11.72;14.84;5.47;10.55;2.34;2.73;1.56;1.37;1.56;0.0;34.38;32.81;21.09;21.88;10.16;21.48;4.1;4.88;1.95;1.76;3.12;0.0
9;0.002576043564081192;0.8552;0.0033768041729927063;0.8175;18.75;25.0;12.5;15.62;5.86;11.33;2.54;2.73;1.56;1.37;1.56;0.0;37.5;32.81;21.88;21.88;10.55;22.27;4.3;5.08;1.76;1.76;2.73;0.0
10;0.002511484631896019;0.8553;0.0026922316178679467;0.853;20.31;25.0;13.28;15.62;6.25;11.72;2.54;2.93;1.56;1.37;1.95;0.0;39.06;32.81;21.88;21.09;10.94;22.66;4.3;5.27;1.76;1.76;2.73;0.0
11;0.0024376158848404884;0.8664;0.0026505461037158967;0.858;21.88;26.56;14.06;15.62;6.64;12.5;2.73;3.12;1.56;1.56;1.95;0.0;42.19;32.81;22.66;21.09;10.94;23.05;4.49;5.47;1.76;1.76;2.73;0.0
12;0.002280249956250191;0.8731;0.0027488219738006593;0.8495;23.44;26.56;14.84;16.41;7.03;13.28;2.93;3.32;1.56;1.56;1.56;0.0;43.75;32.81;23.44;20.31;11.33;23.44;4.49;5.66;1.56;1.76;2.34;0.0
13;0.0021765156969428064;0.8781;0.002638242080807686;0.855;25.0;28.12;15.62;16.41;7.42;13.67;3.12;3.52;1.56;1.56;1.56;0.0;46.88;32.81;23.44;20.31;11.72;23.83;4.69;5.86;1.56;1.76;2.34;0.0
14;0.0020555221170186996;0.8863;0.002628714084625244;0.8625;26.56;28.12;15.62;16.41;7.81;14.06;3.32;3.71;1.56;1.56;1.56;0.0;48.44;32.81;24.22;19.53;12.11;24.22;4.88;6.05;1.56;1.76;1.95;0.0
15;0.002113889528810978;0.8877;0.0030339143574237824;0.844;28.12;29.69;16.41;16.41;7.81;14.45;3.32;3.91;1.56;1.56;1.56;0.0;50.0;32.81;25.0;19.53;12.5;24.61;5.08;6.25;1.56;1.76;2.34;0.0
16;0.0020124890878796577;0.8896;0.0024904885515570642;0.865;28.12;29.69;17.19;17.19;8.59;15.23;3.52;4.1;1.56;1.76;1.56;0.0;51.56;32.81;25.78;19.53;12.89;24.61;5.08;6.25;1.56;1.76;1.95;0.0
17;0.0018029596921056508;0.9009;0.002713161259889603;0.862;29.69;29.69;17.97;17.19;8.59;15.62;3.71;4.3;1.56;1.76;1.56;0.0;53.12;32.81;26.56;19.53;12.89;25.0;5.27;6.45;1.56;1.76;1.95;0.0
18;0.0017431238010525703;0.9109;0.0025859327018260955;0.8655;31.25;29.69;17.97;17.19;8.98;16.02;3.71;4.49;1.56;1.76;1.56;0.0;54.69;32.81;26.56;18.75;13.28;25.0;5.27;6.64;1.56;1.95;1.95;0.0
19;0.0017828246153891087;0.9112;0.0036498014256358146;0.8045;32.81;29.69;18.75;17.19;9.38;16.41;3.91;4.49;1.37;1.76;1.56;0.0;54.69;32.81;27.34;18.75;13.67;25.0;5.47;6.64;1.37;1.95;1.95;0.0
