;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.020303002431988716;0.6181;0.02138614384829998;0.6135;3.12;7.81;6.25;11.72;3.52;7.03;2.34;3.91;4.49;0.78;0.39;0.0;4.69;20.31;17.97;31.25;16.41;29.3;18.75;36.13;49.02;47.46;63.67;50.0
1;0.017441374108195306;0.7072;0.026866355564445256;0.605;4.69;12.5;8.59;14.06;3.91;8.2;2.15;2.54;1.95;0.59;0.78;0.0;7.81;34.38;25.0;36.72;19.53;32.42;17.77;30.86;35.74;25.0;45.31;50.0
2;0.015862801465392113;0.7448;0.016906480275094508;0.7075;6.25;15.62;9.38;14.06;4.3;9.38;2.15;2.93;2.15;0.78;1.17;0.0;14.06;40.62;26.56;36.72;19.92;32.81;14.65;25.78;22.46;10.74;33.59;0.0
3;0.014580505172908306;0.7734;0.013967903964221477;0.792;7.81;18.75;10.94;14.06;5.08;10.16;2.54;3.32;2.34;0.78;1.56;0.0;20.31;43.75;28.12;33.59;19.14;31.64;12.5;22.46;16.8;6.84;24.22;0.0
4;0.013942618058621884;0.7906;0.014075260542333125;0.787;9.38;21.88;11.72;14.06;5.47;10.55;2.54;3.71;2.54;0.98;1.95;0.0;26.56;45.31;29.69;30.47;18.75;30.86;10.55;19.73;13.28;5.66;17.19;0.0
5;0.013240671458840371;0.8018;0.012702934227883815;0.8125;10.94;23.44;12.5;13.28;6.25;11.33;2.54;3.91;2.73;1.17;2.34;0.0;32.81;43.75;30.47;26.56;18.75;30.47;9.57;17.97;11.52;5.08;12.5;0.0
6;0.012601906983554362;0.821;0.011515927903354168;0.83;14.06;23.44;13.28;13.28;6.25;11.72;2.73;3.71;2.73;1.37;2.73;0.0;39.06;43.75;32.03;24.22;18.36;29.69;8.98;16.21;10.55;4.69;9.38;0.0
7;0.012098454907536506;0.8195;0.011857728876173496;0.82;15.62;25.0;14.06;12.5;6.64;11.72;2.54;3.71;2.73;1.56;2.73;0.0;43.75;43.75;32.81;21.09;18.36;28.52;8.59;14.84;9.96;4.69;7.03;0.0
8;0.011575757147371768;0.8273;0.011584819361567498;0.8415;17.19;26.56;14.84;12.5;7.03;12.11;2.73;3.91;2.93;1.76;2.73;0.0;48.44;42.19;33.59;19.53;18.36;28.12;8.2;14.26;8.79;4.49;6.25;0.0
9;0.011464376737177371;0.837;0.01168473929911852;0.83;20.31;26.56;15.62;12.5;7.03;12.89;2.73;3.91;2.73;1.95;2.73;0.0;51.56;42.19;34.38;18.75;18.36;27.34;8.01;13.67;7.81;4.49;5.08;0.0
10;0.010864653554558753;0.8423;0.011910289958119392;0.818;21.88;26.56;15.62;13.28;7.42;13.28;2.93;4.1;2.73;1.95;2.73;0.0;54.69;42.19;34.38;17.97;18.75;27.34;8.01;13.28;7.23;4.1;4.3;0.0
11;0.010483923536539078;0.8505;0.011642616348341107;0.8365;23.44;28.12;16.41;13.28;7.81;13.67;2.93;4.1;2.73;2.15;2.73;0.0;57.81;40.62;35.16;17.19;18.75;27.34;7.81;13.28;6.64;4.1;4.3;0.0
12;0.009967593610286712;0.8587;0.013325378230772912;0.8055;25.0;28.12;17.19;13.28;8.2;13.67;3.12;4.3;2.73;2.15;2.34;0.0;59.38;40.62;35.16;17.19;19.14;26.95;8.01;13.28;6.25;4.3;3.91;0.0
13;0.009702084236592055;0.8628;0.011169782446697354;0.847;26.56;28.12;17.19;13.28;8.2;14.06;3.12;4.3;2.73;2.34;2.73;0.0;60.94;39.06;35.94;17.19;19.53;26.95;7.81;13.28;5.66;4.1;3.91;0.0
14;0.009375416050851345;0.87;0.011078380338847638;0.8485;26.56;29.69;17.97;14.06;8.59;14.06;3.32;4.49;2.73;2.34;2.34;0.0;62.5;39.06;36.72;16.41;19.53;26.17;7.81;13.09;5.27;4.1;3.52;0.0
15;0.009083716744929552;0.8737;0.009784165442921221;0.87;28.12;29.69;18.75;14.06;8.98;14.06;3.32;4.69;2.73;2.34;2.73;0.0;64.06;39.06;36.72;16.41;19.53;25.39;7.81;13.09;4.88;4.1;3.12;0.0
16;0.008686766279488802;0.8809;0.009477960396558046;0.866;29.69;29.69;19.53;14.06;9.38;14.06;3.52;4.88;2.54;2.54;2.34;0.0;65.62;39.06;37.5;16.41;19.53;24.61;7.81;13.28;4.3;3.91;3.12;0.0
17;0.008433631731569767;0.883;0.01000915989279747;0.8695;31.25;31.25;19.53;14.06;9.77;14.06;3.71;5.08;2.54;2.54;2.73;0.0;67.19;37.5;37.5;16.41;19.53;24.22;8.01;13.28;3.91;4.1;3.12;0.0
18;0.008027313865721225;0.8933;0.010363095356151462;0.858;32.81;31.25;20.31;14.84;10.16;14.45;3.91;5.08;2.34;2.54;2.34;0.0;68.75;37.5;38.28;16.41;19.92;23.44;8.01;13.28;3.52;3.91;2.73;0.0
19;0.007807031324505806;0.8959;0.010141628086566925;0.867;34.38;32.81;21.09;14.84;10.55;14.45;3.91;5.27;2.34;2.54;2.73;0.0;68.75;37.5;38.28;16.41;20.31;23.05;8.2;13.28;3.12;3.91;3.12;0.0
