;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.38293754884302617;0.5084;0.37404195764660836;0.465;1.56;1.56;0.78;1.56;0.39;0.78;0.78;0.98;0.39;0.39;0.39;0.0;4.69;10.94;5.47;11.72;4.3;10.55;5.08;8.59;3.12;1.76;10.94;50.0
1;0.37582708303779366;0.5102;0.352002219453454;0.499;1.56;1.56;1.56;2.34;0.78;1.56;1.56;1.76;0.78;0.59;1.17;50.0;3.12;10.94;7.03;14.06;5.86;16.8;8.4;14.45;4.1;2.73;16.02;50.0
2;0.3700405314937234;0.5097;0.36982140365988014;0.5505;3.12;4.69;2.34;3.12;1.56;2.34;2.54;3.32;1.56;0.98;1.56;0.0;4.69;15.62;10.16;18.75;9.77;22.27;14.26;22.07;5.86;3.71;16.41;50.0
3;0.36818449036329987;0.4996;0.36994681134819984;0.452;1.56;4.69;2.34;3.91;1.95;2.34;3.32;4.49;1.95;1.37;1.95;0.0;3.12;15.62;10.94;18.75;10.16;23.05;17.19;26.37;7.03;4.1;16.02;50.0
4;0.363732750582695;0.4976;0.44240880762040613;0.467;1.56;4.69;3.12;4.69;1.95;2.73;3.91;5.66;2.34;1.37;2.34;0.0;3.12;15.62;10.94;19.53;9.77;23.44;18.55;29.49;7.23;3.91;15.23;50.0
5;0.3597189854621887;0.5124;0.3449959573745728;0.543;1.56;6.25;3.91;5.47;2.73;3.52;4.49;6.84;2.54;1.56;2.73;0.0;3.12;18.75;12.5;21.09;10.55;22.66;20.31;33.01;7.62;3.91;15.23;50.0
6;0.35758698072731493;0.5149;0.3446528085917234;0.55;1.56;6.25;3.91;5.47;3.12;3.52;4.88;7.62;2.73;1.56;3.12;0.0;3.12;17.19;10.94;17.97;9.77;17.58;20.12;33.98;8.01;3.71;15.23;50.0
7;0.35645939906835555;0.5012;0.3485234503448009;0.5345;3.12;6.25;3.91;5.47;3.12;3.52;4.88;8.01;2.93;1.56;3.12;0.0;3.12;17.19;10.94;16.41;8.98;13.67;19.34;33.98;8.01;3.71;14.84;50.0
8;0.3536318923562765;0.517;0.34453763748705385;0.544;3.12;7.81;3.91;5.47;3.12;3.52;5.08;8.4;2.93;1.56;3.12;0.0;3.12;17.19;10.94;14.84;8.2;11.33;18.36;33.2;7.81;3.52;14.06;50.0
9;0.35310112846195696;0.5085;0.34682775641977787;0.5135;3.12;9.38;5.47;5.47;3.12;3.52;4.69;8.01;2.93;1.56;3.12;0.0;4.69;17.19;11.72;15.62;7.81;10.55;17.58;32.81;7.62;3.32;13.28;50.0
10;0.35305110464692113;0.5058;0.34453833946585655;0.543;4.69;9.38;5.47;6.25;3.12;3.52;4.69;8.4;2.93;1.56;3.52;0.0;4.69;18.75;11.72;14.84;7.42;9.38;16.02;32.03;7.42;3.32;12.5;50.0
11;0.35178320761620996;0.5099;0.34412511917948724;0.561;4.69;9.38;4.69;5.47;3.12;3.52;4.69;8.4;2.93;1.56;3.52;0.0;4.69;18.75;10.94;14.06;7.03;8.59;15.04;31.64;7.23;3.32;11.72;50.0
12;0.3507082062214613;0.5101;0.34510810163617134;0.4955;3.12;9.38;4.69;5.47;3.12;3.52;4.49;8.2;2.93;1.56;3.52;0.0;4.69;18.75;10.16;13.28;6.64;7.81;14.06;31.25;7.03;3.12;11.33;50.0
13;0.35033552165031434;0.5051;0.3462369564175606;0.49;3.12;9.38;3.91;4.69;3.12;3.52;4.3;8.2;2.93;1.56;3.52;0.0;4.69;18.75;9.38;12.5;6.25;7.42;13.28;30.47;6.64;2.93;10.94;50.0
14;0.3500021942704916;0.5111;0.34559910076856615;0.5005;3.12;9.38;3.91;4.69;3.12;3.52;4.3;8.2;2.93;1.37;3.12;0.0;4.69;18.75;9.38;11.72;5.86;7.03;12.7;30.08;6.45;2.73;10.55;50.0
15;0.34878679722249506;0.5102;0.345755969196558;0.5005;3.12;9.38;4.69;4.69;3.12;3.52;4.3;8.4;2.93;1.37;3.12;0.0;4.69;18.75;9.38;10.94;5.86;6.64;12.11;29.69;6.45;2.73;10.16;50.0
16;0.3484138938188553;0.5137;0.34893699035048487;0.508;3.12;9.38;4.69;4.69;3.12;3.52;4.3;8.59;2.93;1.37;3.52;0.0;4.69;18.75;8.59;10.94;5.86;6.25;11.52;29.1;6.25;2.54;9.77;50.0
17;0.34902862770855425;0.5062;0.34325423575937747;0.553;3.12;9.38;3.91;4.69;3.12;3.52;4.3;8.59;2.93;1.37;3.52;0.0;4.69;17.19;8.59;10.16;5.86;6.25;11.13;28.71;6.05;2.54;9.77;50.0
18;0.3470500167161226;0.526;0.3438951326906681;0.544;3.12;9.38;3.91;4.69;3.12;3.52;4.1;8.59;2.93;1.37;3.52;0.0;4.69;17.19;8.59;10.16;5.47;5.86;10.74;28.12;5.86;2.54;9.38;50.0
19;0.34775603662133214;0.5113;0.34927906277775767;0.465;3.12;9.38;3.91;4.69;3.12;3.52;3.91;8.4;2.73;1.37;3.12;0.0;4.69;17.19;8.59;10.16;5.47;5.47;10.16;27.54;5.86;2.54;8.98;50.0
