;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;33.98;50.0;3.12;7.03;3.91;10.16;7.81;25.2;40.43;4.69;42.38;3.91;0.6525;0.07816565392911434;74.22;50.0;9.38;23.44;16.8;29.3;21.68;44.73;60.55;17.19;64.84;14.84;0.5719;0.08520912089645863
1;33.59;50.0;4.69;10.16;5.86;14.45;9.77;29.49;46.29;7.81;47.07;6.25;0.702;0.07373770977556705;70.31;50.0;12.5;25.78;18.75;31.64;22.27;45.12;60.55;21.88;63.28;17.19;0.6294;0.08058109863400459
2;31.64;50.0;6.25;13.28;7.03;16.8;10.94;31.45;48.24;10.94;48.05;8.59;0.722;0.06828924257308244;68.36;50.0;15.62;27.34;19.92;33.2;22.66;45.7;60.35;26.56;61.91;18.75;0.6699;0.07617802436500788
3;28.52;0.0;7.81;15.62;8.2;19.14;11.52;32.42;49.02;14.06;47.85;10.16;0.7425;0.06408699521794915;66.02;50.0;21.88;28.91;20.31;33.98;22.85;45.51;59.96;29.69;60.55;19.53;0.7087;0.07084841138273477
4;26.56;0.0;9.38;17.19;9.38;20.7;11.91;33.01;49.02;15.62;47.27;11.72;0.753;0.061811570048332216;63.67;50.0;25.0;29.69;20.7;34.38;22.85;45.51;59.57;32.81;59.38;20.31;0.7289;0.06790624731332064
5;25.0;0.0;10.94;18.75;9.77;21.88;12.5;33.79;49.41;18.75;47.07;13.28;0.777;0.05676541354507208;61.72;50.0;28.12;29.69;21.09;34.77;22.85;45.31;58.98;35.94;58.2;21.09;0.7349;0.06592949630022049
6;25.0;0.0;12.5;20.31;10.55;23.05;12.7;34.18;49.8;20.31;47.07;14.06;0.783;0.05812593089044094;60.55;50.0;32.81;30.47;21.09;35.16;22.85;45.31;58.59;35.94;57.23;21.88;0.7496;0.06333585074543953
7;24.22;0.0;14.06;21.88;10.94;23.83;12.89;34.57;49.8;23.44;46.68;14.84;0.782;0.05780929683148861;58.98;0.0;35.94;30.47;21.09;35.16;22.66;45.31;58.2;37.5;56.45;22.66;0.7594;0.061918189224600795
8;24.22;0.0;15.62;22.66;11.33;24.61;12.89;34.96;50.0;25.0;46.68;15.62;0.8005;0.05999750582873821;57.81;0.0;37.5;30.47;21.09;35.55;22.46;45.12;57.81;39.06;55.86;23.44;0.7667;0.06051781242340803
9;23.44;0.0;15.62;23.44;11.72;25.39;13.09;35.16;49.8;26.56;46.48;16.41;0.7945;0.05393888660147786;57.42;0.0;40.62;30.47;21.09;35.55;22.46;45.12;57.42;39.06;55.27;23.44;0.7825;0.05837206812798977
10;22.66;0.0;17.19;24.22;12.11;25.78;13.09;35.16;49.61;26.56;46.09;17.19;0.809;0.05108738670870662;56.25;0.0;42.19;31.25;21.09;35.55;22.27;45.12;57.03;39.06;54.69;24.22;0.7843;0.05771130785346031
11;22.27;0.0;18.75;24.22;12.5;26.17;13.28;35.35;49.22;28.12;45.9;17.97;0.812;0.05114025753736496;55.47;0.0;43.75;31.25;21.09;35.55;22.07;44.92;56.64;39.06;54.1;24.22;0.7936;0.05601012811139226
12;21.88;0.0;20.31;25.0;12.5;26.95;13.28;35.55;49.22;28.12;45.7;18.75;0.806;0.05251358926296234;54.69;0.0;45.31;31.25;21.09;35.94;22.07;44.92;56.45;39.06;53.71;24.22;0.7974;0.05493875532001257
13;21.88;0.0;21.88;25.0;12.89;27.34;13.48;35.55;49.22;29.69;45.7;18.75;0.807;0.05131681589409709;54.3;0.0;46.88;31.25;21.09;35.94;21.88;44.73;56.05;39.06;53.32;25.0;0.8061;0.05350569616481662
14;21.88;0.0;23.44;25.78;13.28;28.12;13.67;35.74;49.22;31.25;45.7;19.53;0.8165;0.051048796966671944;53.91;0.0;50.0;31.25;21.09;35.94;22.07;44.73;55.86;40.62;52.93;25.0;0.801;0.05337820795997977
15;22.27;0.0;25.0;26.56;13.67;28.52;13.87;35.94;49.02;32.81;45.51;20.31;0.8275;0.04850036488845944;53.52;0.0;50.0;31.25;21.09;36.33;22.07;44.53;55.47;40.62;52.73;25.78;0.8137;0.05221182775273919
16;22.27;0.0;25.0;26.56;14.06;28.91;14.06;35.94;49.02;32.81;45.51;21.09;0.8395;0.04849974526464939;53.12;0.0;51.56;31.25;21.48;36.33;22.07;44.53;55.27;40.62;52.34;25.78;0.8134;0.05143687017634511
17;22.66;0.0;26.56;26.56;14.45;29.3;14.06;35.94;48.83;32.81;45.51;21.09;0.8305;0.047351802039891484;52.73;0.0;53.12;31.25;21.48;36.33;22.07;44.34;54.88;39.06;52.15;26.56;0.8217;0.049895910431444646
18;22.66;0.0;28.12;27.34;14.45;29.69;14.26;35.94;48.63;34.38;45.31;21.88;0.827;0.04744266189262271;52.73;0.0;54.69;31.25;21.48;36.72;22.07;44.34;54.69;39.06;51.95;26.56;0.8256;0.04945315285846591
19;23.05;0.0;29.69;27.34;14.84;30.08;14.45;36.13;48.44;34.38;45.31;21.88;0.8445;0.04444151955842972;52.73;0.0;56.25;31.25;21.88;36.72;22.07;44.34;54.3;39.06;51.76;26.56;0.8274;0.0488681739911437
