;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.044308459912538525;0.4744;0.032757335430383686;0.6136;4.69;4.69;3.91;3.12;1.95;2.73;1.17;1.17;0.78;0.59;1.17;50.0;53.12;37.5;17.97;13.28;10.16;14.06;7.42;9.18;3.91;2.73;12.89;60.0
1;0.030831793326735496;0.65068;0.0262808523863554;0.7097;7.81;7.81;5.47;5.47;3.12;4.3;2.34;2.54;1.17;0.78;2.73;60.0;64.06;31.25;21.09;13.28;12.5;12.5;9.96;11.52;3.12;2.93;12.89;60.0
2;0.025410267280340196;0.71906;0.020675333316624165;0.7727;10.94;9.38;6.25;6.25;4.3;5.47;3.52;3.52;1.37;1.17;3.52;60.0;67.19;28.12;23.44;14.06;14.06;12.5;12.3;13.48;2.73;2.93;13.67;60.0
3;0.02143662874221802;0.76802;0.02029620031416416;0.7799;12.5;10.94;7.81;7.03;5.08;6.25;4.1;4.49;1.56;1.37;4.69;60.0;67.19;26.56;25.0;14.84;15.62;12.5;14.26;15.04;2.73;2.93;14.06;60.0
4;0.01902383564591408;0.79548;0.01640159219801426;0.8207;14.06;10.94;8.59;7.81;5.86;7.03;4.88;5.27;1.76;1.56;5.86;70.0;67.19;25.0;26.56;15.62;17.19;12.89;15.43;16.02;2.54;2.93;14.45;70.0
5;0.017014389619976283;0.8186;0.01602017308175564;0.8275;15.62;12.5;9.38;8.59;6.64;7.42;5.47;6.05;1.95;1.76;7.03;70.0;67.19;23.44;27.34;15.62;18.36;13.28;16.41;16.99;2.54;3.12;14.84;70.0
6;0.015285297081023455;0.83694;0.014096052023768424;0.8506;17.19;12.5;10.16;9.38;7.42;8.2;6.05;6.84;2.15;1.95;8.2;70.0;67.19;23.44;28.12;16.41;19.53;13.28;17.19;17.58;2.54;3.32;15.62;70.0
7;0.013784941478669644;0.851;0.013452191370725631;0.8526;18.75;12.5;10.94;10.16;7.81;8.59;6.64;7.42;2.15;2.15;8.98;70.0;67.19;23.44;28.91;16.41;20.31;13.67;17.77;17.97;2.54;3.32;16.02;70.0
8;0.012612412995547056;0.86728;0.013272370771318674;0.8513;20.31;14.06;11.72;10.94;8.59;8.98;7.03;8.01;2.15;2.15;9.77;70.0;67.19;21.88;30.47;16.41;21.09;13.67;18.55;18.36;2.54;3.32;16.41;70.0
9;0.011526836761683226;0.8761;0.011398658299446106;0.8764;21.88;14.06;12.5;11.72;8.98;9.77;7.62;8.4;2.34;2.34;10.55;70.0;65.62;20.31;31.25;16.41;21.88;14.06;19.14;18.55;2.54;3.32;17.19;70.0
