;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;12.5;50.0;3.12;12.5;6.25;17.58;12.7;25.2;41.6;6.25;36.52;7.03;0.5047;0.002900944685935974;66.02;60.0;3.12;19.53;12.89;28.91;23.24;41.8;60.94;9.38;63.09;10.16;0.35266;0.00374023886680603
1;7.81;60.0;3.12;16.41;8.2;20.7;13.09;23.44;35.16;9.38;27.73;9.38;0.6115;0.002228868758678436;57.03;60.0;4.69;25.0;16.41;33.2;24.22;40.43;55.08;14.06;55.86;14.06;0.56692;0.0024896521639823912
2;7.42;70.0;4.69;17.97;9.77;23.05;14.84;23.44;30.86;12.5;20.51;10.94;0.6684;0.0019325845837593078;51.95;70.0;4.69;26.56;18.75;36.72;26.37;40.23;49.61;17.19;47.85;16.41;0.65944;0.0019206158709526061
3;8.2;70.0;4.69;18.75;10.55;24.22;16.21;24.02;28.12;15.62;16.02;12.5;0.6942;0.0018150888264179229;48.05;70.0;4.69;26.56;20.7;38.67;28.12;40.43;44.73;20.31;40.62;18.75;0.72058;0.0015861546182632446
4;8.59;70.0;4.69;18.75;11.72;25.39;17.19;24.02;23.24;17.19;11.91;13.28;0.7257;0.00165341756939888;44.92;70.0;6.25;25.78;22.27;39.45;29.88;41.21;40.62;21.88;34.57;20.31;0.7575;0.0013707574594020843
5;8.98;70.0;4.69;18.75;12.5;25.78;17.97;23.83;19.53;18.75;9.57;14.06;0.7101;0.0017906737744808198;41.8;70.0;6.25;25.0;23.83;40.23;31.25;41.8;37.11;23.44;29.88;21.09;0.78732;0.0012138585126399994
6;9.77;70.0;4.69;18.75;13.28;25.78;18.95;24.61;17.97;20.31;8.79;14.84;0.7302;0.0016036638140678407;39.45;70.0;7.81;24.22;25.0;40.23;32.42;42.38;33.79;25.0;25.59;21.88;0.80286;0.0011198983162641525
7;10.16;70.0;6.25;18.75;13.67;26.17;19.73;25.0;16.21;21.88;8.4;14.84;0.7728;0.0013689933598041535;37.11;80.0;7.81;23.44;25.78;40.23;33.4;42.97;31.05;25.0;22.66;22.66;0.82144;0.0010197117161750793
8;10.55;70.0;6.25;18.75;14.06;26.17;20.7;25.59;15.23;23.44;7.81;15.62;0.7498;0.0015403215408325195;35.16;80.0;9.38;23.44;26.56;39.84;34.18;43.55;28.71;26.56;20.31;23.44;0.8353;0.00094603260576725
9;10.94;70.0;7.81;18.75;14.45;26.17;20.9;25.98;13.67;23.44;7.62;16.41;0.7334;0.0015976251721382141;32.81;80.0;9.38;23.44;26.95;39.45;34.96;43.95;26.56;26.56;18.55;24.22;0.84706;0.0008879327321052551
10;11.33;80.0;7.81;18.75;15.23;26.17;21.29;26.56;13.09;25.0;7.62;17.19;0.7749;0.001385654854774475;30.86;80.0;10.94;22.66;27.73;39.06;35.55;44.53;24.61;26.56;16.99;25.0;0.85864;0.0008184578996896744
11;11.72;80.0;9.38;19.53;15.23;26.17;21.48;27.54;12.5;25.0;7.62;17.19;0.8184;0.0010757905185222625;29.3;80.0;10.94;22.66;28.52;39.06;36.13;45.12;23.05;26.56;15.82;25.78;0.86262;0.0007738550144433975
12;11.72;80.0;9.38;19.53;15.62;26.56;21.48;27.93;11.72;26.56;7.62;17.97;0.8142;0.001128573662042618;27.73;80.0;10.94;22.66;28.91;38.67;36.33;45.7;21.68;28.12;14.84;25.78;0.87568;0.0007123183393478393
13;12.11;80.0;9.38;19.53;15.62;26.56;21.88;28.52;11.52;26.56;7.62;18.75;0.8405;0.0009437089473009109;26.56;80.0;12.5;21.88;29.3;38.28;36.72;46.09;20.51;28.12;14.26;26.56;0.88182;0.0006708319306373596
14;12.5;80.0;10.94;19.53;16.02;26.56;22.27;29.3;11.13;28.12;7.62;19.53;0.8451;0.0009723817646503448;25.39;80.0;12.5;21.88;29.69;38.28;36.91;46.68;19.53;28.12;13.67;27.34;0.88854;0.0006408931738138199
15;12.5;80.0;10.94;19.53;16.41;26.56;22.66;30.08;10.94;28.12;7.62;19.53;0.8552;0.0008415131479501724;24.61;80.0;12.5;21.88;30.08;37.89;37.3;47.27;18.75;28.12;13.09;28.12;0.89356;0.0006067283287644386
