;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;59.38;7.0;3.12;10.94;7.42;17.19;18.16;36.52;59.96;7.81;66.41;6.25;0.08;0.03335402731895447;78.12;66.0;4.69;18.75;12.89;26.56;24.41;44.34;66.8;10.94;73.44;11.72;0.04474;0.034744815225601196
1;57.42;8.0;3.12;14.06;9.38;19.92;19.34;37.7;61.13;9.38;66.8;8.59;0.1173;0.030972225594520567;74.61;43.0;4.69;21.09;14.06;27.73;24.8;44.14;66.21;14.06;72.07;13.28;0.09272;0.0320060100364685
2;55.86;9.0;4.69;17.19;10.55;22.27;19.92;38.28;61.33;12.5;66.8;10.94;0.1452;0.029375220704078674;72.66;29.0;6.25;23.44;15.23;28.91;25.2;44.14;65.82;15.62;71.29;14.84;0.11694;0.030192449049949645
3;54.69;10.0;4.69;19.53;12.11;23.83;20.51;38.67;61.13;14.06;66.6;12.5;0.1683;0.028145486164093018;71.09;21.0;6.25;25.0;16.41;30.08;25.59;44.14;65.43;17.19;70.7;16.41;0.13962;0.02889054780483246
4;54.3;10.0;4.69;21.09;12.89;25.0;20.7;38.87;61.13;15.62;66.6;14.06;0.1975;0.026947982382774353;69.92;17.0;7.81;25.78;17.19;31.25;25.78;44.14;65.04;18.75;70.31;17.19;0.16372;0.0278141202545166
5;53.91;11.0;4.69;22.66;13.67;25.78;20.9;39.06;60.74;17.19;66.41;15.62;0.2166;0.02602765064239502;69.14;16.0;9.38;27.34;17.97;31.64;26.17;44.14;64.65;20.31;69.92;17.97;0.18454;0.026823476390838624
6;53.52;12.0;6.25;23.44;14.45;26.95;21.09;39.26;60.55;18.75;66.41;16.41;0.2353;0.02508905143737793;68.75;16.0;9.38;28.12;18.75;32.42;26.37;44.14;64.26;21.88;69.73;18.75;0.20606;0.025866170449256896
7;53.52;13.0;6.25;25.0;15.23;27.34;21.09;39.45;60.35;18.75;66.21;17.19;0.2584;0.02417661635875702;68.75;17.0;10.94;28.91;19.14;32.81;26.56;44.34;64.06;21.88;69.53;19.53;0.227;0.024971592416763305
8;53.52;14.0;7.81;25.78;15.62;28.12;21.29;39.26;59.96;20.31;66.21;17.19;0.2781;0.023289955639839172;68.36;17.0;12.5;28.91;19.53;33.59;26.76;44.34;63.67;23.44;69.34;19.53;0.24408;0.024178753852844237
9;53.52;15.0;7.81;26.56;16.02;28.52;21.48;39.45;59.77;20.31;66.21;17.97;0.2851;0.022814986419677736;68.36;18.0;12.5;29.69;19.92;33.98;26.95;44.34;63.48;23.44;69.14;20.31;0.26136;0.023343539385795593
