;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.12116270632743835;0.09842;0.1078537547826767;0.1541;3.12;6.25;4.69;5.47;2.73;3.52;1.56;1.95;1.95;1.37;2.73;8.0;28.12;46.88;32.81;38.28;23.05;32.81;18.55;22.46;18.95;11.72;35.94;42.0
1;0.10021777832984924;0.19276;0.08670751957893372;0.2739;7.81;10.94;7.81;7.81;4.3;6.25;2.73;3.52;2.34;1.76;5.08;16.0;54.69;46.88;33.59;25.0;19.14;23.83;15.23;19.92;9.96;8.79;32.42;50.0
2;0.08755146263360977;0.26846;0.07788961150646209;0.3277;10.94;12.5;9.38;10.16;5.47;7.81;4.1;5.47;2.54;1.95;7.42;23.0;64.06;42.19;35.94;21.88;18.36;20.7;16.6;22.27;7.03;7.62;32.03;53.0
3;0.07789216907024384;0.333;0.07179661281108857;0.3821;14.06;14.06;10.94;10.94;6.25;9.38;5.27;7.42;2.54;2.34;9.38;28.0;68.75;37.5;37.5;21.09;18.36;19.14;18.16;24.61;5.47;7.42;32.03;54.0
4;0.07152531007051467;0.3796;0.06519055811166763;0.4259;15.62;14.06;11.72;11.72;6.64;10.16;6.25;9.18;2.54;2.34;10.94;31.0;68.75;34.38;39.06;21.88;18.75;18.75;19.53;26.17;4.49;7.03;32.03;54.0
5;0.06636671758651734;0.41916;0.05987304872274399;0.464;17.19;15.62;12.5;12.5;7.42;10.94;7.42;10.74;2.73;2.54;12.5;33.0;68.75;31.25;39.84;21.09;19.53;18.75;20.7;27.73;3.91;7.03;31.64;53.0
6;0.06168027119159698;0.45486;0.05787353553771973;0.482;18.75;15.62;13.28;12.5;7.81;11.72;8.2;12.3;2.73;2.73;13.67;34.0;67.19;29.69;40.62;21.88;19.92;18.75;21.88;29.1;3.71;7.03;31.25;53.0
7;0.05786266457438469;0.48462;0.053455810594558714;0.5211;20.31;15.62;14.06;13.28;8.59;12.5;9.18;13.87;2.93;2.73;15.23;36.0;65.62;28.12;41.41;21.88;20.31;18.75;23.05;30.27;3.52;7.03;31.25;53.0
8;0.05477138104200363;0.5092;0.05501077522039413;0.5073;20.31;15.62;14.84;14.06;8.98;12.89;10.16;15.04;2.93;2.93;16.41;36.0;64.06;26.56;41.41;21.88;21.09;19.14;24.02;31.25;3.32;7.03;30.86;53.0
9;0.051657826104164126;0.53602;0.0510146335363388;0.5434;21.88;15.62;15.62;14.06;9.38;13.28;10.94;16.6;2.93;3.12;17.58;37.0;62.5;25.0;42.19;21.88;21.88;19.14;25.2;32.42;3.12;7.03;30.86;53.0
10;0.04857483076214791;0.56026;0.049021994906663896;0.5583;21.88;15.62;16.41;14.84;10.16;14.06;11.72;17.97;2.93;3.32;18.36;38.0;60.94;23.44;42.19;21.88;22.27;19.14;26.17;33.4;3.12;7.23;30.86;53.0
11;0.04616295522451401;0.5796;0.04817327517271042;0.5695;23.44;15.62;17.19;15.62;10.55;14.45;12.5;19.14;2.93;3.52;19.14;38.0;59.38;21.88;42.97;21.88;22.66;19.53;27.15;34.38;3.12;7.42;31.25;53.0
