;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.513692014131546;0.06648;0.45864746792316435;0.1238;3.12;6.25;4.69;5.47;2.34;3.52;1.95;2.54;3.32;1.37;1.95;9.0;21.88;32.81;25.0;34.38;17.97;30.47;16.41;23.44;27.73;16.8;29.3;74.0
1;0.46281538631439206;0.12062;0.4063052007317543;0.1967;4.69;10.94;7.81;8.59;4.3;6.25;3.12;4.3;4.69;2.34;4.69;17.0;32.81;35.94;26.56;30.47;19.14;28.91;18.95;25.59;22.27;14.65;33.98;70.0
2;0.4226186679124832;0.17224;0.3617822298526764;0.2567;6.25;14.06;10.16;10.94;5.86;8.2;4.3;6.05;5.47;3.52;7.81;23.0;39.06;37.5;28.12;27.34;19.92;27.34;20.31;27.15;19.53;14.45;37.5;68.0
3;0.38498515674591066;0.22588;0.3227108053386211;0.3165;7.81;15.62;10.94;11.72;7.03;9.77;5.47;7.81;5.86;4.3;10.55;28.0;42.19;35.94;30.47;25.0;21.09;25.39;21.68;29.3;17.19;14.45;40.23;66.0
4;0.3553159390830994;0.27314;0.2927419751286507;0.3699;9.38;15.62;12.5;13.28;7.42;10.94;6.45;9.57;6.25;5.27;13.28;32.0;43.75;35.94;32.81;24.22;21.88;23.83;22.66;30.86;15.43;14.45;42.19;64.0
5;0.3100561395418644;0.34736;0.25643238257169726;0.4392;10.94;15.62;13.28;13.28;7.81;10.55;6.45;9.96;5.86;5.27;13.28;31.0;40.62;31.25;29.69;21.88;19.14;20.31;20.31;28.52;12.89;12.5;38.67;60.0
6;0.2983050760829449;0.36814;0.24820992482304574;0.4539;10.94;14.06;12.5;12.5;7.81;10.55;6.64;10.16;5.66;5.08;12.5;30.0;37.5;26.56;26.56;19.53;17.58;17.97;18.36;26.56;11.13;10.74;35.55;55.0
7;0.2909387227940559;0.37918;0.24653726485967636;0.4572;10.94;14.06;12.5;12.5;7.81;10.16;6.64;10.35;5.47;4.88;12.5;29.0;34.38;23.44;24.22;17.97;16.02;16.02;16.99;25.0;9.96;9.77;33.2;51.0
8;0.28431139045357706;0.39122;0.23807998679280282;0.4774;10.94;14.06;13.28;12.5;7.81;10.16;6.64;10.55;5.47;4.88;12.11;28.0;31.25;21.88;22.66;16.41;15.23;14.84;16.02;24.02;9.18;8.98;31.25;48.0
9;0.27869718169093133;0.40152;0.23495290347337722;0.4806;10.94;14.06;13.28;12.5;7.81;10.16;6.84;10.74;5.27;4.69;12.11;28.0;29.69;20.31;21.88;15.62;14.45;14.06;15.43;23.24;8.59;8.4;30.08;45.0
10;0.26943459535360337;0.41916;0.23218469098806382;0.4902;10.94;14.06;12.5;12.5;7.81;9.77;6.64;10.74;5.27;4.69;11.72;27.0;28.12;18.75;20.31;14.84;13.67;13.28;14.65;22.46;8.2;7.81;28.91;43.0
11;0.2682367418670654;0.42454;0.2330870417058468;0.4866;10.94;14.06;12.5;11.72;7.81;9.77;6.64;10.74;5.08;4.49;11.33;26.0;26.56;17.19;19.53;14.06;12.89;12.5;14.06;21.48;7.62;7.42;27.73;41.0
12;0.267835455943346;0.42234;0.23198863310217857;0.4881;9.38;12.5;12.5;11.72;7.81;9.38;6.45;10.74;5.08;4.49;11.33;25.0;23.44;15.62;17.97;13.28;12.5;12.11;13.28;20.9;7.42;7.03;26.56;40.0
13;0.26563653832197187;0.42698;0.22762608159780504;0.4964;9.38;12.5;11.72;11.72;7.42;9.38;6.45;10.55;4.88;4.3;10.94;25.0;21.88;15.62;17.19;13.28;11.72;11.33;12.89;20.12;7.03;6.64;25.39;38.0
14;0.2654477646946907;0.42808;0.2299135863304138;0.4915;9.38;12.5;11.72;10.94;7.42;8.98;6.45;10.55;4.88;4.3;10.55;24.0;20.31;14.06;16.41;12.5;11.33;10.94;12.3;19.53;6.84;6.45;24.61;37.0
15;0.2633073833453655;0.43148;0.22887340196371078;0.4937;9.38;12.5;11.72;10.94;7.42;8.98;6.25;10.35;4.88;4.3;10.55;24.0;20.31;14.06;15.62;12.5;10.94;10.55;11.91;18.95;6.64;6.05;23.83;36.0
16;0.2637973532986641;0.42914;0.22894945850372314;0.494;9.38;10.94;11.72;10.94;7.03;8.59;6.25;10.35;4.69;4.1;10.16;23.0;18.75;12.5;14.84;11.72;10.55;10.16;11.52;18.36;6.45;5.86;23.05;35.0
17;0.26267892653226854;0.4317;0.2266003872334957;0.5003;9.38;10.94;11.72;10.94;7.03;8.59;6.25;10.35;4.69;4.1;10.16;23.0;17.19;12.5;14.84;11.72;10.16;9.77;11.13;17.97;6.25;5.66;22.27;34.0
18;0.2627179898822308;0.43278;0.22488205738067626;0.5016;7.81;10.94;10.94;10.16;7.03;8.59;6.05;10.16;4.69;4.1;9.77;22.0;17.19;12.5;14.06;10.94;9.77;9.77;10.94;17.58;6.05;5.47;21.48;34.0
19;0.26339239752888677;0.42968;0.22692533947825433;0.4978;7.81;10.94;10.94;10.16;7.03;8.2;6.05;10.16;4.69;4.1;9.38;22.0;15.62;12.5;13.28;10.94;9.77;9.38;10.55;17.19;5.86;5.27;21.09;33.0
20;0.2623068182969093;0.43312;0.22776034323573113;0.4981;7.81;10.94;10.94;10.16;7.03;8.2;6.05;9.96;4.49;3.91;9.38;22.0;15.62;10.94;13.28;10.94;9.38;8.98;10.35;16.8;5.66;5.08;20.31;33.0
21;0.2631748241829872;0.43022;0.22581551505923272;0.5012;7.81;10.94;10.94;10.16;7.03;8.2;5.86;9.96;4.49;3.91;8.98;21.0;14.06;10.94;12.5;10.16;8.98;8.98;9.96;16.41;5.66;4.88;19.92;32.0
22;0.26319877383112905;0.4335;0.22704688302874565;0.4999;7.81;9.38;10.94;10.16;6.64;8.2;5.86;9.96;4.49;3.91;8.98;21.0;14.06;10.94;12.5;10.16;8.98;8.59;9.77;16.02;5.47;4.88;19.14;32.0
23;0.2625640043306351;0.43318;0.2267125527083874;0.5007;7.81;9.38;10.16;9.38;6.64;7.81;5.86;9.77;4.49;3.91;8.59;21.0;14.06;10.94;12.5;10.16;8.59;8.59;9.57;15.82;5.47;4.69;18.75;31.0
24;0.26384266852378846;0.43032;0.22887567924261093;0.4973;7.81;9.38;10.16;9.38;6.64;7.81;5.86;9.77;4.49;3.71;8.59;21.0;14.06;10.94;11.72;9.38;8.59;8.2;9.38;15.43;5.27;4.69;18.36;31.0
25;0.2626865331590176;0.43248;0.22666727744340898;0.4969;6.25;9.38;10.16;9.38;6.64;7.81;5.66;9.57;4.3;3.71;8.59;21.0;12.5;10.94;11.72;9.38;8.2;8.2;9.18;15.23;5.27;4.49;17.97;30.0
