;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.02142582982182503;0.5754;0.019689609825611114;0.6535;3.12;6.25;4.69;9.38;5.47;10.16;8.2;22.27;39.84;35.94;3.91;0.0;12.5;25.0;17.19;29.69;20.31;28.91;22.66;39.45;58.2;58.98;44.53;50.0
1;0.019352658128738404;0.6643;0.01686214131116867;0.7185;9.38;12.5;9.38;17.19;9.38;16.41;11.72;28.12;46.88;39.06;4.69;0.0;18.75;37.5;23.44;37.5;25.0;33.59;25.0;41.8;58.59;56.25;39.06;0.0
2;0.01711030091047287;0.7258;0.01594048497080803;0.7355;12.5;18.75;10.94;23.44;10.94;18.75;12.5;28.52;44.53;36.72;4.69;0.0;31.25;46.88;28.12;42.19;27.34;35.94;25.78;42.58;57.81;53.52;35.16;0.0
3;0.01583591600358486;0.7478;0.014325466051697731;0.7795;15.62;25.0;14.06;26.56;13.28;21.09;13.67;30.08;45.31;37.11;5.47;0.0;37.5;53.12;29.69;42.19;28.91;36.72;25.78;42.58;56.25;51.56;32.03;0.0
4;0.014918056030571461;0.7678;0.014112028270959854;0.7735;18.75;28.12;15.62;28.12;14.06;23.44;14.06;30.47;44.92;36.72;6.25;0.0;46.88;53.12;31.25;43.75;29.69;37.5;25.78;42.58;55.08;50.0;29.69;0.0
5;0.013196455469727517;0.8029;0.012703171469271184;0.804;18.75;28.12;15.62;28.12;14.06;23.44;13.67;30.08;43.75;35.55;5.47;0.0;46.88;50.0;29.69;42.19;28.12;36.72;25.0;41.8;53.91;48.05;27.34;0.0
6;0.012715115444362164;0.8145;0.01231098648905754;0.816;18.75;28.12;15.62;28.12;14.06;22.66;13.28;29.69;42.58;34.77;5.47;0.0;43.75;46.88;26.56;39.06;26.56;35.16;23.83;40.62;52.73;46.48;25.0;0.0
7;0.012460076120495796;0.8166;0.012103075608611107;0.8195;18.75;28.12;15.62;26.56;13.28;22.66;13.28;29.3;42.19;33.98;5.47;0.0;43.75;43.75;25.0;37.5;25.78;34.38;23.05;39.84;51.56;45.31;23.44;0.0
8;0.012160379347205163;0.8179;0.01202535855025053;0.824;18.75;28.12;15.62;26.56;13.28;22.66;13.28;29.3;42.19;33.59;4.69;0.0;43.75;43.75;23.44;35.94;24.22;33.59;22.27;39.45;51.17;44.53;22.66;0.0
9;0.012110743549466133;0.8249;0.012115347169339657;0.827;18.75;31.25;15.62;26.56;13.28;21.88;12.89;29.3;41.8;33.59;4.69;0.0;43.75;40.62;23.44;35.94;23.44;32.81;21.48;39.06;50.39;43.75;21.88;0.0
10;0.011700061006844044;0.8264;0.011816887088119983;0.8285;18.75;28.12;15.62;25.0;13.28;21.88;12.89;29.3;41.8;33.2;4.69;0.0;43.75;40.62;21.88;34.38;22.66;32.03;21.09;38.28;50.0;42.97;21.09;0.0
11;0.011553591047227382;0.8315;0.011855271831154823;0.8195;18.75;28.12;15.62;25.0;13.28;21.88;12.89;28.91;41.41;32.81;4.69;0.0;40.62;37.5;21.88;32.81;21.88;31.25;20.7;37.89;49.61;42.58;20.31;0.0
12;0.011578690730035306;0.8327;0.011794013768434525;0.8295;18.75;28.12;15.62;25.0;12.5;21.09;12.5;28.91;41.41;32.81;4.69;0.0;40.62;37.5;20.31;31.25;21.09;30.47;19.92;37.5;49.22;41.8;19.53;0.0
13;0.01176401127576828;0.8247;0.011812871418893338;0.83;18.75;28.12;15.62;25.0;12.5;21.09;12.5;28.52;41.02;32.42;3.91;0.0;40.62;37.5;20.31;31.25;20.31;29.69;19.53;37.11;48.83;41.41;19.53;0.0
14;0.011771269242465496;0.8291;0.01173932333290577;0.826;18.75;28.12;14.06;23.44;12.5;21.09;12.11;28.52;40.62;32.03;3.91;0.0;37.5;34.38;18.75;29.69;20.31;28.91;19.14;36.72;48.83;41.02;18.75;0.0
15;0.011389543616771698;0.834;0.01173606936633587;0.825;18.75;28.12;14.06;23.44;12.5;20.31;12.11;28.52;40.62;32.03;3.91;0.0;37.5;34.38;18.75;29.69;19.53;28.91;18.75;36.72;48.44;40.62;18.75;0.0
16;0.011512138918042182;0.8308;0.0117215474024415;0.827;18.75;28.12;14.06;23.44;11.72;20.31;12.11;28.12;40.23;31.64;3.91;0.0;37.5;34.38;17.19;28.12;18.75;28.12;18.75;36.33;48.05;40.23;17.97;0.0
17;0.011524122041463853;0.8306;0.011743991136550903;0.8265;18.75;28.12;14.06;23.44;11.72;20.31;11.72;28.12;40.23;31.64;3.91;0.0;37.5;31.25;17.19;28.12;18.75;27.34;18.36;35.94;48.05;39.84;17.97;0.0
18;0.011584333463013172;0.8307;0.01174577408283949;0.822;18.75;28.12;14.06;23.44;11.72;20.31;11.72;28.12;40.23;31.25;3.91;0.0;34.38;31.25;17.19;28.12;17.97;27.34;17.97;35.94;47.66;39.84;17.19;0.0
19;0.011568679814040661;0.8296;0.011712515659630298;0.824;18.75;28.12;14.06;21.88;11.72;19.53;11.72;27.73;39.84;31.25;3.91;0.0;34.38;31.25;15.62;26.56;17.97;26.56;17.58;35.55;47.66;39.45;17.19;0.0
