;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;61.72;50.0;6.25;14.06;8.59;14.84;14.84;32.42;48.83;9.38;50.0;7.81;0.517;0.001385622799396515;82.81;50.0;6.25;20.31;11.72;25.78;23.05;50.39;68.36;12.5;74.22;9.38;0.5022;0.001387989342212677
1;77.34;50.0;6.25;17.19;10.16;20.31;19.14;44.53;62.11;12.5;67.19;9.38;0.542;0.0013809151649475098;82.81;50.0;6.25;20.31;11.72;25.78;23.44;51.17;69.53;12.5;75.0;9.38;0.5296;0.0013805869460105896
2;78.12;50.0;6.25;17.19;10.16;21.09;19.92;45.31;62.5;12.5;68.75;9.38;0.579;0.0013700734674930572;82.81;50.0;6.25;20.31;11.72;25.78;23.44;51.17;69.53;12.5;75.0;9.38;0.5482;0.0013735943496227265
3;78.91;50.0;6.25;17.19;10.16;21.09;19.92;45.7;62.89;12.5;69.14;9.38;0.5855;0.0013563924133777618;82.81;50.0;6.25;20.31;12.5;25.78;23.44;51.17;69.53;12.5;75.39;9.38;0.5672;0.0013660927414894104
4;78.91;50.0;6.25;17.19;10.16;21.09;19.92;45.7;62.89;12.5;69.14;9.38;0.588;0.0013433657884597777;82.81;50.0;6.25;20.31;12.5;25.78;23.44;51.56;69.92;12.5;75.39;9.38;0.577;0.0013569144666194916
5;78.91;50.0;6.25;17.19;10.16;21.09;19.92;45.7;62.89;12.5;69.53;9.38;0.591;0.001330736219882965;82.81;50.0;6.25;20.31;12.5;25.78;23.44;51.56;69.92;12.5;75.39;9.38;0.5812;0.0013519632518291472
6;78.91;50.0;6.25;17.19;10.16;21.88;20.31;46.09;62.89;12.5;69.53;9.38;0.5905;0.0013203085362911225;82.81;50.0;6.25;20.31;12.5;25.78;23.44;51.56;69.92;12.5;75.39;9.38;0.588;0.001341262638568878
7;78.91;50.0;6.25;17.19;10.16;21.88;20.31;46.09;63.28;12.5;69.53;9.38;0.5945;0.0013093571364879608;82.81;50.0;6.25;20.31;12.5;25.78;23.83;51.56;69.92;12.5;75.39;9.38;0.5956;0.0013295237004756928
8;78.91;50.0;6.25;17.19;10.16;21.88;20.31;46.09;63.28;12.5;69.53;9.38;0.608;0.0012992747724056245;82.81;50.0;6.25;20.31;12.5;25.78;23.83;51.56;69.92;12.5;75.39;9.38;0.6006;0.0013247375845909118
9;78.91;50.0;6.25;17.19;10.16;21.88;20.31;46.09;63.28;12.5;69.92;9.38;0.6135;0.0012922753393650056;82.81;50.0;6.25;20.31;12.5;25.78;23.83;51.56;69.92;12.5;75.39;9.38;0.6063;0.0013134468257427216
10;78.91;50.0;6.25;17.19;10.16;21.88;20.7;46.48;63.67;12.5;69.92;9.38;0.6225;0.0012843247354030608;82.81;50.0;6.25;20.31;12.5;25.78;23.83;51.56;69.92;12.5;75.39;9.38;0.6155;0.0013074208676815034
11;78.91;50.0;6.25;18.75;10.16;21.88;20.7;46.48;63.67;12.5;69.92;9.38;0.625;0.0012773579061031342;82.81;50.0;6.25;21.88;12.5;25.78;23.83;51.56;69.92;12.5;75.39;10.94;0.6203;0.0013016648769378662
12;78.91;50.0;6.25;18.75;10.94;21.88;20.7;46.48;64.06;12.5;70.31;9.38;0.622;0.0012704655826091765;82.81;50.0;6.25;21.88;12.5;25.78;23.83;51.56;69.92;12.5;75.39;10.94;0.6274;0.0012853838741779327
13;78.91;50.0;6.25;18.75;10.94;21.88;20.7;46.48;64.06;12.5;70.31;9.38;0.619;0.0012683550119400025;82.81;50.0;6.25;21.88;13.28;26.56;23.83;51.56;69.92;12.5;75.39;10.94;0.6315;0.0012853860795497894
14;78.91;50.0;6.25;18.75;10.94;21.88;20.7;46.88;64.06;12.5;70.31;9.38;0.6275;0.0012638281136751175;82.81;50.0;6.25;21.88;13.28;26.56;23.83;51.56;69.92;15.62;75.39;10.94;0.6289;0.0012768258333206177
15;78.91;50.0;6.25;18.75;10.94;22.66;21.09;46.88;64.45;12.5;70.7;9.38;0.636;0.0012536268532276154;82.81;50.0;6.25;21.88;13.28;26.56;24.22;51.56;69.92;15.62;75.39;10.94;0.6413;0.0012645476698875428
16;78.91;50.0;6.25;18.75;10.94;22.66;21.09;46.88;64.45;12.5;70.7;9.38;0.638;0.001257697895169258;82.81;50.0;6.25;21.88;13.28;26.56;24.22;51.56;69.92;15.62;75.39;10.94;0.6399;0.0012661295890808106
17;78.91;50.0;6.25;18.75;10.94;22.66;21.09;46.88;64.45;12.5;70.7;9.38;0.642;0.0012442608773708343;82.81;50.0;6.25;21.88;13.28;26.56;24.22;51.95;69.92;15.62;75.39;10.94;0.6442;0.001257186609506607
18;78.91;50.0;6.25;18.75;10.94;22.66;21.09;47.27;64.84;15.62;71.09;10.94;0.644;0.0012369318008422852;82.81;50.0;6.25;21.88;13.28;26.56;24.22;51.95;69.92;15.62;75.39;10.94;0.6544;0.0012359848260879516
19;78.91;0.0;6.25;18.75;10.94;22.66;21.09;47.27;64.84;15.62;71.09;10.94;0.648;0.0012266934514045715;82.81;50.0;6.25;21.88;13.28;26.56;24.22;51.95;69.92;15.62;75.39;10.94;0.661;0.001236601060628891
