;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.36335096337646244;0.5053;0.3643807749003172;0.4445;3.12;3.12;1.56;3.12;1.56;2.34;4.3;5.47;2.34;1.56;0.78;50.0;12.5;21.88;14.06;18.75;12.5;14.06;19.14;22.27;9.77;8.98;25.0;50.0
1;0.3623063894510269;0.5034;0.3479094664156437;0.527;6.25;6.25;3.12;4.69;3.12;3.91;5.08;4.69;2.73;2.34;2.34;50.0;15.62;21.88;18.75;23.44;18.75;20.31;26.17;30.47;12.11;10.55;25.78;50.0
2;0.3576212882399559;0.5076;0.3491663649827242;0.559;6.25;6.25;4.69;4.69;3.91;3.12;4.3;4.3;2.73;2.34;3.12;50.0;12.5;18.75;17.19;21.88;19.53;21.09;28.12;33.2;12.11;10.94;25.0;50.0
3;0.35690602152347567;0.5152;0.35146401889622214;0.488;6.25;6.25;4.69;6.25;3.91;3.12;3.91;4.3;3.12;2.34;3.12;50.0;12.5;15.62;17.19;20.31;19.53;21.88;28.52;34.77;12.5;10.16;25.0;50.0
4;0.35534825481474397;0.5032;0.38102288548648355;0.543;6.25;6.25;4.69;4.69;3.91;3.12;3.52;4.3;3.52;2.73;3.91;50.0;9.38;12.5;17.19;18.75;18.75;21.88;27.34;33.98;12.5;9.77;24.22;50.0
5;0.3541557449817658;0.5031;0.3565166314318776;0.529;6.25;6.25;4.69;6.25;3.91;3.12;3.52;4.3;3.52;3.12;4.69;50.0;9.38;12.5;15.62;18.75;18.75;21.09;26.56;33.59;12.11;9.38;23.44;50.0
6;0.3525957186847925;0.511;0.3572201850414276;0.4555;6.25;6.25;6.25;4.69;3.91;3.12;3.12;3.91;3.52;3.12;4.69;50.0;9.38;12.5;15.62;17.19;18.75;21.09;25.78;33.59;12.11;8.98;22.66;50.0
7;0.35161314885914324;0.508;0.38527925019711257;0.4455;6.25;6.25;4.69;4.69;3.12;2.34;2.73;3.12;3.12;2.34;3.91;50.0;9.38;9.38;15.62;17.19;17.97;20.31;24.61;32.81;11.33;7.81;21.88;50.0
8;0.3508400226920843;0.5091;0.34743694530427455;0.527;6.25;6.25;6.25;6.25;3.91;2.34;2.73;3.52;3.52;2.34;4.69;50.0;9.38;9.38;15.62;17.19;17.97;20.31;24.22;32.42;10.94;7.03;21.88;50.0
9;0.35057295064628125;0.5035;0.3456281210780144;0.5345;6.25;6.25;6.25;6.25;3.91;2.34;2.73;3.12;3.12;2.73;4.69;50.0;9.38;9.38;15.62;17.19;17.19;20.31;24.22;32.81;10.55;7.03;21.88;50.0
10;0.35010776827633383;0.4983;0.3767803096920252;0.5075;9.38;9.38;7.81;7.81;3.91;3.12;3.12;3.91;3.91;2.73;5.47;50.0;9.38;12.5;17.19;17.19;17.97;20.31;24.61;33.59;11.33;7.03;22.66;50.0
11;0.34803391559720037;0.5226;0.34769780294597147;0.5385;9.38;9.38;7.81;7.81;3.91;3.12;3.12;4.3;4.3;3.52;5.47;50.0;9.38;12.5;17.19;18.75;17.19;20.31;25.78;35.55;12.5;7.81;24.22;50.0
12;0.3492936480164528;0.5068;0.3465710496008396;0.52;9.38;9.38;7.81;6.25;3.91;3.12;3.52;5.08;4.69;3.52;6.25;50.0;9.38;12.5;17.19;17.19;16.41;20.31;26.56;36.72;13.28;8.2;25.0;50.0
13;0.34845132305026055;0.5044;0.346548788100481;0.5565;9.38;9.38;6.25;6.25;3.12;3.12;3.52;5.08;4.69;3.91;6.25;50.0;9.38;12.5;17.19;17.19;16.41;19.53;26.56;37.11;13.28;8.2;25.0;50.0
14;0.3477882150948048;0.5135;0.34844304035604;0.502;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.08;5.08;3.91;6.25;50.0;9.38;12.5;15.62;17.19;15.62;19.53;27.34;37.89;13.28;8.2;25.78;50.0
15;0.3476486295342445;0.5197;0.3463196310400963;0.5245;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.47;5.08;3.91;7.03;50.0;9.38;12.5;15.62;15.62;15.62;19.53;27.34;38.28;12.89;8.2;25.78;50.0
16;0.3470673447340727;0.5195;0.34427775302529334;0.5085;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.47;5.08;3.91;7.03;50.0;9.38;12.5;15.62;15.62;14.84;19.53;27.34;38.28;12.5;7.81;25.78;50.0
17;0.3472295113891363;0.5112;0.3450310678780079;0.528;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.47;5.08;4.3;7.03;50.0;9.38;12.5;15.62;15.62;14.84;18.75;27.34;38.67;12.89;8.2;26.56;50.0
18;0.3468303687512875;0.5164;0.34348615816235545;0.555;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.47;5.08;3.91;7.03;50.0;9.38;12.5;15.62;15.62;14.84;18.75;27.34;39.06;12.89;8.2;26.56;50.0
19;0.34711267648637295;0.5116;0.3552644305974245;0.5555;6.25;9.38;6.25;6.25;3.12;3.12;3.52;5.86;5.08;3.91;7.03;50.0;9.38;12.5;14.06;15.62;14.06;17.97;27.34;38.67;12.5;7.81;26.56;50.0
