;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0857413034260273;0.5572;0.08204926532506943;0.611;6.25;6.25;3.12;4.69;0.78;1.56;1.17;1.17;1.56;0.39;0.78;50.0;28.12;40.62;26.56;32.81;10.16;15.62;7.81;13.67;14.06;7.81;21.09;50.0
1;0.08095203620791436;0.6253;0.07515359809994697;0.6675;9.38;15.62;7.81;9.38;2.34;3.91;1.56;1.56;1.95;0.78;1.56;50.0;46.88;53.12;31.25;43.75;11.72;21.09;7.81;10.94;10.94;7.03;17.97;50.0
2;0.07432404146492481;0.6859;0.0659850977063179;0.7415;15.62;18.75;10.94;12.5;3.91;5.47;1.56;2.34;1.95;1.17;2.34;50.0;59.38;53.12;32.81;45.31;11.72;21.88;5.08;10.94;10.55;7.03;14.84;50.0
3;0.06923034952729941;0.7215;0.06498995834589004;0.7495;21.88;21.88;12.5;15.62;3.91;7.03;1.95;2.73;2.34;1.56;3.12;50.0;68.75;50.0;32.81;42.19;10.94;24.22;4.69;12.11;10.55;7.42;12.5;50.0
4;0.06537239271253348;0.7443;0.05925259502232075;0.781;25.0;25.0;12.5;17.19;4.69;7.81;2.34;3.52;2.34;1.95;3.12;0.0;71.88;46.88;32.81;39.06;10.94;24.22;4.3;13.67;10.16;8.2;11.72;0.0
5;0.06376825470924377;0.755;0.06257695945352316;0.7635;28.12;25.0;14.06;18.75;5.47;9.38;2.34;3.52;2.73;2.34;3.91;0.0;75.0;43.75;32.81;37.5;10.16;23.44;4.3;14.84;8.59;8.98;11.72;0.0
6;0.0617043318644166;0.767;0.05258686638250947;0.8105;31.25;25.0;15.62;18.75;6.25;10.16;2.73;3.91;2.73;2.73;3.91;0.0;78.12;40.62;32.81;35.94;10.94;22.66;4.3;16.8;8.2;9.38;10.94;0.0
7;0.05937871804237366;0.776;0.05189778010547161;0.815;34.38;28.12;17.19;20.31;6.25;10.94;2.73;4.3;2.73;3.12;3.91;0.0;78.12;37.5;34.38;34.38;10.16;22.66;4.69;17.58;7.03;9.77;9.38;0.0
8;0.05725021077990532;0.7828;0.050212488040328025;0.8225;40.62;28.12;18.75;20.31;6.25;11.72;2.73;4.69;2.73;3.12;3.91;0.0;78.12;37.5;35.94;32.81;10.94;23.44;4.69;18.75;5.86;10.16;8.59;0.0
9;0.0565501707226038;0.7931;0.04805284593999386;0.837;43.75;31.25;20.31;21.88;7.03;12.5;3.12;5.08;2.34;3.52;3.91;0.0;81.25;37.5;37.5;31.25;10.94;22.66;5.08;19.92;5.47;10.16;7.81;0.0
10;0.05517679633200168;0.795;0.04911695114150643;0.841;43.75;31.25;21.88;21.88;7.03;12.5;3.52;5.08;2.73;3.52;4.69;0.0;81.25;37.5;39.06;31.25;10.94;21.88;5.47;20.7;5.08;10.16;8.59;0.0
11;0.05348515698835254;0.8091;0.04603069045767188;0.842;46.88;31.25;23.44;23.44;7.81;13.28;3.52;5.47;2.73;3.91;4.69;0.0;81.25;34.38;39.06;29.69;10.94;21.09;5.47;20.7;5.08;10.55;8.59;0.0
12;0.05285627995431423;0.811;0.04823534794151783;0.82;50.0;31.25;25.0;23.44;8.59;13.28;3.91;5.47;2.73;4.3;5.47;0.0;84.38;34.38;40.62;28.12;11.72;20.31;5.86;19.92;4.69;10.16;8.59;0.0
13;0.0515691901832819;0.8166;0.05144997044280172;0.8075;53.12;31.25;26.56;23.44;8.59;14.06;4.3;5.86;2.73;4.3;5.47;0.0;84.38;34.38;42.19;28.12;11.72;19.53;6.25;19.53;4.3;9.38;9.38;0.0
14;0.050554848734289407;0.8231;0.04478769716247916;0.854;53.12;31.25;28.12;23.44;8.59;14.06;4.69;5.86;2.73;4.69;5.47;0.0;84.38;34.38;43.75;28.12;11.72;19.53;7.03;19.14;4.3;9.38;10.94;0.0
15;0.048803906837105754;0.838;0.04417964159697294;0.8505;56.25;31.25;29.69;23.44;9.38;14.84;5.08;6.25;2.34;4.69;6.25;0.0;84.38;34.38;45.31;26.56;12.5;19.53;7.42;19.14;3.91;8.98;11.72;0.0
16;0.0483897296205163;0.8404;0.0446808112077415;0.8465;59.38;31.25;29.69;23.44;9.38;14.84;5.47;6.64;2.34;4.69;7.03;0.0;84.38;34.38;45.31;26.56;12.5;19.53;7.81;18.75;3.52;8.59;12.5;0.0
17;0.0475143925473094;0.8416;0.04559167964756489;0.84;59.38;31.25;31.25;25.0;10.16;15.62;5.86;6.64;2.34;5.08;7.81;0.0;84.38;34.38;46.88;26.56;12.5;19.53;8.2;17.97;3.12;7.81;14.06;0.0
18;0.045453627222031355;0.8542;0.04207232375815511;0.8605;59.38;31.25;32.81;25.0;10.16;15.62;5.86;7.03;1.95;4.69;7.81;0.0;84.38;34.38;48.44;26.56;13.28;18.75;8.59;17.58;3.12;7.42;14.84;0.0
19;0.04328949060961604;0.8575;0.04178704287856817;0.8545;62.5;31.25;34.38;23.44;10.16;15.62;6.25;7.42;1.95;4.69;7.81;0.0;84.38;34.38;50.0;25.0;13.28;18.75;8.59;17.19;2.73;7.03;14.84;0.0
