;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08242147649526596;0.6021;0.07218056267499924;0.7025;6.25;12.5;6.25;9.38;3.91;7.03;2.73;2.73;2.73;0.39;0.0;0.0;21.88;46.88;29.69;39.06;27.34;41.41;26.17;37.11;46.48;31.64;46.09;50.0
1;0.07446397495865822;0.6853;0.06846577425301074;0.7355;9.38;15.62;9.38;12.5;6.25;8.59;1.95;2.34;3.12;0.78;0.78;0.0;40.62;53.12;37.5;40.62;28.91;40.62;15.23;25.0;26.95;13.67;23.44;0.0
2;0.06980833314806223;0.7201;0.06554022507369518;0.7565;18.75;18.75;14.06;14.06;6.25;8.59;1.56;2.34;3.12;1.17;1.56;0.0;56.25;50.0;42.19;37.5;27.34;36.72;9.38;19.92;19.53;11.33;14.06;0.0
3;0.06633821925073861;0.7396;0.0576937305778265;0.776;21.88;25.0;15.62;15.62;6.25;8.59;1.95;2.73;2.34;1.56;2.34;0.0;62.5;46.88;42.19;34.38;25.0;32.03;7.03;16.41;15.23;10.94;10.94;0.0
4;0.06316742614805698;0.7586;0.060391659416258334;0.765;25.0;28.12;17.19;17.19;6.25;8.59;1.95;2.73;2.34;1.95;2.34;0.0;71.88;50.0;43.75;31.25;23.44;28.91;6.25;16.41;10.16;10.94;9.38;0.0
5;0.06122624731361866;0.7682;0.05564934103563428;0.784;31.25;28.12;18.75;15.62;6.25;10.16;2.34;3.12;2.34;1.95;2.34;0.0;75.0;50.0;43.75;26.56;21.88;28.12;6.64;16.02;7.03;10.55;7.81;0.0
6;0.05965127816349268;0.7743;0.05472360498458147;0.801;34.38;31.25;18.75;15.62;7.03;10.16;2.34;3.52;2.34;2.34;2.34;0.0;78.12;50.0;43.75;25.0;21.09;26.56;6.25;17.97;7.03;10.16;7.03;0.0
7;0.057373966313898565;0.7876;0.053266171850264075;0.8015;37.5;34.38;20.31;17.19;7.81;10.16;2.73;3.91;2.34;2.34;3.12;0.0;78.12;46.88;43.75;23.44;21.09;25.0;6.25;18.75;5.08;10.16;7.03;0.0
8;0.056276930622011424;0.7934;0.048042182061821224;0.8305;40.62;34.38;20.31;17.19;8.59;10.94;3.12;3.91;2.34;2.73;3.12;0.0;81.25;46.88;43.75;21.88;20.31;22.66;6.64;18.36;4.3;9.38;7.03;0.0
9;0.054958214645832774;0.7977;0.047513569042086604;0.833;40.62;34.38;21.88;18.75;8.59;10.94;3.12;4.3;2.34;2.73;3.91;0.0;81.25;43.75;45.31;21.88;20.31;21.09;6.64;19.14;4.3;8.98;7.03;0.0
10;0.053604146014153954;0.8048;0.04554109211266041;0.8435;43.75;37.5;23.44;18.75;9.38;11.72;3.52;4.69;2.34;3.12;3.91;0.0;81.25;43.75;45.31;20.31;21.09;20.31;7.03;19.92;4.3;8.59;7.81;0.0
11;0.05186987103000283;0.8132;0.04681733643636107;0.843;46.88;37.5;25.0;18.75;10.16;11.72;3.91;5.08;2.34;3.12;4.69;0.0;81.25;43.75;45.31;20.31;21.09;20.31;7.03;20.31;3.91;8.59;8.59;0.0
12;0.05200042197927832;0.8173;0.04562457884848118;0.8375;50.0;37.5;26.56;18.75;10.94;12.5;3.91;5.08;2.73;3.52;4.69;0.0;81.25;43.75;45.31;20.31;21.09;20.31;7.42;20.31;3.91;7.81;9.38;0.0
13;0.050393371967226264;0.8282;0.04408933656290173;0.854;50.0;37.5;26.56;18.75;10.94;12.5;4.3;5.47;2.73;3.52;5.47;0.0;81.25;43.75;45.31;20.31;21.88;19.53;7.81;19.92;3.91;7.81;10.94;0.0
14;0.04842344974577427;0.8372;0.04490384266898036;0.836;50.0;37.5;28.12;18.75;11.72;13.28;4.69;5.86;2.73;3.91;6.25;0.0;81.25;43.75;46.88;20.31;21.88;19.53;8.2;19.53;3.91;7.42;12.5;0.0
15;0.0474098355486989;0.8404;0.04158296675607562;0.863;53.12;40.62;29.69;20.31;12.5;14.06;5.08;6.25;2.73;3.91;6.25;0.0;81.25;43.75;46.88;20.31;22.66;19.53;8.59;19.14;3.52;7.03;14.06;0.0
16;0.045898529544472697;0.8504;0.042531163470819595;0.856;53.12;40.62;29.69;20.31;13.28;14.06;5.47;6.64;2.73;4.3;7.03;0.0;81.25;43.75;46.88;18.75;22.66;18.75;8.98;19.14;3.52;7.03;15.62;0.0
17;0.043800184144079685;0.858;0.04040216211229563;0.854;53.12;40.62;31.25;20.31;14.06;14.84;5.86;6.64;2.34;4.3;7.81;0.0;81.25;43.75;48.44;18.75;23.44;18.75;9.38;18.36;3.12;7.03;16.41;0.0
18;0.04337082093730569;0.8598;0.041534299014136196;0.86;56.25;40.62;32.81;20.31;14.06;14.84;6.25;7.03;2.34;4.3;8.59;0.0;81.25;43.75;48.44;18.75;23.44;17.97;9.77;17.97;2.73;7.03;17.19;0.0
19;0.042757086587697266;0.8642;0.04274717473238707;0.8495;56.25;40.62;32.81;20.31;14.84;14.84;6.25;7.42;2.34;4.69;9.38;0.0;81.25;43.75;48.44;20.31;23.44;17.97;9.77;17.58;2.73;6.64;17.97;0.0
