;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;4.69;50.0;6.25;12.5;5.47;6.25;3.91;5.08;3.52;12.5;2.34;7.81;0.6004;0.035236463356018065;37.5;60.0;21.88;43.75;28.91;43.75;31.25;41.41;32.03;46.88;20.31;35.94;0.45654;0.04712943197607994
1;7.81;60.0;12.5;14.06;7.81;10.16;7.03;8.59;4.3;18.75;2.73;12.5;0.6872;0.027421379843354226;32.81;60.0;40.62;39.06;32.03;37.5;33.2;42.58;18.75;46.88;11.72;40.62;0.6446;0.031834568637013436
2;11.72;70.0;18.75;15.62;8.59;11.72;8.98;11.72;4.69;21.88;3.52;14.06;0.7635;0.02144148569703102;33.59;70.0;53.12;35.94;33.59;32.03;35.55;44.14;13.28;46.88;10.16;43.75;0.71208;0.02629290280520916
3;14.06;70.0;21.88;15.62;10.16;14.06;10.55;14.06;5.08;21.88;3.91;17.19;0.7771;0.02032488465309143;33.59;70.0;59.38;34.38;34.38;30.47;36.72;44.92;11.33;43.75;9.38;45.31;0.75278;0.02273869983792305
4;16.41;70.0;25.0;17.19;11.72;15.62;12.11;16.02;5.08;21.88;3.91;17.19;0.8049;0.01772768701761961;33.59;70.0;59.38;34.38;35.16;29.69;37.5;45.7;10.55;40.62;9.38;46.88;0.78086;0.020285870856940745
5;17.97;70.0;28.12;18.75;12.5;16.41;13.67;18.36;5.47;25.0;4.3;18.75;0.8159;0.016469534519314766;33.59;70.0;62.5;34.38;35.94;29.69;38.67;46.48;10.16;40.62;8.98;48.44;0.79942;0.018471405097842217
6;20.31;70.0;31.25;20.31;13.28;17.19;15.23;19.92;5.86;25.0;4.69;20.31;0.8154;0.01672329152226448;33.59;70.0;62.5;34.38;36.72;28.91;39.45;47.27;9.38;40.62;8.59;50.0;0.8171;0.016885652632713317
7;21.88;70.0;31.25;21.88;14.84;17.97;16.02;21.48;5.86;28.12;5.08;21.88;0.8401;0.014690903889387846;33.59;70.0;62.5;34.38;36.72;28.12;40.23;47.27;8.98;40.62;8.2;50.0;0.82832;0.015766476363539696
8;22.66;70.0;34.38;23.44;15.62;18.75;17.58;23.05;6.25;28.12;5.08;23.44;0.8385;0.014579948064684867;33.59;70.0;59.38;34.38;37.5;28.12;41.02;47.66;8.59;40.62;8.2;50.0;0.84038;0.014656687144488097
9;23.44;70.0;34.38;23.44;16.41;19.53;18.75;24.22;6.25;28.12;5.47;25.0;0.8526;0.013634036799520254;33.59;70.0;59.38;34.38;37.5;28.12;41.41;47.66;8.59;40.62;8.2;50.0;0.8552;0.013601457276344299
