;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;5.47;60.0;6.25;10.94;6.25;12.5;7.81;24.61;44.92;15.62;37.11;7.81;0.5705;0.15204646639823913;57.81;60.0;65.62;39.06;31.25;42.97;31.25;51.17;64.45;56.25;62.89;35.94;0.40386;0.2055142249751091
1;10.94;60.0;12.5;15.62;9.38;17.97;11.33;29.3;48.05;21.88;40.62;10.94;0.7039;0.1083378440618515;53.12;60.0;78.12;34.38;34.38;43.75;33.2;52.34;63.28;59.38;60.16;35.94;0.5645;0.1563538669961691
2;14.84;70.0;18.75;17.19;11.72;21.88;14.06;31.64;48.44;25.0;41.8;14.06;0.7296;0.09730984641313553;52.34;70.0;81.25;29.69;34.38;43.75;35.94;53.91;62.89;56.25;59.38;35.94;0.6408;0.13219435452401637
3;17.97;70.0;21.88;18.75;13.28;23.44;16.41;33.59;48.83;28.12;42.97;15.62;0.7651;0.08789953648000956;51.56;70.0;81.25;28.12;35.16;43.75;38.67;54.69;61.72;56.25;58.59;35.94;0.68272;0.11837805056035519
4;21.09;70.0;25.0;20.31;14.84;25.0;18.36;35.55;48.44;31.25;44.14;17.19;0.7855;0.07937310586571693;50.78;70.0;81.25;26.56;35.94;42.97;40.23;55.86;60.94;53.12;58.2;35.94;0.7106;0.10820391841322184
5;23.44;70.0;28.12;20.31;15.62;26.56;19.92;37.11;47.66;31.25;44.53;18.75;0.7978;0.07560551194548606;50.0;70.0;81.25;26.56;36.72;42.19;41.8;56.64;59.38;50.0;57.81;35.94;0.73058;0.10043664530515671
6;25.78;70.0;31.25;20.31;17.19;27.34;21.09;38.67;46.88;31.25;44.92;20.31;0.8123;0.07305311483889818;50.0;70.0;81.25;26.56;36.72;41.41;43.36;57.42;58.2;50.0;57.81;37.5;0.74666;0.09448887591689825
7;27.34;70.0;34.38;21.88;17.97;27.34;22.27;39.84;46.48;34.38;45.7;20.31;0.8138;0.07117585637271404;50.78;70.0;81.25;26.56;36.72;40.62;44.14;58.2;57.42;46.88;57.42;37.5;0.7629;0.089503186416924
8;28.91;70.0;37.5;21.88;18.75;28.12;23.44;40.62;45.31;34.38;46.48;21.88;0.8319;0.06584639986902475;50.78;70.0;81.25;25.0;36.72;39.84;44.92;58.59;55.86;46.88;57.42;37.5;0.77318;0.08577268785387278
9;30.47;80.0;37.5;21.88;19.53;28.12;24.22;41.41;44.53;34.38;46.88;23.44;0.8267;0.0657642970636487;50.78;70.0;81.25;25.0;37.5;39.84;45.7;58.98;54.69;46.88;57.42;37.5;0.78172;0.08215892634183168
10;32.03;80.0;40.62;23.44;20.31;28.12;25.0;42.58;44.14;34.38;47.27;25.0;0.8361;0.062203870236873626;51.56;80.0;81.25;25.0;37.5;39.06;46.48;58.98;53.52;43.75;57.42;39.06;0.7949;0.07837381788909435
11;32.81;80.0;40.62;23.44;21.09;28.91;25.78;43.36;43.36;34.38;47.66;25.0;0.8388;0.061047891700267795;51.56;80.0;81.25;25.0;37.5;39.06;47.27;59.38;52.73;43.75;57.42;39.06;0.80338;0.07458526811122894
12;33.59;80.0;43.75;23.44;21.88;28.91;26.56;43.75;42.97;34.38;47.66;26.56;0.8399;0.06056273165345192;51.56;80.0;81.25;25.0;37.5;38.28;47.66;59.77;51.95;43.75;57.42;39.06;0.80908;0.07246435389906168
13;35.16;80.0;43.75;23.44;21.88;29.69;27.34;44.53;42.19;34.38;48.05;26.56;0.8475;0.05796384507417679;52.34;80.0;81.25;25.0;37.5;38.28;48.44;59.77;51.17;43.75;57.42;39.06;0.8189;0.06905213757753373
14;35.94;80.0;46.88;23.44;22.66;29.69;28.12;44.92;41.8;34.38;48.05;26.56;0.8471;0.05845364407747984;52.34;80.0;81.25;25.0;38.28;37.5;48.83;60.16;50.0;43.75;57.42;39.06;0.82178;0.06707784639537334
