;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.12089053252220154;0.09462;0.1065142204284668;0.1705;6.25;12.5;7.81;12.5;6.25;13.28;5.86;13.28;18.75;16.8;7.03;11.0;53.12;59.38;43.75;51.56;35.94;50.78;33.59;46.88;51.95;53.91;45.31;51.0
1;0.10362998263835907;0.18446;0.09189746553897858;0.2512;12.5;18.75;14.06;18.75;10.16;19.53;8.98;19.53;21.88;21.09;13.28;18.0;65.62;59.38;42.19;50.0;37.5;53.91;35.16;49.22;48.44;51.17;46.09;54.0
2;0.09154975672721863;0.25226;0.08051281994581222;0.3149;15.62;21.88;17.19;23.44;13.28;24.22;11.33;23.44;23.83;23.44;17.97;24.0;68.75;53.12;43.75;46.88;39.06;53.12;36.72;51.95;46.09;49.61;47.66;55.0
3;0.08342150354862213;0.30124;0.07269315797090531;0.3818;18.75;25.0;20.31;25.0;14.84;27.34;13.67;27.34;25.39;25.78;22.66;28.0;68.75;50.0;45.31;45.31;39.06;51.56;38.28;54.3;44.53;48.83;48.44;54.0
4;0.07764758748292923;0.34336;0.06877366993427277;0.4017;21.88;25.0;21.88;26.56;16.41;28.91;15.62;30.47;26.56;27.73;25.78;29.0;68.75;46.88;46.88;43.75;39.06;50.0;39.45;56.25;43.75;48.05;49.22;53.0
5;0.06836751116752625;0.41324;0.060654844903945924;0.4737;21.88;21.88;21.88;26.56;16.41;28.12;16.02;31.25;26.17;27.34;25.0;29.0;65.62;40.62;43.75;40.62;35.16;46.09;37.5;55.08;41.02;45.31;46.09;50.0
6;0.06583009999990463;0.43052;0.05908264470100403;0.4812;21.88;21.88;21.88;25.0;15.62;27.34;16.02;32.03;25.78;27.34;23.44;28.0;62.5;37.5;40.62;37.5;32.03;42.19;35.55;53.52;39.06;42.97;42.97;46.0
7;0.06480390878438949;0.43492;0.0583628866314888;0.4841;21.88;21.88;21.88;25.0;15.62;26.56;16.41;32.42;25.39;27.34;22.66;27.0;59.38;34.38;37.5;34.38;29.69;39.84;33.98;52.34;37.11;41.02;39.84;43.0
8;0.0631631596827507;0.44868;0.05745989682674408;0.4946;18.75;21.88;21.88;25.0;15.62;25.78;16.41;33.2;25.39;27.34;21.88;26.0;56.25;31.25;35.94;32.81;28.12;37.5;32.81;51.95;35.94;39.84;38.28;41.0
9;0.06232482097864151;0.45728;0.05666184278726578;0.5007;18.75;21.88;21.88;25.0;14.84;25.78;16.8;33.59;25.0;27.73;21.88;26.0;53.12;31.25;34.38;31.25;26.56;35.94;31.64;51.17;35.16;39.06;36.72;40.0
10;0.0607850603222847;0.46612;0.0559203485250473;0.5079;18.75;21.88;21.88;23.44;14.84;25.0;16.41;33.98;25.0;27.73;21.09;25.0;50.0;28.12;32.81;31.25;25.0;34.38;30.86;50.78;34.38;38.28;35.16;38.0
11;0.06042581684589386;0.47138;0.05618909664154053;0.5049;18.75;18.75;21.88;23.44;14.84;25.0;16.41;33.98;24.61;27.34;20.31;24.0;46.88;28.12;31.25;29.69;23.44;32.81;29.69;50.0;33.59;37.5;33.59;37.0
12;0.060370492482185366;0.47078;0.05566796176433563;0.511;18.75;18.75;21.88;23.44;14.06;24.22;16.02;33.98;24.61;27.34;19.53;24.0;43.75;25.0;29.69;28.12;22.66;32.03;28.91;49.22;32.81;36.72;32.81;36.0
13;0.06026196233034134;0.46982;0.05582828224897385;0.5091;15.62;18.75;20.31;23.44;14.06;24.22;16.02;33.98;24.22;27.34;19.53;23.0;43.75;25.0;28.12;28.12;21.88;30.47;28.12;48.44;32.42;35.94;31.25;35.0
14;0.05993787533521652;0.47522;0.05575288090705872;0.5075;15.62;18.75;20.31;23.44;14.06;23.44;15.62;33.98;24.22;26.95;18.75;23.0;40.62;21.88;28.12;26.56;21.09;29.69;27.34;48.05;31.64;35.55;30.47;34.0
15;0.059787155079841614;0.47436;0.05573013002872467;0.5098;15.62;18.75;20.31;21.88;13.28;23.44;15.62;33.59;23.83;26.95;17.97;23.0;37.5;21.88;26.56;26.56;20.31;28.91;26.56;47.66;31.25;34.77;29.69;34.0
16;0.05980443588018417;0.47392;0.055572224617004395;0.5087;15.62;18.75;20.31;21.88;13.28;22.66;15.62;33.59;23.83;26.95;17.97;22.0;37.5;21.88;26.56;25.0;19.53;28.12;26.17;46.88;30.86;34.38;28.91;33.0
17;0.0597146880197525;0.47252;0.05580486617088318;0.506;15.62;18.75;20.31;21.88;13.28;22.66;15.23;33.59;23.44;26.56;17.19;22.0;34.38;18.75;25.0;25.0;18.75;27.34;25.39;46.48;30.47;33.98;28.12;33.0
18;0.05970952791452408;0.4746;0.05559252715110779;0.5093;15.62;15.62;20.31;21.88;13.28;21.88;15.23;33.59;23.44;26.56;17.19;22.0;34.38;18.75;25.0;25.0;17.97;26.56;25.0;46.09;30.08;33.59;27.34;32.0
19;0.059837025294303896;0.47494;0.055544065475463866;0.5089;15.62;15.62;18.75;21.88;13.28;21.88;15.23;33.2;23.44;26.56;16.41;22.0;31.25;18.75;23.44;23.44;17.97;26.56;24.61;45.7;29.69;33.2;26.56;32.0
20;0.059731388761997226;0.47486;0.055527977120876315;0.5097;12.5;15.62;18.75;20.31;13.28;21.88;14.84;33.2;23.05;26.17;16.41;21.0;31.25;18.75;23.44;23.44;17.19;25.78;24.22;45.31;29.3;32.81;25.78;32.0
21;0.05989479882240296;0.47238;0.05557952345609665;0.5106;12.5;15.62;18.75;20.31;12.5;21.09;14.84;33.2;23.05;26.17;16.41;21.0;31.25;18.75;23.44;23.44;17.19;25.0;23.44;44.92;29.3;32.42;25.78;31.0
22;0.05963387389183045;0.4744;0.055526874220371246;0.5115;12.5;15.62;18.75;20.31;12.5;21.09;14.84;33.2;23.05;26.17;15.62;21.0;28.12;15.62;21.88;21.88;16.41;25.0;23.05;44.53;28.91;32.03;25.0;31.0
23;0.05967493563175202;0.47382;0.055664641749858856;0.5095;12.5;15.62;18.75;20.31;12.5;21.09;14.45;32.81;22.66;25.78;15.62;21.0;28.12;15.62;21.88;21.88;16.41;24.22;22.66;44.14;28.52;31.64;24.22;31.0
24;0.059637032339572904;0.47264;0.055673860096931455;0.5102;12.5;15.62;18.75;20.31;12.5;21.09;14.45;32.81;22.66;25.78;15.62;20.0;28.12;15.62;21.88;21.88;15.62;24.22;22.66;43.75;28.52;31.25;24.22;30.0
25;0.05987460092067719;0.4745;0.05580538820028305;0.5081;12.5;15.62;18.75;20.31;12.5;21.09;14.45;32.81;22.66;25.78;14.84;20.0;25.0;15.62;21.88;21.88;15.62;23.44;22.27;43.36;28.12;31.25;23.44;30.0
26;0.059662707347869874;0.47262;0.05561888538599014;0.5084;12.5;15.62;18.75;20.31;12.5;20.31;14.45;32.81;22.27;25.39;14.84;20.0;25.0;15.62;21.88;20.31;14.84;23.44;21.88;43.36;27.73;30.86;23.44;30.0
27;0.05967949514627457;0.47504;0.05547600687742233;0.5118;12.5;15.62;17.19;20.31;12.5;20.31;14.06;32.81;22.27;25.39;14.84;20.0;25.0;15.62;20.31;20.31;14.84;23.44;21.48;42.97;27.73;30.47;22.66;30.0
28;0.05962923330783844;0.47658;0.055430876493453976;0.5111;9.38;15.62;17.19;18.75;11.72;20.31;14.06;32.42;22.27;25.39;14.84;20.0;21.88;15.62;20.31;20.31;14.84;22.66;21.09;42.58;27.34;30.47;22.66;30.0
29;0.05970314084529877;0.47508;0.05551531981229782;0.5082;9.38;12.5;17.19;18.75;11.72;20.31;14.06;32.42;22.27;25.39;14.06;20.0;21.88;15.62;20.31;20.31;14.06;22.66;21.09;42.19;27.34;30.08;22.66;29.0
30;0.059626217861175536;0.47476;0.05569171495437622;0.5088;9.38;12.5;17.19;18.75;11.72;20.31;14.06;32.42;21.88;25.0;14.06;20.0;21.88;15.62;20.31;20.31;14.06;22.66;20.7;42.19;26.95;30.08;21.88;29.0
31;0.05969074766397476;0.47538;0.05575077866315842;0.5076;9.38;12.5;17.19;18.75;11.72;19.53;14.06;32.42;21.88;25.0;14.06;20.0;21.88;15.62;20.31;20.31;14.06;21.88;20.31;41.8;26.95;29.69;21.88;29.0
32;0.05974379328966141;0.47562;0.055493197286129;0.5109;9.38;12.5;17.19;18.75;11.72;19.53;13.67;32.03;21.88;25.0;14.06;20.0;21.88;15.62;20.31;20.31;14.06;21.88;20.31;41.8;26.95;29.69;21.88;29.0
33;0.059687948186397555;0.47402;0.05558194375038147;0.5085;9.38;12.5;17.19;18.75;11.72;19.53;13.67;32.03;21.88;25.0;13.28;19.0;18.75;12.5;18.75;18.75;14.06;21.88;19.92;41.41;26.56;29.3;21.09;29.0
34;0.059695597425699236;0.47392;0.055457862949371335;0.5093;9.38;12.5;17.19;18.75;11.72;19.53;13.67;32.03;21.88;25.0;13.28;19.0;18.75;12.5;18.75;18.75;13.28;21.09;19.92;41.02;26.56;29.3;21.09;29.0
35;0.05980685863256455;0.47368;0.055708424794673916;0.5079;9.38;12.5;17.19;18.75;11.72;19.53;13.67;32.03;21.48;24.61;13.28;19.0;18.75;12.5;18.75;18.75;13.28;21.09;19.53;41.02;26.17;28.91;21.09;29.0
36;0.059855299048423766;0.47458;0.05551354751586914;0.5098;9.38;12.5;17.19;18.75;11.72;19.53;13.67;32.03;21.48;24.61;13.28;19.0;18.75;12.5;18.75;18.75;13.28;21.09;19.53;40.62;26.17;28.91;20.31;28.0
37;0.05962687121629715;0.47472;0.055679750621318816;0.5087;9.38;12.5;17.19;18.75;10.94;18.75;13.67;31.64;21.48;24.61;13.28;19.0;18.75;12.5;18.75;18.75;13.28;21.09;19.14;40.62;26.17;28.91;20.31;28.0
38;0.05946024144649505;0.47244;0.05545418835878372;0.5103;9.38;12.5;17.19;18.75;10.94;18.75;13.67;31.64;21.48;24.61;13.28;19.0;18.75;12.5;18.75;18.75;13.28;20.31;19.14;40.23;25.78;28.52;20.31;28.0
39;0.059749049880504605;0.47438;0.055478043758869174;0.5093;9.38;12.5;17.19;17.19;10.94;18.75;13.28;31.64;21.48;24.61;13.28;19.0;18.75;12.5;18.75;18.75;12.5;20.31;18.75;40.23;25.78;28.52;20.31;28.0
40;0.05956870025157929;0.47814;0.05567722603082657;0.5066;9.38;12.5;15.62;17.19;10.94;18.75;13.28;31.64;21.48;24.22;13.28;19.0;15.62;12.5;18.75;18.75;12.5;20.31;18.75;39.84;25.78;28.12;19.53;28.0
41;0.05975674678564072;0.4752;0.05547086590528488;0.511;9.38;12.5;15.62;17.19;10.94;18.75;13.28;31.64;21.09;24.22;12.5;19.0;15.62;12.5;17.19;18.75;12.5;20.31;18.36;39.84;25.78;28.12;19.53;28.0
42;0.059539146769046786;0.47506;0.05548818488121033;0.5086;9.38;12.5;15.62;17.19;10.94;18.75;13.28;31.64;21.09;24.22;12.5;19.0;15.62;12.5;17.19;18.75;12.5;20.31;18.36;39.84;25.39;28.12;19.53;28.0
43;0.05980367505788803;0.4756;0.05576917312145233;0.5079;9.38;12.5;15.62;17.19;10.94;18.75;13.28;31.25;21.09;24.22;12.5;19.0;15.62;12.5;17.19;18.75;12.5;19.53;18.36;39.45;25.39;28.12;19.53;28.0
44;0.0597847260594368;0.47422;0.055454391694068905;0.5082;9.38;12.5;15.62;17.19;10.94;18.75;13.28;31.25;21.09;24.22;12.5;19.0;15.62;12.5;17.19;18.75;12.5;19.53;17.97;39.45;25.39;27.73;18.75;28.0
45;0.05973403468608856;0.47606;0.05575971864461899;0.5072;9.38;12.5;15.62;17.19;10.94;17.97;13.28;31.25;21.09;24.22;12.5;19.0;15.62;12.5;17.19;18.75;12.5;19.53;17.97;39.06;25.39;27.73;18.75;28.0
46;0.059439201123714445;0.478;0.05562163195610046;0.5103;9.38;12.5;15.62;17.19;10.94;17.97;13.28;31.25;21.09;24.22;12.5;19.0;15.62;12.5;17.19;17.19;12.5;19.53;17.97;39.06;25.0;27.73;18.75;28.0
47;0.05959125531196594;0.47634;0.055785040497779846;0.5077;9.38;12.5;15.62;17.19;10.94;17.97;12.89;31.25;21.09;23.83;12.5;19.0;15.62;12.5;17.19;17.19;11.72;19.53;17.58;39.06;25.0;27.34;18.75;28.0
48;0.05963487653017044;0.47738;0.05558371207714081;0.51;9.38;12.5;15.62;17.19;10.94;17.97;12.89;31.25;21.09;23.83;12.5;19.0;15.62;12.5;17.19;17.19;11.72;19.53;17.58;38.67;25.0;27.34;18.75;27.0
49;0.05960373358011246;0.4741;0.055517637860774995;0.5083;9.38;12.5;15.62;17.19;10.94;17.97;12.89;31.25;20.7;23.83;12.5;19.0;15.62;12.5;17.19;17.19;11.72;18.75;17.58;38.67;25.0;27.34;17.97;27.0
