;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5121558748626709;0.07024;0.45767605657577515;0.1275;6.25;12.5;9.38;15.62;7.03;17.19;13.67;23.05;44.14;39.84;6.25;7.0;46.88;53.12;42.19;45.31;33.59;46.88;37.5;49.22;64.84;67.19;60.16;29.0
1;0.46135286845207213;0.1252;0.400757652592659;0.2155;12.5;21.88;15.62;21.88;11.72;22.66;15.23;28.52;44.53;41.8;12.5;13.0;65.62;59.38;43.75;46.88;36.72;50.0;39.84;50.78;62.89;64.06;54.69;33.0
2;0.4269784848308563;0.17228;0.35930880190134046;0.2749;15.62;28.12;20.31;23.44;14.84;26.56;16.8;31.64;45.7;42.58;17.97;16.0;71.88;59.38;43.75;43.75;37.5;51.56;41.02;52.73;61.33;62.89;52.34;34.0
3;0.3968913982462883;0.21458;0.3332118753135204;0.3101;21.88;31.25;23.44;26.56;16.41;29.69;18.36;34.38;45.7;43.75;22.66;19.0;75.0;59.38;45.31;40.62;38.28;52.34;41.41;55.08;60.55;62.11;52.34;35.0
4;0.3728477199482918;0.24792;0.31188794286847116;0.3415;25.0;34.38;25.0;28.12;17.97;32.81;19.92;36.33;46.09;44.53;26.56;22.0;78.12;59.38;46.88;39.06;38.28;53.12;42.58;56.25;59.77;61.33;53.12;36.0
5;0.3552326411676407;0.27994;0.2936612887620926;0.3841;28.12;34.38;26.56;28.12;18.75;34.38;21.09;38.67;47.27;45.7;29.69;23.0;78.12;56.25;48.44;37.5;38.28;53.12;43.36;57.42;59.38;60.94;53.91;36.0
6;0.34074541028141975;0.30186;0.28386175722479823;0.4026;31.25;34.38;28.12;28.12;19.53;35.94;22.27;40.23;47.66;46.48;32.81;24.0;78.12;56.25;48.44;35.94;38.28;53.12;44.14;58.59;59.38;60.55;53.91;37.0
7;0.32737502446651456;0.3261;0.2690319357573986;0.4253;34.38;37.5;29.69;29.69;20.31;36.72;23.05;41.8;47.66;47.66;35.94;25.0;78.12;53.12;50.0;35.94;38.28;53.12;44.92;59.38;58.98;60.55;54.69;37.0
8;0.31516949421525003;0.34716;0.2593612094938755;0.4436;37.5;37.5;31.25;29.69;21.09;37.5;23.83;42.97;48.05;48.44;37.5;25.0;75.0;53.12;50.0;35.94;37.5;52.34;45.31;60.55;58.59;60.16;55.47;38.0
9;0.3062121154773235;0.36176;0.25460530377626417;0.4489;37.5;37.5;31.25;29.69;21.88;38.28;24.61;44.14;48.05;48.83;39.06;26.0;75.0;50.0;50.0;34.38;37.5;51.56;46.09;61.33;58.2;60.16;55.47;38.0
