;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5305186672496796;0.04124;0.49410796024799347;0.0754;6.25;9.38;4.69;4.69;2.34;2.34;1.56;1.17;1.56;1.17;1.56;5.0;46.88;31.25;28.12;25.0;12.5;15.62;8.59;10.94;8.2;9.38;30.47;60.0
1;0.507276173171997;0.06162;0.47458248035907746;0.0941;9.38;15.62;10.94;9.38;4.69;5.47;2.73;2.73;2.73;1.56;4.69;10.0;50.0;31.25;28.12;25.0;9.38;15.62;9.38;11.33;6.25;9.77;32.81;60.0
2;0.4816164314317703;0.08996;0.43817568578720095;0.1461;12.5;21.88;14.06;10.94;5.47;7.03;3.52;3.91;3.12;2.34;8.59;14.0;53.12;31.25;31.25;23.44;10.16;14.84;9.77;12.11;5.86;9.38;35.94;59.0
3;0.45802517283439637;0.1176;0.4043538539528847;0.1916;18.75;25.0;17.19;14.06;7.03;8.59;4.3;4.69;3.52;2.73;11.72;18.0;56.25;34.38;31.25;23.44;11.72;14.84;10.16;12.5;5.47;8.59;38.28;57.0
4;0.428986830804348;0.15936;0.3754367262840271;0.2342;21.88;28.12;20.31;17.19;8.59;10.16;5.08;5.86;3.91;2.73;14.84;21.0;56.25;34.38;32.81;23.44;13.28;14.84;10.94;13.28;4.69;7.81;39.84;55.0
5;0.4044942115998268;0.18972;0.3596348132014275;0.2547;25.0;31.25;21.88;18.75;10.16;12.5;5.86;6.64;3.91;3.12;17.19;23.0;56.25;37.5;35.94;23.44;14.06;15.62;12.11;14.45;4.69;6.25;41.41;52.0
6;0.3857687401270866;0.21802;0.330816096162796;0.3022;28.12;31.25;25.0;20.31;10.94;13.28;6.64;7.42;3.91;3.12;19.53;23.0;59.38;37.5;37.5;25.0;15.62;16.41;13.28;15.62;4.3;4.69;42.19;50.0
7;0.36947688738822937;0.24344;0.3191076069355011;0.3184;28.12;34.38;25.0;20.31;12.5;14.84;7.42;8.2;3.91;3.12;22.66;24.0;59.38;37.5;39.06;25.0;16.41;16.41;14.45;16.41;4.3;3.91;42.97;48.0
8;0.3539409560227394;0.27124;0.3098515806734562;0.3473;31.25;34.38;26.56;21.88;13.28;15.62;8.2;8.98;3.91;2.73;24.22;24.0;59.38;40.62;39.06;26.56;17.97;17.19;15.62;17.58;3.91;3.52;43.75;47.0
9;0.34061454701542854;0.29516;0.293393290412426;0.368;34.38;34.38;28.12;23.44;14.06;16.41;8.98;10.16;3.91;2.73;26.56;25.0;59.38;40.62;40.62;26.56;18.75;17.97;16.8;18.75;3.91;3.12;45.31;46.0
10;0.3280469254374504;0.3156;0.28403680306077006;0.3947;34.38;34.38;29.69;23.44;14.84;17.19;9.77;10.94;3.91;2.34;28.12;26.0;56.25;40.62;42.19;26.56;19.53;17.97;17.97;19.53;3.91;2.73;46.09;45.0
11;0.317339679646492;0.33566;0.2791789986073971;0.3989;34.38;34.38;29.69;25.0;15.62;17.97;10.55;12.11;3.91;2.34;29.69;26.0;56.25;40.62;42.19;26.56;19.53;18.75;19.14;20.7;3.91;2.34;46.88;45.0
12;0.30742270167946817;0.35278;0.2609137681365013;0.4298;34.38;34.38;31.25;25.0;16.41;17.97;11.72;12.89;3.91;2.34;30.47;26.0;56.25;40.62;42.19;26.56;20.31;18.75;19.92;21.48;3.91;2.34;46.88;44.0
13;0.29664572837114334;0.37414;0.2498942034780979;0.4552;37.5;34.38;31.25;25.0;17.19;18.75;12.5;13.67;3.91;1.95;32.03;27.0;56.25;37.5;43.75;26.56;21.09;19.53;21.09;22.27;3.91;1.95;47.66;44.0
14;0.2885987272024155;0.38848;0.24780201472043992;0.4511;37.5;34.38;32.81;25.0;17.97;19.53;13.28;14.45;3.91;1.95;32.81;27.0;56.25;37.5;43.75;26.56;21.88;19.53;22.27;23.05;3.91;1.95;48.44;44.0
15;0.279957980440855;0.4013;0.25175611950755117;0.4529;37.5;34.38;32.81;26.56;17.97;20.31;14.06;15.23;3.91;1.95;33.59;27.0;56.25;37.5;43.75;26.56;21.88;20.31;23.05;23.83;3.91;1.56;48.44;43.0
16;0.27218099742531776;0.41848;0.2287349635720253;0.4911;37.5;34.38;32.81;26.56;18.75;20.31;14.84;16.02;3.91;1.95;35.16;27.0;56.25;37.5;43.75;26.56;22.66;20.31;24.22;24.61;3.91;1.56;48.44;43.0
17;0.26564396438360216;0.4307;0.23510694485902786;0.4861;37.5;34.38;32.81;26.56;19.53;21.09;15.62;16.8;3.91;1.56;35.94;27.0;53.12;37.5;43.75;26.56;23.44;20.31;25.0;25.39;3.91;1.56;49.22;43.0
18;0.2601721945118904;0.44116;0.2221518332839012;0.5073;37.5;34.38;34.38;26.56;19.53;21.88;16.41;17.58;3.91;1.56;36.72;28.0;53.12;37.5;45.31;26.56;23.44;21.09;25.78;26.17;3.91;1.56;49.22;43.0
19;0.2541772568225861;0.45494;0.23458128173947335;0.4901;40.62;34.38;34.38;26.56;20.31;21.88;17.19;18.36;4.3;1.56;37.5;28.0;53.12;34.38;45.31;26.56;24.22;21.09;26.56;26.95;3.91;1.17;49.22;43.0
20;0.2477443899309635;0.4667;0.22042708488702775;0.5207;37.5;34.38;34.38;26.56;21.09;21.88;17.58;19.14;4.3;1.56;37.5;28.0;53.12;34.38;45.31;26.56;24.22;21.09;27.34;27.73;3.91;1.17;49.22;43.0
21;0.24273563491225242;0.47524;0.21419102250933647;0.5258;40.62;31.25;35.94;26.56;21.09;22.66;18.36;19.92;4.3;1.56;38.28;28.0;53.12;34.38;45.31;26.56;25.0;21.88;28.12;28.52;3.91;1.17;49.22;43.0
22;0.23835878466904165;0.48322;0.21297665150761605;0.5219;37.5;31.25;35.94;28.12;21.88;22.66;19.14;20.7;4.3;1.56;39.06;28.0;50.0;34.38;45.31;26.56;25.78;21.88;28.91;28.91;3.91;1.17;50.0;43.0
23;0.23391848849415778;0.4919;0.21020948411524296;0.5353;40.62;31.25;35.94;28.12;21.88;23.44;19.92;21.48;4.3;1.17;39.06;28.0;50.0;34.38;45.31;28.12;25.78;21.88;29.69;29.69;3.91;1.17;50.0;43.0
24;0.22898118749141694;0.50216;0.20260700470209123;0.5502;40.62;31.25;35.94;28.12;22.66;23.44;20.7;22.27;4.3;1.17;39.84;29.0;50.0;34.38;45.31;28.12;25.78;21.88;30.47;30.08;3.91;1.17;50.0;43.0
25;0.22480900479495525;0.5097;0.2147064965546131;0.5262;40.62;31.25;37.5;28.12;23.44;23.44;21.48;22.66;4.3;1.17;39.84;29.0;50.0;31.25;45.31;28.12;26.56;21.88;31.25;30.86;3.91;1.17;50.0;42.0
26;0.22084841488540172;0.51864;0.20477132031917572;0.5449;40.62;31.25;37.5;28.12;23.44;23.44;21.88;23.44;4.3;1.17;40.62;29.0;50.0;31.25;45.31;26.56;26.56;22.66;32.03;31.25;3.91;1.17;50.0;42.0
27;0.21802557505726813;0.5253;0.19867772089540958;0.5537;40.62;31.25;35.94;28.12;23.44;24.22;22.66;24.22;4.3;1.17;40.62;29.0;50.0;31.25;45.31;26.56;27.34;22.66;32.81;32.03;3.91;1.17;50.0;42.0
28;0.21584946669220925;0.52928;0.19972174538373946;0.5514;40.62;31.25;37.5;28.12;24.22;24.22;23.44;24.61;4.69;1.17;41.41;29.0;50.0;31.25;45.31;26.56;27.34;22.66;33.2;32.42;4.3;1.17;50.0;42.0
29;0.21118658619999886;0.53844;0.21209197197854518;0.541;40.62;31.25;37.5;28.12;24.22;24.22;24.22;25.39;4.69;1.17;41.41;29.0;50.0;31.25;45.31;26.56;27.34;22.66;33.98;32.81;4.3;1.17;50.0;42.0
30;0.20877149267852307;0.53942;0.2023641063928604;0.5571;40.62;31.25;37.5;28.12;24.22;24.22;24.61;26.17;4.69;1.17;41.41;29.0;50.0;31.25;45.31;26.56;28.12;22.66;34.38;33.2;4.3;0.78;50.0;42.0
31;0.20478659663975238;0.54996;0.1997305514574051;0.5664;40.62;31.25;37.5;28.12;25.0;25.0;25.39;26.56;4.69;1.17;42.19;29.0;46.88;31.25;45.31;26.56;28.12;22.66;35.16;33.98;4.3;0.78;50.0;42.0
