;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5264958989524842;0.0493;0.48311690952777864;0.0854;6.25;9.38;7.81;7.81;3.12;3.12;1.56;1.95;1.95;1.56;3.12;7.0;50.0;53.12;43.75;43.75;27.34;29.69;15.23;18.36;13.28;12.5;41.41;64.0
1;0.4888702750205994;0.08514;0.4368378764629364;0.1503;12.5;18.75;12.5;12.5;5.47;6.25;3.12;3.91;3.12;2.34;7.03;14.0;59.38;50.0;37.5;31.25;18.75;18.75;13.28;18.75;10.55;11.72;44.53;65.0
2;0.45470605529308317;0.1251;0.4054872328042984;0.198;15.62;25.0;17.19;15.62;7.81;8.59;4.3;5.86;3.91;2.73;10.94;18.0;62.5;46.88;37.5;26.56;17.97;16.41;14.06;20.31;8.2;10.94;44.53;63.0
3;0.42702115352392195;0.15932;0.37225969508886336;0.2432;21.88;28.12;20.31;17.19;8.59;10.16;5.08;7.42;4.3;3.12;14.84;22.0;65.62;43.75;40.62;25.0;17.97;16.41;14.45;21.48;7.03;10.94;44.53;61.0
4;0.4023485717844963;0.19374;0.3537516725063324;0.2659;25.0;31.25;21.88;18.75;10.16;11.72;6.25;8.98;4.69;3.52;17.97;24.0;65.62;43.75;42.19;23.44;18.75;17.19;15.62;22.27;6.25;10.16;45.31;58.0
5;0.38047090972423553;0.22682;0.3257473385632038;0.308;28.12;31.25;23.44;20.31;11.72;13.28;7.42;10.55;5.08;3.91;21.88;26.0;65.62;43.75;43.75;23.44;20.31;17.97;16.8;23.44;5.86;9.38;46.09;56.0
6;0.3606367638611794;0.259;0.30566941474676135;0.3464;28.12;34.38;25.0;21.88;13.28;14.84;8.2;12.11;5.08;4.3;24.22;28.0;65.62;43.75;45.31;25.0;21.09;18.75;18.36;24.61;5.86;8.2;46.88;55.0
7;0.34343198566198346;0.28874;0.28864645747542383;0.38;31.25;34.38;26.56;23.44;14.06;15.62;9.38;13.67;5.08;4.3;26.56;29.0;62.5;40.62;45.31;25.0;22.66;19.53;19.92;26.17;5.47;7.42;47.66;53.0
8;0.32941246989011763;0.31232;0.2744917143046856;0.404;31.25;31.25;28.12;23.44;15.62;16.41;10.55;14.84;5.08;4.69;28.91;30.0;62.5;40.62;46.88;25.0;23.44;19.53;21.09;27.73;5.47;6.64;48.44;52.0
9;0.3157625933969021;0.34;0.26355992750525475;0.4334;34.38;34.38;29.69;23.44;16.41;17.97;11.72;16.41;5.08;4.69;31.25;30.0;62.5;40.62;48.44;25.0;24.22;20.31;22.66;29.3;5.47;6.25;48.44;51.0
