;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.020891764205694198;0.5865;0.02025609216094017;0.628;12.5;18.75;12.5;21.88;9.38;18.75;17.19;32.81;55.47;42.19;18.75;0.0;12.5;25.0;25.0;37.5;21.88;34.38;33.59;50.0;71.09;72.66;75.0;50.0
1;0.01922604867219925;0.6534;0.01762487332522869;0.708;12.5;31.25;18.75;28.12;14.06;23.44;18.75;34.38;52.34;35.16;12.5;0.0;18.75;37.5;28.12;40.62;28.12;39.06;35.94;50.78;67.19;65.62;59.38;0.0
2;0.01743269055187702;0.7078;0.016296187579631805;0.748;18.75;37.5;21.88;34.38;15.62;28.12;19.53;32.03;46.88;24.22;6.25;0.0;25.0;43.75;34.38;46.88;31.25;43.75;37.5;50.78;63.28;56.25;46.88;0.0
3;0.016243939369916915;0.7421;0.014861933179199696;0.7685;18.75;43.75;25.0;37.5;18.75;29.69;19.53;29.69;37.5;14.06;4.69;0.0;31.25;50.0;37.5;46.88;34.38;45.31;37.5;50.0;57.03;46.09;34.38;0.0
4;0.015353239646553994;0.7599;0.015317343831062317;0.763;18.75;50.0;28.12;37.5;20.31;31.25;17.19;26.56;28.91;9.38;4.69;0.0;31.25;50.0;40.62;46.88;37.5;45.31;35.94;48.44;50.78;35.94;26.56;0.0
5;0.014902572730183602;0.7694;0.014362619556486607;0.7775;25.0;50.0;28.12;40.62;21.88;32.81;17.19;25.0;22.66;7.81;4.69;0.0;37.5;56.25;40.62;46.88;39.06;46.88;35.16;47.66;46.09;28.91;18.75;0.0
6;0.014191170267760754;0.7796;0.013375404104590417;0.803;31.25;50.0;31.25;40.62;23.44;34.38;16.41;25.78;20.31;7.81;4.69;0.0;37.5;56.25;43.75;46.88;40.62;46.88;35.16;46.88;40.62;24.22;15.62;0.0
7;0.014229865202307701;0.7802;0.013722886487841606;0.791;31.25;50.0;31.25;40.62;23.44;35.94;16.41;23.44;17.19;7.81;4.69;0.0;43.75;56.25;43.75;46.88;42.19;48.44;35.16;45.31;35.94;20.31;10.94;0.0
8;0.013588627710938453;0.7937;0.013151899129152298;0.8085;37.5;50.0;34.38;40.62;25.0;37.5;16.41;22.66;15.62;7.81;4.69;0.0;50.0;56.25;43.75;46.88;43.75;48.44;35.16;44.53;32.03;18.75;9.38;0.0
9;0.013066335979104043;0.8041;0.012931054189801216;0.8075;43.75;56.25;34.38;40.62;26.56;39.06;16.41;22.66;14.84;7.81;6.25;0.0;50.0;56.25;46.88;43.75;43.75;50.0;35.16;43.75;28.91;16.41;7.81;0.0
10;0.01306230610460043;0.8059;0.012326332591474056;0.825;43.75;56.25;34.38;40.62;26.56;39.06;17.19;22.66;14.06;7.81;6.25;0.0;56.25;56.25;46.88;43.75;45.31;50.0;35.16;42.97;26.56;15.62;7.81;0.0
11;0.012612499783933162;0.8129;0.012629364155232907;0.816;43.75;56.25;37.5;40.62;28.12;40.62;17.19;21.88;12.5;8.59;6.25;0.0;56.25;56.25;46.88;43.75;45.31;50.0;35.16;42.19;25.0;15.62;7.81;0.0
12;0.012339639168977738;0.8155;0.012267677262425423;0.818;43.75;56.25;37.5;40.62;29.69;40.62;17.97;21.09;11.72;8.59;6.25;0.0;56.25;56.25;50.0;43.75;46.88;50.0;35.94;41.41;22.66;14.84;7.81;0.0
13;0.01219908645004034;0.8229;0.011513753592967987;0.8415;50.0;56.25;40.62;40.62;31.25;40.62;17.97;21.88;11.72;8.59;4.69;0.0;56.25;56.25;50.0;43.75;48.44;50.0;35.94;41.41;21.09;14.06;7.81;0.0
14;0.011653773358464242;0.8274;0.011376570969820022;0.8425;50.0;56.25;40.62;40.62;31.25;42.19;18.75;22.66;11.72;8.59;4.69;0.0;56.25;56.25;50.0;43.75;48.44;50.0;35.94;41.41;20.31;13.28;6.25;0.0
15;0.011524550533294677;0.83;0.011560319878160953;0.8355;50.0;56.25;40.62;40.62;32.81;42.19;19.53;22.66;11.72;8.59;4.69;0.0;56.25;56.25;50.0;40.62;48.44;50.0;36.72;41.41;18.75;12.5;6.25;0.0
16;0.01125281131863594;0.8407;0.011901846431195736;0.834;50.0;50.0;40.62;40.62;32.81;43.75;20.31;23.44;11.72;8.59;4.69;0.0;62.5;56.25;50.0;40.62;48.44;50.0;36.72;40.62;17.19;11.72;6.25;0.0
17;0.011116534616053105;0.8423;0.011220839492976666;0.856;50.0;50.0;40.62;37.5;34.38;43.75;21.09;24.22;11.72;8.59;4.69;0.0;62.5;50.0;50.0;40.62;48.44;50.0;36.72;41.41;16.41;10.94;6.25;0.0
18;0.010643529163300991;0.8497;0.012977452736347914;0.8155;50.0;50.0;43.75;37.5;34.38;43.75;21.09;24.22;10.94;7.81;4.69;0.0;62.5;50.0;50.0;40.62;50.0;50.0;37.5;41.41;15.62;10.94;6.25;0.0
19;0.010444867972284555;0.8517;0.011322507053613663;0.8375;56.25;50.0;43.75;37.5;35.94;43.75;21.88;25.0;10.94;7.81;4.69;0.0;62.5;50.0;50.0;40.62;50.0;50.0;37.5;41.41;14.84;10.16;6.25;0.0
